"telemetry_date","product_type","avg_disconnects","crash_rate","avg_temp_c","rows"
2025-01-18,Earbuds,0.467,0.0000,33.24,18
2025-12-25,Home Theater,0.300,0.0833,29.83,12
2024-06-24,Portable PA,0.333,0.0000,28.10,3
2025-03-22,Headphones,0.507,0.0189,31.90,160
2025-04-01,Aviation Headsets,0.667,0.0000,33.90,3
2025-03-25,Speakers,0.333,0.0000,30.98,4
2025-01-10,Home Theater,0.000,0.0000,30.49,12
2024-04-02,Earbuds,0.500,0.0000,31.85,17
2024-12-08,Portable PA,0.125,0.0000,30.28,8
2024-03-20,Speakers,0.500,0.0000,35.68,4
2024-12-20,Home Theater,0.167,0.0000,30.43,13
2025-07-20,Speakers,0.333,0.1667,31.90,6
2025-06-25,Speakers,0.250,0.0000,31.90,8
2024-09-03,Portable PA,0.125,0.0000,33.46,9
2025-11-21,Home Theater,0.125,0.0000,29.63,9
2024-10-17,Portable PA,0.250,0.0000,30.71,8
2025-06-18,Earbuds,0.385,0.0000,30.73,16
2025-05-23,Headphones,0.374,0.0135,32.08,151
2024-08-15,Portable PA,0.200,0.0000,34.66,5
2025-04-12,Speakers,0.167,0.0000,33.93,6
2024-05-24,Home Theater,0.000,0.0000,34.81,13
2024-10-07,Portable PA,0.333,0.0000,33.95,10
2024-05-23,Aviation Headsets,0.000,0.3333,26.33,3
2024-02-03,Earbuds,0.714,0.0625,32.03,16
2024-04-23,Portable PA,0.000,0.0000,32.65,4
2025-02-06,Earbuds,0.471,0.0000,33.79,20
2025-11-22,Home Theater,0.214,0.0625,30.67,16
2025-11-07,Speakers,0.250,0.0000,32.78,4
2024-07-11,Home Theater,0.200,0.0000,27.78,5
2024-09-17,Home Theater,0.200,0.0000,34.32,12
2024-09-02,Headphones,0.317,0.0170,31.34,180
2024-05-28,Home Theater,0.143,0.0000,33.53,15
2024-03-08,Headphones,0.380,0.0194,33.13,158
2025-08-14,Aviation Headsets,1.000,0.0000,27.30,1
2025-06-17,Portable PA,0.286,0.0000,32.51,7
2024-08-17,Aviation Headsets,0.000,0.0000,28.05,4
2025-08-05,Headphones,0.340,0.0119,30.87,173
2024-01-20,Headphones,0.404,0.0061,32.09,166
2025-09-22,Portable PA,0.125,0.0000,31.90,8
2025-08-22,Portable PA,0.000,0.0000,33.70,1
2024-08-29,Earbuds,0.563,0.0000,30.84,18
2025-01-21,Home Theater,0.231,0.0000,31.28,15
2025-07-10,Earbuds,0.500,0.0000,29.88,21
2025-02-24,Earbuds,0.421,0.0000,30.90,21
2024-09-23,Aviation Headsets,0.500,0.0000,30.00,2
2024-12-31,Earbuds,0.318,0.0000,30.60,22
2024-04-27,Earbuds,0.423,0.0741,31.55,27
2025-09-10,Aviation Headsets,0.250,0.0000,32.80,4
2024-08-17,Speakers,0.750,0.0000,20.43,4
2024-11-27,Earbuds,0.409,0.0417,29.13,25
2024-04-21,Earbuds,0.438,0.0000,33.85,19
2025-08-05,Home Theater,0.000,0.0000,32.49,8
2024-01-12,Headphones,0.400,0.0060,31.46,170
2024-07-27,Portable PA,,0.0000,18.20,1
2024-09-08,Earbuds,0.467,0.0000,33.68,16
2024-08-21,Aviation Headsets,0.000,0.0000,30.41,7
2024-11-14,Earbuds,0.357,0.0000,30.19,15
2024-11-23,Speakers,0.000,0.0000,28.30,4
2024-05-10,Portable PA,0.167,0.0000,29.96,8
2024-12-05,Portable PA,0.000,0.0000,28.73,3
2025-06-29,Speakers,0.400,0.0000,28.95,6
2025-06-16,Portable PA,0.000,0.0000,26.29,7
2025-11-13,Aviation Headsets,0.000,0.0000,34.73,3
2024-04-12,Home Theater,0.273,0.0000,28.13,13
2024-03-19,Aviation Headsets,0.000,0.0000,30.20,2
2024-09-29,Home Theater,0.286,0.0000,33.69,8
2025-06-12,Aviation Headsets,0.167,0.0000,27.90,6
2024-12-18,Speakers,0.143,0.0000,27.14,7
2024-04-24,Portable PA,0.333,0.0000,33.43,6
2025-09-24,Home Theater,0.100,0.0909,29.15,11
2024-02-27,Speakers,0.375,0.1111,32.94,9
2024-07-04,Headphones,0.472,0.0133,32.13,153
2025-03-08,Headphones,0.476,0.0114,32.40,179
2024-05-19,Speakers,0.200,0.1667,31.07,6
2024-11-13,Speakers,1.000,0.0000,38.15,4
2025-11-06,Portable PA,0.500,0.0000,36.73,3
2025-07-31,Earbuds,0.250,0.0000,32.38,21
2025-08-28,Portable PA,0.000,0.0000,29.20,5
2025-10-09,Earbuds,0.714,0.0000,33.92,17
2024-12-22,Home Theater,0.222,0.0000,30.43,10
2024-08-12,Headphones,0.556,0.0230,31.63,178
2024-03-09,Portable PA,0.400,0.0000,35.48,5
2024-04-28,Home Theater,0.333,0.0000,27.27,7
2024-12-28,Aviation Headsets,0.000,0.0000,31.37,3
2025-11-19,Headphones,0.426,0.0000,32.26,164
2024-12-26,Earbuds,0.727,0.0000,30.94,13
2024-04-20,Home Theater,0.000,0.0000,30.37,9
2024-08-19,Home Theater,0.250,0.0000,32.81,12
2024-07-13,Earbuds,0.688,0.0000,32.05,16
2024-07-16,Home Theater,0.273,0.0000,32.34,11
2024-10-26,Aviation Headsets,0.000,0.0000,45.60,1
2024-02-17,Speakers,0.667,0.0000,34.00,3
2024-05-09,Home Theater,0.375,0.0000,36.36,9
2025-07-09,Portable PA,0.000,0.1667,33.28,6
2025-01-31,Aviation Headsets,0.000,0.0000,25.68,4
2024-04-17,Headphones,0.358,0.0282,32.01,144
2024-01-17,Earbuds,0.353,0.0500,31.30,20
2025-04-07,Portable PA,0.000,0.0000,31.93,3
2024-08-19,Portable PA,0.000,0.0000,32.69,7
2024-04-14,Earbuds,0.200,0.0000,32.53,22
2025-03-04,Home Theater,0.143,0.0000,31.66,14
2025-10-04,Headphones,0.426,0.0000,31.35,157
2024-07-07,Speakers,0.500,0.0000,29.60,6
2025-04-17,Aviation Headsets,0.000,0.0000,24.40,1
2025-10-24,Earbuds,0.250,0.0000,31.89,26
2025-07-12,Earbuds,0.571,0.0000,31.67,15
2025-06-27,Speakers,1.000,0.0000,35.88,6
2025-05-23,Aviation Headsets,0.333,0.0000,28.80,3
2024-07-17,Speakers,1.000,0.0000,30.64,5
2025-05-30,Portable PA,0.000,0.0000,34.98,6
2025-06-16,Speakers,0.714,0.0000,32.43,8
2024-10-20,Home Theater,0.000,0.0000,33.51,7
2024-08-03,Portable PA,0.000,0.0000,35.10,1
2025-10-28,Headphones,0.528,0.0126,31.82,162
2025-10-20,Home Theater,0.100,0.0000,30.61,12
2024-08-31,Speakers,0.500,0.0000,35.15,4
2025-05-17,Speakers,0.500,0.0000,32.31,7
2024-12-02,Earbuds,0.438,0.0625,32.49,18
2024-10-19,Earbuds,0.438,0.0000,31.61,19
2024-08-26,Headphones,0.445,0.0133,32.09,150
2024-09-28,Home Theater,0.000,0.3333,39.33,3
2025-08-22,Headphones,0.392,0.0189,31.73,162
2025-01-04,Aviation Headsets,0.000,0.0000,33.00,1
2024-01-16,Aviation Headsets,0.500,0.0000,36.55,4
2025-06-23,Aviation Headsets,0.000,0.0000,24.10,2
2025-03-20,Headphones,0.451,0.0186,31.61,163
2024-09-21,Portable PA,0.000,0.0000,30.68,4
2024-01-23,Portable PA,0.167,0.0000,30.80,6
2025-10-26,Speakers,0.667,0.0000,34.74,5
2025-09-03,Speakers,0.444,0.0000,35.50,9
2024-10-06,Portable PA,0.143,0.0000,32.99,9
2024-01-14,Portable PA,0.500,0.0000,35.00,6
2024-03-11,Headphones,0.446,0.0192,32.01,159
2024-10-01,Portable PA,0.250,0.0000,30.29,8
2024-05-04,Speakers,1.000,0.0000,32.46,5
2024-12-19,Portable PA,0.125,0.0000,31.06,8
2025-04-04,Headphones,0.442,0.0066,30.29,152
2025-11-20,Portable PA,0.000,0.0000,34.68,8
2024-04-05,Aviation Headsets,0.000,0.0000,30.00,3
2024-07-05,Headphones,0.444,0.0127,32.22,158
2024-09-21,Aviation Headsets,0.000,0.0000,31.93,3
2024-06-21,Headphones,0.430,0.0000,31.36,155
2025-11-12,Headphones,0.390,0.0066,31.67,157
2024-09-11,Headphones,0.497,0.0253,31.04,159
2025-03-27,Aviation Headsets,,0.0000,34.80,2
2024-01-26,Headphones,0.500,0.0122,32.22,166
2025-10-22,Aviation Headsets,1.000,0.0000,24.90,1
2025-08-23,Earbuds,0.211,0.0000,30.23,20
2024-07-21,Headphones,0.418,0.0272,32.45,150
2025-09-24,Portable PA,0.143,0.0000,31.30,8
2025-01-06,Home Theater,0.000,0.2000,26.12,5
2024-02-01,Portable PA,0.250,0.0000,29.08,5
2024-07-28,Home Theater,0.375,0.0000,30.59,9
2024-08-19,Headphones,0.408,0.0064,31.09,158
2024-10-15,Aviation Headsets,0.000,0.0000,20.50,1
2024-06-05,Speakers,0.750,0.0000,33.73,4
2024-09-24,Home Theater,0.200,0.0000,31.25,11
2025-10-03,Earbuds,0.350,0.0000,28.79,20
2025-06-11,Aviation Headsets,0.000,0.0000,34.85,2
2024-09-17,Earbuds,0.286,0.0000,32.64,22
2025-08-01,Aviation Headsets,0.000,0.0000,37.73,3
2025-09-16,Earbuds,0.421,0.0000,30.89,22
2025-08-18,Portable PA,0.000,0.2000,30.58,5
2025-05-18,Speakers,0.750,0.1250,34.03,8
2024-06-20,Headphones,0.471,0.0000,32.56,154
2025-12-21,Speakers,1.000,0.3333,33.27,3
2024-10-09,Speakers,0.250,0.0000,33.76,5
2025-03-16,Home Theater,0.083,0.0833,31.68,12
2024-02-22,Portable PA,0.125,0.0000,33.99,8
2025-07-16,Home Theater,0.071,0.0000,32.55,15
2025-08-29,Earbuds,0.429,0.0588,34.96,17
2024-12-30,Home Theater,0.250,0.0000,35.50,6
2025-06-10,Portable PA,0.667,0.0000,34.47,3
2024-09-15,Aviation Headsets,1.000,0.0000,35.55,2
2024-11-04,Portable PA,,0.0000,30.80,1
2024-07-03,Headphones,0.331,0.0316,31.35,158
2024-05-27,Aviation Headsets,0.000,0.3333,34.07,3
2025-07-25,Speakers,0.500,0.0000,27.66,7
2025-11-21,Aviation Headsets,0.000,0.0000,33.00,2
2025-04-29,Headphones,0.403,0.0058,31.70,174
2024-06-15,Headphones,0.395,0.0122,30.77,164
2024-10-22,Home Theater,0.333,0.1250,34.93,8
2025-06-24,Speakers,0.667,0.0000,29.57,3
2024-04-18,Speakers,0.000,0.0000,28.00,3
2025-07-14,Earbuds,0.417,0.0667,34.40,15
2024-04-14,Portable PA,0.000,0.0000,33.24,10
2025-10-13,Home Theater,0.333,0.0000,30.44,9
2024-09-27,Aviation Headsets,0.250,0.0000,32.93,7
2024-01-13,Home Theater,0.000,0.0000,32.44,5
2024-09-13,Earbuds,0.385,0.0000,31.81,13
2024-11-11,Portable PA,0.250,0.0000,34.40,4
2025-05-13,Portable PA,0.000,0.0000,31.59,8
2024-09-03,Home Theater,0.231,0.0714,29.86,14
2024-12-06,Portable PA,0.250,0.0000,31.86,5
2025-07-04,Speakers,0.333,0.0000,31.50,4
2025-05-07,Home Theater,0.167,0.0000,32.34,8
2024-02-03,Speakers,0.600,0.0000,27.55,11
2025-06-13,Home Theater,0.333,0.0000,27.87,7
2024-10-05,Aviation Headsets,0.000,0.0000,34.30,2
2025-08-12,Portable PA,0.200,0.0000,35.03,11
2024-06-01,Headphones,0.470,0.0109,32.06,184
2024-07-08,Speakers,0.000,0.0000,27.70,3
2025-01-22,Aviation Headsets,0.000,0.0000,29.78,4
2025-01-11,Home Theater,0.200,0.0000,33.42,5
2025-05-24,Aviation Headsets,0.667,0.0000,32.15,4
2025-07-24,Speakers,0.429,0.1429,32.47,7
2024-04-28,Portable PA,0.000,0.0000,34.96,5
2025-12-21,Home Theater,0.286,0.0000,30.73,7
2024-08-10,Home Theater,0.111,0.0000,35.97,9
2024-05-15,Speakers,0.667,0.0000,33.30,3
2024-09-26,Headphones,0.486,0.0377,31.82,162
2024-07-22,Home Theater,0.125,0.0000,34.23,10
2024-11-09,Speakers,1.000,0.0000,39.47,3
2024-07-28,Portable PA,0.000,0.0000,32.48,8
2025-05-15,Home Theater,0.000,0.0000,34.55,12
2025-01-25,Headphones,0.538,0.0064,32.83,159
2025-02-23,Portable PA,0.250,0.0000,30.63,7
2025-10-12,Home Theater,0.400,0.0000,31.98,13
2025-07-08,Speakers,1.000,0.0000,32.65,2
2024-12-24,Aviation Headsets,0.000,0.0000,26.57,3
2024-04-12,Headphones,0.415,0.0270,31.47,151
2025-12-23,Headphones,0.531,0.0064,32.39,158
2024-04-29,Speakers,3.000,0.0000,36.50,1
2024-10-03,Home Theater,0.000,0.0000,36.06,12
2024-05-25,Earbuds,0.368,0.0000,33.78,21
2025-07-07,Headphones,0.308,0.0134,31.91,154
2025-02-16,Portable PA,0.167,0.1429,25.81,7
2024-01-04,Headphones,0.507,0.0000,32.00,159
2024-10-07,Earbuds,0.350,0.0000,34.15,23
2024-02-23,Home Theater,0.000,0.0000,33.10,8
2024-08-10,Earbuds,0.368,0.0526,35.53,19
2025-07-31,Portable PA,0.000,0.0000,39.20,7
2025-12-24,Earbuds,0.556,0.0000,32.25,29
2025-07-24,Headphones,0.576,0.0178,32.73,170
2025-06-29,Aviation Headsets,0.000,0.0000,37.08,5
2024-04-30,Home Theater,0.182,0.0909,37.65,11
2025-07-26,Portable PA,0.000,0.0000,28.78,4
2024-11-20,Speakers,0.600,0.0000,35.45,6
2025-11-25,Speakers,1.750,0.0000,33.98,4
2025-05-26,Home Theater,0.000,0.0000,34.52,5
2025-10-07,Speakers,0.600,0.0000,29.16,5
2024-04-03,Aviation Headsets,0.000,0.0000,33.60,3
2025-08-26,Speakers,0.000,0.0000,15.40,1
2025-03-21,Portable PA,0.250,0.0000,32.25,4
2024-09-18,Earbuds,0.778,0.0000,31.17,19
2025-09-10,Portable PA,0.333,0.0000,32.96,7
2024-08-28,Earbuds,0.500,0.0000,31.99,29
2025-12-29,Portable PA,0.250,0.0000,36.36,5
2025-10-11,Aviation Headsets,0.000,0.0000,26.30,1
2024-12-05,Earbuds,0.313,0.0000,31.48,19
2025-07-27,Headphones,0.441,0.0069,32.41,149
2024-04-01,Earbuds,0.400,0.0000,35.28,17
2025-09-03,Portable PA,0.000,0.0000,35.90,8
2024-11-16,Earbuds,0.389,0.0556,30.69,19
2024-10-11,Speakers,0.000,0.0000,26.55,4
2024-02-20,Earbuds,0.346,0.0000,31.21,28
2025-03-11,Speakers,0.500,0.0000,29.32,6
2024-02-10,Earbuds,0.333,0.0476,31.99,21
2025-05-11,Aviation Headsets,0.000,0.0000,32.55,2
2025-05-06,Earbuds,0.375,0.0000,27.94,17
2025-10-10,Home Theater,0.286,0.0000,33.01,7
2025-01-11,Headphones,0.503,0.0063,31.39,161
2024-04-11,Portable PA,0.000,0.0000,31.44,7
2025-05-16,Portable PA,0.000,0.0000,32.84,5
2025-09-06,Home Theater,0.111,0.0000,33.92,13
2024-10-22,Earbuds,0.458,0.0000,30.17,27
2025-01-01,Portable PA,0.000,0.0000,31.21,7
2024-02-11,Speakers,0.500,0.0000,28.50,4
2024-03-31,Home Theater,0.083,0.0000,30.25,13
2024-05-16,Earbuds,0.308,0.0370,32.20,27
2024-04-04,Earbuds,0.083,0.0833,27.65,13
2024-08-20,Portable PA,0.000,0.0000,37.22,6
2024-10-27,Earbuds,0.438,0.0556,32.14,18
2024-09-06,Earbuds,0.300,0.0000,33.09,21
2025-04-19,Aviation Headsets,0.000,0.0000,27.45,4
2024-06-10,Speakers,1.000,0.0000,35.30,6
2025-02-15,Aviation Headsets,0.000,0.0000,31.13,3
2024-05-29,Home Theater,0.000,0.0000,32.36,10
2024-07-06,Headphones,0.385,0.0208,31.99,146
2025-09-04,Headphones,0.400,0.0058,33.49,173
2024-03-19,Portable PA,0.000,0.0000,28.24,5
2025-03-24,Headphones,0.384,0.0253,31.54,160
2024-11-08,Home Theater,0.000,0.0000,33.38,6
2024-07-18,Earbuds,0.500,0.0000,31.91,21
2024-11-30,Home Theater,0.417,0.0000,33.03,12
2025-01-07,Aviation Headsets,0.000,0.0000,33.98,4
2024-05-05,Speakers,1.000,0.0000,35.10,2
2024-05-06,Headphones,0.399,0.0058,32.87,174
2024-07-28,Aviation Headsets,0.000,0.0000,30.77,3
2024-03-04,Earbuds,0.500,0.0000,32.16,14
2025-01-24,Home Theater,0.300,0.0000,34.13,10
2025-08-25,Speakers,0.500,0.0000,35.10,3
2025-03-15,Headphones,0.489,0.0107,31.75,192
2025-06-22,Headphones,0.508,0.0139,32.76,148
2025-05-29,Earbuds,0.467,0.0000,32.65,19
2025-12-19,Speakers,0.600,0.0000,35.68,5
2025-04-26,Portable PA,0.286,0.0000,34.60,7
2024-12-16,Home Theater,0.333,0.0000,32.23,7
2025-04-09,Home Theater,0.111,0.0000,27.57,11
2025-03-19,Speakers,0.000,0.0000,30.65,2
2025-02-18,Home Theater,0.143,0.0000,30.50,7
2025-08-05,Portable PA,0.000,0.0000,29.00,3
2025-01-02,Headphones,0.483,0.0121,32.35,166
2024-12-31,Headphones,0.443,0.0139,32.55,145
2025-04-06,Portable PA,0.000,0.2000,31.42,5
2025-11-30,Speakers,1.500,0.0000,27.20,2
2025-02-05,Headphones,0.350,0.0075,31.48,133
2024-11-24,Aviation Headsets,0.250,0.0000,27.68,4
2025-12-04,Speakers,0.667,0.0000,34.33,3
2025-03-18,Home Theater,0.000,0.0000,30.20,6
2024-08-14,Aviation Headsets,0.200,0.0000,32.62,5
2024-08-05,Home Theater,0.154,0.0000,30.71,14
2024-06-17,Headphones,0.414,0.0141,32.57,146
2024-12-24,Headphones,0.459,0.0121,32.68,168
2024-09-07,Earbuds,0.600,0.0000,32.33,18
2024-06-05,Earbuds,0.300,0.0000,29.34,23
2024-01-26,Earbuds,0.550,0.0000,30.78,22
2025-04-21,Headphones,0.425,0.0117,31.20,172
2025-12-01,Earbuds,0.565,0.0000,31.51,26
2024-08-26,Aviation Headsets,0.000,0.0000,30.30,3
2024-05-04,Home Theater,0.000,0.0000,28.62,5
2024-10-07,Speakers,0.667,0.0000,30.63,4
2024-03-14,Aviation Headsets,0.000,0.0000,26.60,1
2024-10-27,Home Theater,0.000,0.0000,32.17,6
2024-04-12,Portable PA,0.000,0.0000,33.40,6
2025-02-20,Speakers,0.375,0.0000,34.77,9
2025-04-25,Home Theater,0.182,0.0000,35.23,11
2025-04-07,Earbuds,0.600,0.0000,32.56,25
2025-12-19,Home Theater,0.182,0.0000,34.83,12
2024-11-03,Aviation Headsets,0.000,0.0000,32.80,2
2024-06-14,Home Theater,0.100,0.0000,32.95,11
2025-01-24,Portable PA,0.000,0.0000,29.13,6
2024-08-16,Earbuds,0.350,0.0000,34.10,23
2025-11-26,Aviation Headsets,0.500,0.0000,27.10,2
2025-06-13,Speakers,0.625,0.0000,34.28,8
2025-10-03,Portable PA,0.000,0.0000,25.23,4
2024-06-28,Speakers,0.500,0.0000,31.60,2
2024-05-08,Speakers,0.500,0.0000,34.63,3
2025-12-13,Portable PA,0.000,0.0000,27.24,9
2025-03-01,Speakers,0.500,0.0000,34.43,3
2025-03-22,Speakers,1.000,0.0000,34.55,4
2024-01-12,Earbuds,0.600,0.0000,31.39,19
2025-10-06,Aviation Headsets,0.500,0.0000,28.35,2
2024-06-05,Aviation Headsets,0.000,0.0000,32.00,2
2025-09-26,Speakers,0.750,0.2500,32.55,4
2024-08-27,Aviation Headsets,0.000,0.0000,29.50,2
2025-07-30,Portable PA,0.000,0.0000,29.50,2
2024-09-12,Aviation Headsets,0.333,0.0000,29.80,3
2024-04-25,Portable PA,0.143,0.1667,35.24,7
2025-01-28,Portable PA,0.000,0.0000,30.00,1
2024-06-22,Speakers,0.333,0.0000,34.37,3
2024-02-20,Headphones,0.412,0.0000,32.07,161
2024-07-18,Speakers,0.750,0.0000,32.70,4
2024-08-13,Headphones,0.433,0.0173,31.64,173
2024-11-11,Home Theater,0.100,0.0769,29.64,13
2024-06-02,Earbuds,0.320,0.0000,33.26,26
2024-01-09,Speakers,0.000,0.0000,40.60,2
2025-12-20,Portable PA,0.333,0.0000,30.38,6
2025-02-28,Speakers,1.250,0.0000,29.13,4
2025-03-14,Headphones,0.447,0.0000,32.31,151
2024-08-15,Earbuds,0.500,0.0400,30.96,26
2024-11-28,Earbuds,0.483,0.0000,33.28,31
2025-09-14,Earbuds,0.421,0.0000,33.15,24
2025-03-13,Home Theater,0.333,0.1429,31.24,7
2025-10-21,Earbuds,0.563,0.0588,30.34,17
2024-11-21,Earbuds,0.318,0.0000,32.32,23
2024-02-05,Headphones,0.444,0.0181,33.14,169
2025-03-09,Home Theater,0.143,0.0000,30.70,8
2025-12-02,Speakers,0.000,0.0000,36.30,1
2024-12-28,Earbuds,0.625,0.0000,32.87,27
2025-07-15,Speakers,0.000,0.0000,30.70,9
2024-01-07,Aviation Headsets,0.000,0.0000,32.90,1
2024-05-04,Portable PA,0.000,0.0000,36.85,2
2024-02-15,Headphones,0.436,0.0195,32.91,155
2024-07-03,Speakers,0.500,0.0000,30.10,4
2025-08-12,Headphones,0.394,0.0000,33.02,152
2024-10-03,Earbuds,0.458,0.0000,29.44,26
2025-05-27,Earbuds,0.588,0.0476,30.98,21
2024-01-13,Earbuds,0.273,0.0400,32.85,26
2024-01-03,Speakers,0.333,0.0000,29.68,4
2025-05-28,Speakers,0.000,0.0000,25.87,3
2024-11-29,Headphones,0.388,0.0063,32.65,159
2024-04-20,Earbuds,0.227,0.0000,31.82,24
2024-07-31,Headphones,0.493,0.0181,32.38,168
2024-09-10,Aviation Headsets,0.000,0.0000,27.70,1
2024-03-26,Aviation Headsets,0.000,0.0000,31.60,2
2025-05-10,Home Theater,0.125,0.0000,26.79,8
2024-02-09,Portable PA,0.000,0.0000,31.68,4
2025-05-28,Aviation Headsets,0.000,0.0000,30.60,2
2025-11-23,Portable PA,0.000,0.0000,34.20,3
2024-06-06,Speakers,1.000,0.0000,29.83,6
2025-11-03,Speakers,0.400,0.0000,28.15,6
2024-04-26,Headphones,0.468,0.0141,32.26,145
2024-07-02,Headphones,0.557,0.0065,32.22,154
2025-05-19,Speakers,0.200,0.0000,33.58,5
2024-12-04,Speakers,0.375,0.0000,30.80,8
2024-02-13,Speakers,0.250,0.0000,29.85,8
2024-12-04,Portable PA,0.167,0.0000,29.43,6
2024-05-14,Portable PA,0.167,0.1429,33.80,7
2025-08-13,Headphones,0.377,0.0188,32.30,161
2025-03-11,Headphones,0.527,0.0176,31.86,171
2024-11-29,Speakers,0.667,0.0000,29.83,3
2025-07-25,Portable PA,0.143,0.0000,28.36,7
2025-09-29,Speakers,0.444,0.0000,31.10,9
2025-12-13,Earbuds,0.714,0.0000,32.98,9
2024-12-21,Headphones,0.331,0.0071,30.98,143
2024-10-08,Headphones,0.567,0.0131,32.93,153
2025-10-28,Earbuds,0.313,0.0000,31.42,19
2025-09-27,Aviation Headsets,0.000,0.0000,31.60,2
2024-05-31,Portable PA,0.000,0.0000,31.48,6
2024-03-13,Headphones,0.413,0.0165,31.30,188
2025-03-31,Earbuds,0.407,0.0357,32.15,28
2024-06-20,Portable PA,0.077,0.0833,32.28,13
2025-01-14,Portable PA,0.000,0.0000,27.56,7
2024-11-23,Home Theater,0.200,0.0000,33.67,6
2025-12-09,Speakers,0.500,0.0000,33.94,8
2024-08-31,Earbuds,0.333,0.0000,33.32,28
2024-11-14,Headphones,0.444,0.0299,32.39,169
2025-04-16,Home Theater,0.091,0.0000,29.82,12
2025-07-24,Home Theater,0.200,0.0000,28.18,5
2025-05-21,Home Theater,0.000,0.0000,32.69,12
2025-12-07,Earbuds,0.650,0.0000,33.55,24
