"mfg_id","date","factory_id","product_id","units_produced","scrap_units","downtime_hours","shift"
MFG-177181713,"2024-07-22",WH-002,PRD-96511,862.0,7,"0.62",B
MFG-538780071,"2024-05-06",WH-006,PRD-17100,898.0,23,"1.18",B
MFG-125098810,"2024-04-01",WH-006,PRD-93130,1424.0,42,"0.28",B
MFG-263905381,"2024-05-26",WH-006,PRD-19171,486.0,15,"0.11",B
MFG-292780298,"2024-04-15",WH-002,PRD-66155,1162.0,14,"0.8 hrs",A
MFG-770373495,"2024-03-25",WH-002,PRD-63354,971.0,33,"3.02",C
MFG-319876590,"2025-09-26",WH-005,PRD-84085,790.0,23,"2.63",B
MFG-329453701,"2025-12-15",WH-005,PRD-89457,787.0,9,"2.02",B
MFG-584777230,"2025-10-22",WH-002,PRD-84085,941.0,54,"1.66",B
MFG-596637047,"2025-04-06",WH-006,PRD-25129,875.0,36,"0.02",C
MFG-309253318,"2024-11-16",WH-006,PRD-24371,930.0,29,"0.25",A
MFG-701995290,"2025-05-25",WH-014,PRD-19171,1362.0,25,"0.35",C
MFG-690723430,"2025-04-09",WH-006,PRD-94080,1035.0,35,"0.88",B
MFG-977766005,"2024-03-21",WH-005,PRD-47606,1147.0,22,"0.16",A
MFG-344885614,"2024-06-30",WH-002,PRD-39154,669.0,17,"0.99",C
MFG-853002164,"2024-05-18",WH-005,PRD-79822,1449.0,4,"2.82",A
MFG-629006088,"2025-11-07",WH-014,PRD-15229,605.0,31,"0.27",A
MFG-189648926,"2024-10-29",WH-014,PRD-63354,1174.0,55,"0.07",A
MFG-208636485,"2024-11-27",WH-013,PRD-95180,660.0,13,"0.37",B
MFG-652418556,"2024-10-20",WH-002,PRD-24371,375.0,1,"0.06",C
MFG-594428252,"2024-11-20",WH-005,PRD-39154,1096.0,10,"0.6",B
MFG-471125094,"2024-12-06",WH-005,PRD-10221,519.0,19,"0.65",C
MFG-348524300,"2025-03-11",WH-002,PRD-39154,981.0,29,"1.08",B
MFG-938220294,"2025-08-16",WH-014,PRD-30635,858.0,12,"0.24",B
MFG-779714041,"2025-06-26",WH-005,PRD-39154,883.0,50,"0.02",C
MFG-831952122,"2024-01-14",WH-002,PRD-95180,,4,"0.17 hrs",C
MFG-858240480,"2025-11-04",WH-005,PRD-41385,924.0,36,"1.74",C
MFG-410476259,"2024-02-28",WH-005,PRD-66155,773.0,14,"1.53",A
MFG-407466320,"2024-04-20",WH-002,PRD-21114,1026.0,52,"1.84",C
MFG-478687602,"2025-05-30",WH-002,PRD-65724,1723.0,101,"0.51",B
MFG-922323369,"2024-01-25",WH-006,PRD-79329,613.0,24,"0.4",A
MFG-217247285,"2024-09-23",WH-013,PRD-94080,1056.0,61,"0.25",A
MFG-451848856,"2025-06-12",WH-013,PRD-65724,842.0,32,"0.27",A
MFG-425829850,"2024-09-26",WH-014,PRD-21114,1347.0,74,"0.07",A
MFG-244073592,"2024-05-25",WH-006,PRD-61876,702.0,34,"1.29",B
MFG-379152878,"2024-06-21",WH-006,PRD-97153,971.0,21,"0.39",A
MFG-458656915,"2025-10-18",WH-014,PRD-97153,489.0,16,"1.93",C
MFG-792662910,"2024-05-17",WH-013,PRD-42018,1316.0,62,"2.54",A
MFG-369137577,"2024-06-14",WH-013,PRD-62923,655.0,23,"0.04",C
MFG-878939173,"2024-02-08",WH-002,PRD-71348,734.0,39,"2.3",C
MFG-863227192,"2025-05-11",WH-006,PRD-49117,648.0,37,"0.76",C
MFG-756854190,"2024-02-02",WH-014,PRD-35112,778.0,2,"1.51",A
MFG-440277623,"2024-12-15",WH-014,PRD-59672,1351.0,79,"0.99 hrs",A
MFG-483530417,"2024-03-11",WH-005,PRD-90120,1078.0,19,"1.16",A
MFG-519578931,"2025-04-06",WH-006,PRD-91351,684.0,23,"1.04",C
MFG-770659130,"2024-04-18",WH-006,PRD-10221,,29,"0.02",C
MFG-515159901,"2024-09-05",WH-006,PRD-47606,343.0,4,"0.61",C
MFG-915323934,"2025-09-10",WH-013,PRD-79329,923.0,6,"0.74 hrs",C
MFG-509580435,"2025-10-11",WH-013,PRD-63354,1115.0,9,"0.36",B
MFG-740547475,"2024-09-18",WH-014,PRD-62923,615.0,22,"1.61",C
MFG-716678014,"2024-06-01",WH-013,PRD-21114,868.0,22,"1.03",A
MFG-975959066,"2024-01-12",WH-005,PRD-95180,531.0,4,"2.78",C
MFG-357233740,"2024-01-08",WH-014,PRD-79329,1450.0,16,"0.54",A
MFG-902863400,"2025-11-27",WH-013,PRD-91351,893.0,31,"0.38",A
MFG-123952651,"2025-10-29",WH-014,PRD-30635,752.0,20,"0.45",B
MFG-473877273,"2024-05-17",WH-005,PRD-94080,827.0,43,"1.32",A
MFG-814314308,"2025-05-22",WH-014,PRD-19171,1275.0,73,"0.54",B
MFG-458980834,"2024-04-12",WH-014,PRD-65518,1117.0,40,"0.27",C
MFG-220436391,"2024-01-04",WH-006,PRD-76469,398.0,7,"1.99",B
MFG-248511401,"2025-06-21",WH-006,PRD-25129,959.0,55,"1.18",A
MFG-266076222,"2025-03-12",WH-013,PRD-35112,861.0,40,"1.51",B
MFG-517801516,"2024-11-24",WH-013,PRD-10074,990.0,57,"0.62",C
MFG-571284735,"2024-07-07",WH-006,PRD-97153,1169.0,25,"0.43",C
MFG-236430963,"2024-01-21",WH-005,PRD-61876,1078.0,21,"1.44 hrs",B
MFG-646959710,"2024-03-26",WH-013,PRD-66155,891.0,22,"0.7",B
MFG-252074202,"2025-02-21",WH-014,PRD-40007,913.0,42,"0.1",A
MFG-967380584,"2025-08-11",WH-006,PRD-64040,1164.0,48,"0.12",A
MFG-516536523,"2025-12-19",WH-014,PRD-25129,1078.0,12,"2.06",A
MFG-703174542,"2024-02-06",WH-013,PRD-38080,456.0,25,"0.44",
MFG-989749339,"2025-11-17",WH-005,PRD-10074,1245.0,24,"1.16",C
MFG-363622463,"2025-04-14",WH-002,PRD-95180,1500.0,26,"2.3",A
MFG-706632076,"2025-09-14",WH-006,PRD-21114,1252.0,57,"0.28",B
MFG-303054192,"2025-01-10",WH-014,PRD-71348,1430.0,66,"1.31",B
MFG-331159652,"2024-03-29",WH-002,PRD-15229,981.0,3,"0.51",A
MFG-930938418,"2024-07-19",WH-006,PRD-99353,578.0,23,"1.9",A
MFG-239155567,"2025-03-24",WH-005,PRD-10074,1066.0,41,"0.37",B
MFG-967638549,"2025-06-13",WH-002,PRD-23104,,18,"0.1",B
MFG-316608382,"2024-02-19",WH-005,PRD-25906,1205.0,32,"0.51",B
MFG-497384497,"2024-05-24",WH-006,PRD-66155,610.0,33,"0.22",A
MFG-894664836,"2025-07-19",WH-013,PRD-35112,970.0,23,"0.34",C
MFG-281554998,"2025-04-18",WH-005,PRD-42527,297.0,4,"0.38",A
MFG-979693274,"2025-09-29",WH-002,PRD-25906,818.0,13,"0.27",A
MFG-242606156,"2024-08-08",WH-013,PRD-23104,1036.0,55,"2.88",C
MFG-338036865,"2024-07-26",WH-002,PRD-90120,808.0,37,"0.16",A
MFG-681844670,"2025-08-18",WH-002,PRD-81511,1104.0,62,"0.45",A
MFG-481533845,"2024-02-09",WH-013,PRD-38080,848.0,27,"1.6",B
MFG-895781262,"2025-07-04",WH-013,PRD-65724,775.0,3,"0.03 hrs",A
MFG-863117552,"2025-01-31",WH-013,PRD-47606,807.0,43,"2.24",B
MFG-852574834,"2025-07-28",WH-013,PRD-47606,634.0,2,"2.36",A
MFG-527483799,"2025-09-19",WH-006,PRD-74799,664.0,23,"0.85 hrs",B
MFG-826484056,"2024-07-22",WH-006,PRD-65518,,54,"0.18",A
MFG-833734063,"2024-03-26",WH-006,PRD-23104,824.0,14,"0.95 hrs",B
MFG-181150117,"2024-04-13",WH-013,PRD-96511,1225.0,46,"0.01",B
MFG-112454842,"2024-03-04",WH-014,PRD-40982,1000.0,45,"0.09",B
MFG-895922911,"2025-01-21",WH-013,PRD-44237,1290.0,51,"0.54",A
MFG-639936858,"2024-09-08",WH-013,PRD-40007,1247.0,65,"1.26",B
MFG-882124668,"2025-05-23",WH-002,PRD-74799,870.0,12,"0.43",B
MFG-143895343,"2025-03-27",WH-013,PRD-98555,895.0,35,"1.33",B
MFG-294019959,"2024-09-21",WH-006,PRD-98555,1019.0,21,"0.38",B
MFG-868536804,"2024-09-01",WH-013,PRD-96511,,31,"1.15",B
MFG-213495808,"2025-08-06",WH-002,PRD-12757,820.0,34,"0.76",B
MFG-628855107,"2025-10-17",WH-006,PRD-15229,1348.0,42,"0.57",B
MFG-152164490,"2025-07-18",WH-002,PRD-74799,869.0,4,"1.11 hrs",A
MFG-998422417,"2024-11-15",WH-014,PRD-79822,601.0,30,"2.89",C
MFG-922576891,"2025-04-12",WH-013,PRD-44237,603.0,10,"0.79",A
MFG-197146953,"2025-12-28",WH-002,PRD-79329,832.0,27,"0.82 hrs",A
MFG-683620910,"2025-08-23",WH-013,PRD-81066,1216.0,19,"0.5",A
MFG-845338563,"2025-08-12",WH-013,PRD-24371,1165.0,15,"0.01",C
MFG-857859467,"2024-09-23",WH-014,PRD-81066,1300.0,42,"0.21",A
MFG-590131096,"2025-04-20",WH-005,PRD-98555,938.0,8,"0.1",C
MFG-749378016,"2024-01-02",WH-014,PRD-39154,940.0,8,"3.54",C
MFG-980473174,"2025-09-05",WH-006,PRD-39154,928.0,22,"1.74",B
MFG-566394062,"2025-01-01",WH-013,PRD-99353,787.0,43,"0.52",C
MFG-280423093,"2025-11-14",WH-005,PRD-89457,796.0,3,"0.81",B
MFG-731257696,"2024-04-17",WH-005,PRD-67912,,15,"0.08 hrs",B
MFG-554121632,"2024-04-28",WH-005,PRD-94080,566.0,28,"0.05",A
MFG-221087334,"2024-09-09",WH-005,PRD-90120,1431.0,25,"0.2",B
MFG-729206943,"2024-08-13",WH-002,PRD-63354,1115.0,16,"0.66 hrs",B
MFG-537909071,"2024-09-29",WH-014,PRD-15229,689.0,12,"0.77",C
MFG-659756944,"2025-12-10",WH-014,PRD-21114,996.0,58,"0.28",C
MFG-975007056,"2024-06-01",WH-006,PRD-24371,,19,"3.34",B
MFG-623887208,"2024-10-06",WH-002,PRD-89457,1038.0,18,"0.5",A
MFG-158771521,"2025-10-19",WH-005,PRD-98555,1196.0,39,"0.22",A
MFG-524439377,"2024-02-16",WH-006,PRD-76469,757.0,32,"1.45",C
MFG-593766956,"2025-02-12",WH-013,PRD-99353,1181.0,26,"0.18",
MFG-987864034,"2024-01-26",WH-014,PRD-65518,806.0,34,"0.79",A
MFG-529178375,"2024-03-30",WH-002,PRD-76469,1477.0,85,"0.19",B
MFG-635537216,"2025-08-07",WH-002,PRD-84085,611.0,4,"0.11",C
MFG-778774074,"2024-03-11",WH-005,PRD-23104,1046.0,43,"0.15 hrs",C
MFG-113563317,"2024-06-27",WH-014,PRD-81511,995.0,17,"0.03",B
MFG-299627638,"2024-10-11",WH-006,PRD-68082,1287.0,40,"0.26",B
MFG-505783488,"2024-12-28",WH-006,PRD-96511,1202.0,31,"0.9",C
MFG-621426542,"2024-09-26",WH-006,PRD-79329,,7,"1.09",C
MFG-788343269,"2025-12-12",WH-014,PRD-10074,613.0,2,"0.65",A
MFG-208659222,"2024-05-08",WH-013,PRD-79329,1470.0,56,"1.97",C
MFG-706265541,"2024-01-10",WH-005,PRD-81066,1115.0,46,"0.02",A
MFG-849701902,"2025-01-05",WH-002,PRD-59672,1257.0,7,"2.16 hrs",A
MFG-145705917,"2025-04-11",WH-006,PRD-79822,899.0,31,"0.7",A
MFG-687453484,"2025-09-19",WH-006,PRD-91351,1116.0,30,"0.02",C
MFG-742752745,"2024-02-22",WH-014,PRD-10074,1387.0,33,"1.63",C
