"snapshot_id","snapshot_date","warehouse_id","product_id","on_hand_qty","reserved_qty","in_transit_qty","reorder_point"
INV-673219816,"2025-04-02",WH-010,PRD-65724,396,108.0,31,300.0
INV-726836065,"2024-05-16",WH-004,PRD-81511,583,,240,300.0
INV-270724062,"2024-11-04",WH-005,PRD-61876,520,155.0,54,350.0
INV-117611974,"2025-03-02",WH-014,PRD-40784,401,55.0,36,350.0
INV-895614954,"2024-07-28",WH-012,PRD-68008,285,33.0,25,350.0
INV-238801340,"2024-08-18",WH-006,PRD-59672,355,31.0,64,350.0
INV-562033551,"2025-02-16",WH-007,PRD-76469,530,140.0,90,350.0
INV-229871511,"2024-01-31",WH-008,PRD-25906,442,73.0,150,300.0
INV-544882449,"2024-10-16",WH-016,PRD-42527,144,22.0,65,200.0
INV-831445162,"2024-03-03",WH-004,PRD-81511,635,68.0,91,350.0
INV-691511146,"2025-02-10",WH-012,PRD-89457,486,87.0,169,200.0
INV-462937265,"2024-07-07",WH-011,PRD-40982,419,92.0,119,350.0
INV-466975647,"04/07/2025",WH-011,PRD-30635,412,24.0,115,200.0
INV-864379300,"2024-04-07",WH-014,PRD-84085,221,38.0,127,300.0
INV-900404821,"2024-08-05",WH-002,PRD-59672,248,31.0,103,250.0
INV-204765485,"2025-09-03",WH-016,PRD-79822,46,9.0,224,
INV-165596900,"2024-06-23",WH-016,PRD-99353,476,147.0,61,250.0
INV-864182922,"2024-11-19",WH-005,PRD-63354,228,61.0,90,
INV-992910541,"2024-01-27",WH-013,PRD-19171,407,132.0,72,
INV-476960490,"2024-03-19",WH-009,PRD-30635,215,,91,300.0
INV-956715292,"2024-07-24",WH-012,PRD-74799,-241,0.0,74,
INV-450648853,"09/29/2024",WH-015,PRD-10425,382,50.0,155,300.0
INV-847321975,"2025-04-24",WH-007,PRD-68008,345,28.0,109,200.0
INV-184060174,"2024-07-25",WH-010,PRD-19171,461,115.0,156,350.0
INV-791263666,"2025-07-30",WH-001,PRD-65461,395,118.0,98,
INV-384009703,"2025-06-14",WH-005,PRD-74799,296,16.0,111,300.0
INV-105857764,"2024-06-07",WH-006,PRD-68082,314,43.0,147,200.0
INV-754388008,"2024-08-09",WH-007,PRD-38080,348,,94,200.0
INV-581854523,"2024-04-12",WH-015,PRD-23104,178,30.0,118,350.0
INV-696560280,"2024-04-19",WH-014,PRD-62923,326,24.0,145,200.0
INV-808726626,"2025-05-05",WH-001,PRD-97153,422,,154,350.0
INV-300624343,"2024-01-28",WH-001,PRD-62923,344,47.0,168,250.0
INV-206700013,"2025-01-15",WH-015,PRD-89457,292,82.0,150,350.0
INV-956130054,"2024-02-04",WH-011,PRD-94080,-756,0.0,48,250.0
INV-870381085,"2024-05-05",WH-016,PRD-17100,546,149.0,62,300.0
INV-141695134,"2025-11-16",WH-007,PRD-65461,300,43.0,63,
INV-901686683,"2025-08-11",WH-003,PRD-76469,241,37.0,99,200.0
INV-774583346,"2025-04-30",WH-008,PRD-39154,216,56.0,116,300.0
INV-775372607,"2025-10-26",WH-007,PRD-44237,571,152.0,123,250.0
INV-992987774,"2024-04-04",WH-003,PRD-94080,916,207.0,94,
INV-971364929,"2025-09-07",WH-016,PRD-12757,676,192.0,0,200.0
INV-831162974,"2024-11-01",WH-014,PRD-10074,461,58.0,95,300.0
INV-236561595,"2024-05-01",WH-014,PRD-95180,462,121.0,0,350.0
INV-748433545,"2025-02-01",WH-015,PRD-30635,354,18.0,36,
INV-249895135,"2025-05-11",WH-014,PRD-38080,370,59.0,9,250.0
INV-227123511,"2025-10-03",WH-001,PRD-65461,320,60.0,83,250.0
INV-180517200,"2024-06-13",WH-008,PRD-23104,-629,0.0,96,200.0
INV-591484953,"2024-12-12",WH-006,PRD-10074,0,0.0,113,350.0
INV-555149609,"2024-04-15",WH-014,PRD-94080,377,64.0,106,350.0
INV-172416437,"2024-03-03",WH-004,PRD-42018,529,95.0,52,200.0
INV-699325447,"2025-04-24",WH-004,PRD-61876,498,,140,300.0
INV-883655286,"2025-11-03",WH-006,PRD-15229,382,123.0,21,250.0
INV-815920738,"2025-10-27",WH-013,PRD-21114,322,70.0,42,200.0
INV-157596206,"2025-03-03",WH-005,PRD-81066,157,,214,
INV-181541529,"03/21/2025",WH-015,PRD-10425,150,46.0,33,300.0
INV-703352877,"2024-04-07",WH-004,PRD-40007,436,98.0,31,300.0
INV-457319976,"2025-08-21",WH-007,PRD-95180,488,59.0,29,350.0
INV-829206317,"2024-11-09",WH-015,PRD-39154,390,70.0,122,200.0
INV-505733653,"2025-02-25",WH-005,PRD-21114,421,52.0,241,350.0
INV-245866549,"2025-01-07",WH-007,PRD-95180,-481,0.0,42,350.0
INV-191045778,"2025-01-04",WH-006,PRD-39154,365,74.0,194,350.0
INV-360414580,"2024-09-07",WH-003,PRD-71348,373,59.0,90,350.0
INV-726863260,"2024-07-17",WH-006,PRD-90120,370,105.0,167,350.0
INV-464794353,"2024-08-21",WH-006,PRD-89457,546,84.0,87,250.0
INV-334450003,"2024-12-07",WH-001,PRD-79822,424,79.0,108,300.0
INV-761485855,"2025-09-11",WH-008,PRD-21114,496,47.0,118,250.0
INV-312433894,"2025-05-19",WH-007,PRD-39154,186,64.0,20,350.0
INV-415204083,"2024-10-27",WH-014,PRD-24371,-457,0.0,100,300.0
INV-983750736,"2025-12-02",WH-003,PRD-65518,483,27.0,106,250.0
INV-179087396,"2024-02-01",WH-015,PRD-40982,400,29.0,123,200.0
INV-772092067,"2024-06-14",WH-002,PRD-25906,706,113.0,66,200.0
INV-320686817,"2024-03-05",WH-010,PRD-68008,427,107.0,123,250.0
INV-873326175,"2024-11-05",WH-010,PRD-19171,493,79.0,99,
INV-401966171,"2024-02-06",WH-010,PRD-81066,655,97.0,107,350.0
INV-521242766,"2024-02-24",WH-011,PRD-67912,321,26.0,110,350.0
INV-502752729,"2025-08-21",WH-009,PRD-10074,479,49.0,37,200.0
INV-799904638,"2024-03-16",WH-004,PRD-49117,358,87.0,42,300.0
INV-769231792,"2025-08-29",WH-008,PRD-42527,255,,26,350.0
INV-263855780,"2025-05-14",WH-011,PRD-59672,222,,165,350.0
INV-912278185,"2025-06-24",WH-016,PRD-25906,509,154.0,50,200.0
INV-304631007,"2025-07-30",WH-014,PRD-12757,455,135.0,49,350.0
INV-545390535,"2024-02-24",WH-005,PRD-74799,393,79.0,149,350.0
INV-719896583,"2024-01-02",WH-004,PRD-68008,400,89.0,175,250.0
INV-672861730,"2024-03-02",WH-013,PRD-25906,578,53.0,141,200.0
INV-786538327,"2024-01-09",WH-005,PRD-21114,385,50.0,167,
INV-990235694,"2025-12-28",WH-014,PRD-21114,618,81.0,150,200.0
INV-578451349,"2025-04-01",WH-009,PRD-47606,276,84.0,0,300.0
INV-284703804,"2025-03-24",WH-003,PRD-65518,505,61.0,102,
INV-311871872,"2025-09-19",WH-009,PRD-95180,305,57.0,159,350.0
INV-512643128,"2025-03-29",WH-008,PRD-71348,483,55.0,103,350.0
INV-725856262,"2025-06-05",WH-001,PRD-23104,299,76.0,152,300.0
INV-261332993,"2024-02-10",WH-003,PRD-71348,567,120.0,8,300.0
INV-836977854,"2024-02-01",WH-002,PRD-40007,235,49.0,68,350.0
INV-959428166,"2024-08-23",WH-001,PRD-94080,685,203.0,124,350.0
INV-860890014,"2024-08-13",WH-016,PRD-65461,441,123.0,208,350.0
INV-856900495,"2025-04-25",WH-016,PRD-74799,104,13.0,133,200.0
INV-843925418,"2025-12-05",WH-011,PRD-98555,219,31.0,124,300.0
INV-739576582,"2024-06-22",WH-001,PRD-39154,367,120.0,89,
INV-981908789,"2024-07-11",WH-008,PRD-35112,561,35.0,95,200.0
INV-813555177,"2025-10-06",WH-004,PRD-65518,598,127.0,24,250.0
INV-605094535,"2024-02-13",WH-009,PRD-44237,403,,25,300.0
INV-647908495,"2025-05-24",WH-007,PRD-76469,568,176.0,86,300.0
INV-128709959,"2025-04-14",WH-010,PRD-66155,649,182.0,138,200.0
INV-381908719,"2024-11-14",WH-010,PRD-96511,578,184.0,104,250.0
INV-407185173,"2024-03-06",WH-011,PRD-81066,301,61.0,157,
INV-832585918,"2025-11-17",WH-007,PRD-76469,303,59.0,0,
INV-238995335,"2025-06-23",WH-003,PRD-10425,436,147.0,151,200.0
INV-398747429,"2024-04-02",WH-004,PRD-62923,408,67.0,142,
INV-288219457,"2024-09-24",WH-006,PRD-49117,466,,122,
INV-874692071,"2025-04-22",WH-004,PRD-94080,279,91.0,81,250.0
INV-705254633,"2025-03-02",WH-012,PRD-10425,309,36.0,152,250.0
INV-803451968,"2025-07-19",WH-008,PRD-25906,512,96.0,95,
INV-405208959,"2025-08-16",WH-002,PRD-96511,70,9.0,166,300.0
INV-662258328,"2024-07-01",WH-016,PRD-82845,119,9.0,92,
INV-473198182,"2024-03-25",WH-013,PRD-49117,-222,0.0,211,250.0
INV-188467601,"2025-03-04",WH-010,PRD-12757,422,92.0,52,
INV-828567306,"2025-02-28",WH-007,PRD-98555,338,70.0,104,250.0
INV-494656170,"2024-10-05",WH-012,PRD-15229,443,99.0,59,350.0
INV-849432515,"2024-08-08",WH-010,PRD-38080,257,73.0,180,300.0
INV-580519144,"2025-10-01",WH-010,PRD-10074,293,93.0,141,250.0
INV-884369877,"2025-06-11",WH-014,PRD-10221,346,83.0,124,300.0
INV-450858857,"03/20/2024",WH-006,PRD-81066,215,30.0,47,350.0
INV-528114311,"2025-02-19",WH-013,PRD-84085,436,128.0,76,200.0
INV-409872912,"2025-09-11",WH-004,PRD-65461,530,68.0,84,
INV-432121145,"2025-12-27",WH-009,PRD-30635,509,126.0,83,200.0
INV-926959180,"2025-12-29",WH-011,PRD-84085,261,28.0,90,350.0
INV-566348047,"01/05/2025",WH-002,PRD-15229,353,105.0,87,
INV-333476497,"2024-02-06",WH-005,PRD-67912,509,99.0,162,
INV-256372479,"2024-08-06",WH-001,PRD-65461,272,51.0,82,300.0
INV-440610542,"2024-06-01",WH-003,PRD-67912,471,31.0,39,
INV-823647804,"2025-10-23",WH-012,PRD-81066,357,26.0,119,250.0
INV-799429992,"2024-09-29",WH-012,PRD-62923,401,109.0,137,250.0
INV-702226428,"2025-11-21",WH-009,PRD-10221,321,,76,200.0
INV-861016763,"07/15/2025",WH-009,PRD-24371,169,45.0,60,300.0
INV-340374183,"2024-02-28",WH-006,PRD-76469,834,85.0,116,350.0
INV-140893421,"2025-09-08",WH-012,PRD-10221,445,85.0,57,
INV-576367293,"2024-02-20",WH-010,PRD-68082,477,102.0,241,350.0
INV-506084016,"2024-01-29",WH-016,PRD-67912,601,90.0,94,250.0
INV-246567920,"2025-02-27",WH-008,PRD-82845,-509,0.0,88,350.0
INV-860404337,"2024-01-06",WH-010,PRD-94080,431,108.0,72,
INV-647847150,"2025-11-02",WH-011,PRD-65724,506,60.0,46,350.0
INV-900746044,"2024-10-20",WH-002,PRD-71348,-282,0.0,71,
INV-875506562,"2024-09-29",WH-007,PRD-25906,397,51.0,43,300.0
INV-908035143,"2025-05-22",WH-008,PRD-95180,537,92.0,109,350.0
INV-190385066,"2024-07-19",WH-012,PRD-40007,238,68.0,74,350.0
INV-456039309,"2024-09-14",WH-014,PRD-82845,422,113.0,0,300.0
INV-148929795,"2024-06-04",WH-011,PRD-79822,334,99.0,10,
INV-981027590,"2024-10-17",WH-013,PRD-49117,316,45.0,102,350.0
INV-842575102,"2024-09-01",WH-002,PRD-17100,445,89.0,210,250.0
INV-917588345,"2024-03-05",WH-002,PRD-91351,953,159.0,33,300.0
INV-383131596,"2024-11-15",WH-016,PRD-64040,228,27.0,80,350.0
INV-421661401,"2025-09-20",WH-009,PRD-24371,156,25.0,128,200.0
INV-612203535,"2024-06-29",WH-010,PRD-67912,300,60.0,81,200.0
INV-128801655,"2024-03-15",WH-004,PRD-65461,502,113.0,39,200.0
INV-545299554,"2025-12-11",WH-003,PRD-24371,275,69.0,121,300.0
INV-906222248,"2024-01-30",WH-002,PRD-95180,462,156.0,173,300.0
INV-320079557,"2024-07-04",WH-015,PRD-89457,275,44.0,84,350.0
INV-316198770,"2024-01-01",WH-007,PRD-39154,220,45.0,118,300.0
INV-983811182,"05/15/2024",WH-014,PRD-90120,769,175.0,60,
INV-468435383,"2024-01-30",WH-012,PRD-68082,207,39.0,87,300.0
INV-159486055,"2024-02-03",WH-014,PRD-65518,809,133.0,148,250.0
INV-121531420,"2024-11-02",WH-005,PRD-42527,534,62.0,98,250.0
INV-710780197,"2025-05-30",WH-001,PRD-61876,585,86.0,39,
INV-331616500,"2025-09-20",WH-002,PRD-17100,682,47.0,139,200.0
INV-934481687,"2024-04-25",WH-016,PRD-24371,271,87.0,162,
INV-110038831,"2025-04-17",WH-010,PRD-40784,252,44.0,133,300.0
INV-497477070,"2024-04-03",WH-006,PRD-63354,432,44.0,16,250.0
INV-268153839,"2025-01-11",WH-001,PRD-25129,506,53.0,148,
INV-509344631,"2024-03-25",WH-008,PRD-79329,413,85.0,86,
INV-223031727,"2025-01-20",WH-002,PRD-68008,374,127.0,141,350.0
INV-714100517,"2024-03-29",WH-014,PRD-94080,456,70.0,239,
INV-493725820,"2024-08-18",WH-015,PRD-94080,-494,0.0,164,250.0
INV-293369580,"06/21/2024",WH-007,PRD-98555,388,23.0,119,250.0
INV-979937214,"2025-06-21",WH-009,PRD-99353,141,25.0,91,
INV-546537072,"2024-05-04",WH-004,PRD-95180,259,78.0,99,300.0
INV-239253508,"2025-10-01",WH-010,PRD-23104,230,27.0,122,250.0
INV-977022938,"2024-10-31",WH-008,PRD-68082,365,88.0,129,200.0
INV-994329253,"2025-01-28",WH-001,PRD-89457,495,43.0,74,350.0
INV-666949934,"2024-10-28",WH-003,PRD-68082,498,76.0,43,300.0
INV-388573365,"2024-06-02",WH-014,PRD-81511,376,26.0,168,200.0
INV-991393687,"2025-05-16",WH-003,PRD-66155,421,77.0,81,350.0
INV-632907163,"2024-05-06",WH-005,PRD-17100,242,72.0,141,250.0
INV-117168521,"2025-01-12",WH-003,PRD-82845,226,32.0,123,300.0
INV-783751328,"2025-12-18",WH-002,PRD-61876,283,35.0,108,
INV-483777554,"2025-12-19",WH-001,PRD-24371,392,123.0,46,250.0
INV-352447077,"2025-07-11",WH-016,PRD-44237,271,86.0,123,300.0
INV-351961137,"2024-12-16",WH-016,PRD-42018,672,40.0,111,200.0
INV-225632059,"2025-12-30",WH-005,PRD-49117,-555,0.0,33,200.0
INV-654947267,"2025-11-14",WH-012,PRD-12757,224,52.0,138,350.0
INV-860134452,"2024-10-01",WH-008,PRD-10221,331,18.0,84,
INV-686642355,"2025-03-25",WH-007,PRD-67912,426,148.0,121,350.0
INV-158219457,"2025-04-12",WH-001,PRD-35112,542,111.0,144,250.0
INV-630292132,"2025-07-05",WH-015,PRD-81511,537,129.0,101,300.0
INV-871179486,"2024-02-13",WH-009,PRD-65724,555,63.0,137,
INV-913178246,"2025-12-14",WH-003,PRD-64040,459,46.0,142,300.0
INV-339407955,"2024-07-27",WH-001,PRD-74799,276,54.0,100,350.0
INV-280883737,"2024-06-05",WH-004,PRD-93130,273,42.0,100,300.0
INV-626637330,"2024-09-19",WH-015,PRD-65518,562,125.0,177,350.0
INV-651754242,"2024-08-02",WH-014,PRD-79329,438,112.0,128,
INV-106733819,"2024-12-08",WH-015,PRD-81511,201,56.0,141,300.0
INV-767761694,"03/04/2025",WH-015,PRD-79329,178,21.0,79,200.0
INV-328047933,"2025-11-08",WH-005,PRD-64040,-278,0.0,12,200.0
INV-515619762,"2025-06-24",WH-003,PRD-49117,413,132.0,43,250.0
INV-719325490,"2025-05-23",WH-008,PRD-59672,412,81.0,73,300.0
INV-730621333,"2024-08-16",WH-007,PRD-10074,633,44.0,76,200.0
INV-167378641,"2025-12-30",WH-007,PRD-62923,306,87.0,194,250.0
INV-870578825,"06/25/2024",WH-011,PRD-25906,395,41.0,138,250.0
INV-340195127,"2024-08-22",WH-012,PRD-10425,406,126.0,84,300.0
INV-412892287,"2024-07-01",WH-002,PRD-68082,542,34.0,133,250.0
INV-848960904,"2025-06-21",WH-001,PRD-23104,516,62.0,137,250.0
INV-516859639,"2024-10-27",WH-008,PRD-81511,277,69.0,73,
INV-667390779,"2025-12-21",WH-009,PRD-41385,435,75.0,168,200.0
INV-250418021,"2024-08-17",WH-015,PRD-79822,451,149.0,0,200.0
INV-458708666,"2024-10-10",WH-003,PRD-25129,266,39.0,43,200.0
INV-447625589,"2025-09-30",WH-008,PRD-89457,454,32.0,135,350.0
INV-326297206,"2024-11-18",WH-007,PRD-24371,45,9.0,21,300.0
INV-185793400,"2024-12-29",WH-006,PRD-24371,197,38.0,53,350.0
INV-208824034,"2024-09-23",WH-005,PRD-44237,236,59.0,152,350.0
INV-617916637,"2024-07-22",WH-013,PRD-91351,571,92.0,41,250.0
INV-659235349,"2024-03-12",WH-006,PRD-42018,-132,0.0,155,300.0
INV-538484940,"2024-01-29",WH-006,PRD-59672,323,88.0,42,250.0
INV-966275202,"2024-04-09",WH-013,PRD-24371,535,108.0,172,350.0
INV-158895871,"2025-03-22",WH-007,PRD-71348,373,31.0,156,300.0
INV-898322136,"2024-07-31",WH-003,PRD-90120,432,138.0,107,300.0
INV-899523054,"2024-10-12",WH-016,PRD-65724,588,133.0,45,350.0
INV-427736015,"2025-08-14",WH-014,PRD-76469,565,55.0,151,
INV-454504674,"2025-09-20",WH-011,PRD-44237,198,61.0,128,350.0
INV-169837431,"07/18/2024",WH-010,PRD-47606,623,161.0,216,250.0
INV-504782971,"2024-05-08",WH-005,PRD-65461,302,50.0,24,
INV-617678150,"2024-05-08",WH-010,PRD-40784,403,70.0,243,
INV-812414240,"2024-06-24",WH-009,PRD-40007,670,154.0,0,350.0
INV-886432965,"2024-03-17",WH-005,PRD-61876,406,93.0,148,
INV-275643589,"2025-09-10",WH-008,PRD-97153,157,,45,350.0
INV-243946852,"2025-03-14",WH-006,PRD-63354,531,60.0,36,
INV-790595064,"2025-06-24",WH-006,PRD-62923,470,47.0,107,300.0
INV-391724244,"04/14/2024",WH-006,PRD-67912,138,39.0,123,250.0
INV-113930602,"2024-02-22",WH-013,PRD-38080,225,46.0,175,200.0
INV-731966036,"2025-04-07",WH-005,PRD-17100,352,,218,
INV-637287943,"2025-01-26",WH-004,PRD-63354,238,37.0,80,250.0
INV-915662413,"2025-08-24",WH-011,PRD-15229,479,109.0,102,250.0
INV-379095637,"2025-11-15",WH-007,PRD-42527,249,39.0,198,350.0
INV-907890459,"2024-08-04",WH-002,PRD-19171,-511,0.0,182,
INV-709427456,"2025-07-17",WH-010,PRD-71348,680,162.0,29,
INV-632274509,"2024-03-09",WH-003,PRD-64040,500,124.0,157,350.0
INV-282137366,"2025-05-01",WH-015,PRD-98555,761,169.0,108,
INV-142572764,"2025-06-02",WH-006,PRD-82845,350,101.0,0,200.0
INV-761835857,"2024-11-17",WH-004,PRD-68082,467,154.0,162,200.0
INV-670752816,"2024-03-09",WH-016,PRD-35112,501,168.0,105,350.0
INV-941965902,"2025-11-21",WH-012,PRD-23104,287,66.0,161,250.0
INV-584875410,"2024-10-26",WH-001,PRD-17100,439,39.0,251,250.0
INV-183548448,"2025-03-24",WH-007,PRD-25129,495,112.0,170,
INV-114489798,"2025-05-12",WH-015,PRD-76469,552,161.0,112,300.0
INV-436395755,"2025-03-08",WH-009,PRD-62923,434,101.0,186,
INV-932499064,"2025-12-18",WH-012,PRD-65461,406,31.0,220,300.0
INV-396515076,"2024-08-17",WH-016,PRD-81511,220,54.0,55,300.0
INV-128765208,"2024-03-29",WH-005,PRD-40982,440,43.0,104,200.0
INV-633581373,"2025-07-31",WH-006,PRD-97153,326,65.0,59,250.0
INV-301928910,"2024-02-07",WH-013,PRD-90120,104,7.0,134,300.0
INV-520269946,"2024-01-05",WH-010,PRD-91351,161,38.0,82,200.0
INV-289012353,"2024-04-20",WH-007,PRD-12757,540,170.0,81,
INV-109565419,"2024-05-08",WH-001,PRD-12757,573,62.0,189,350.0
INV-248643143,"2025-05-12",WH-011,PRD-17100,442,,211,
INV-548833104,"2024-06-17",WH-009,PRD-82845,364,119.0,72,
INV-859030580,"2025-02-28",WH-003,PRD-71348,339,83.0,203,250.0
INV-646446463,"2024-11-22",WH-001,PRD-65724,296,58.0,178,300.0
INV-112694477,"2024-04-01",WH-007,PRD-40784,359,55.0,152,250.0
INV-882593340,"2024-06-06",WH-012,PRD-82845,424,70.0,79,250.0
INV-431779546,"2025-05-19",WH-016,PRD-42527,361,78.0,121,200.0
INV-418617924,"2024-10-21",WH-013,PRD-10425,618,58.0,59,250.0
INV-875103108,"2024-04-11",WH-009,PRD-19171,346,88.0,148,200.0
INV-731777084,"2024-02-01",WH-014,PRD-68082,264,27.0,198,
INV-883541129,"2024-07-26",WH-014,PRD-66155,561,87.0,145,350.0
INV-770737167,"2025-05-29",WH-013,PRD-19171,545,33.0,56,300.0
INV-291730005,"03/17/2024",WH-003,PRD-25129,496,82.0,150,
INV-707608505,"2025-05-26",WH-013,PRD-74799,379,78.0,108,300.0
INV-479126441,"07/04/2024",WH-004,PRD-49117,-95,0.0,70,300.0
INV-665983371,"2025-08-19",WH-014,PRD-35112,309,72.0,192,250.0
INV-176818991,"2025-07-18",WH-003,PRD-90120,300,99.0,129,
INV-395385403,"2024-08-21",WH-013,PRD-35112,52,5.0,54,250.0
INV-497063805,"2025-02-26",WH-002,PRD-44237,324,81.0,43,250.0
INV-196993080,"2024-04-23",WH-001,PRD-97153,393,,151,
INV-702989811,"2024-07-02",WH-006,PRD-71348,483,50.0,49,200.0
INV-281764895,"2025-06-05",WH-013,PRD-79329,453,157.0,132,300.0
INV-745566605,"10/12/2024",WH-005,PRD-23104,247,23.0,96,250.0
INV-254675507,"2025-01-15",WH-010,PRD-63354,373,125.0,88,
INV-726530417,"2024-04-13",WH-013,PRD-89457,-252,0.0,102,250.0
INV-546395037,"2025-12-16",WH-015,PRD-24371,458,44.0,0,
INV-592842976,"2024-04-10",WH-016,PRD-40784,94,10.0,114,200.0
INV-780257547,"2025-02-18",WH-003,PRD-15229,553,166.0,149,300.0
INV-737522583,"2025-10-13",WH-015,PRD-41385,583,57.0,95,
INV-649355581,"2024-01-04",WH-005,PRD-90120,548,133.0,157,200.0
INV-636489828,"2025-10-07",WH-012,PRD-25906,226,65.0,143,
INV-936059658,"2025-06-04",WH-004,PRD-10425,-250,0.0,102,300.0
INV-729303754,"05/08/2025",WH-009,PRD-79329,417,,121,
INV-330349730,"04/01/2024",WH-012,PRD-71348,423,65.0,161,350.0
INV-730815207,"2025-12-19",WH-007,PRD-95180,726,153.0,237,
INV-181431353,"2024-03-21",WH-001,PRD-65518,350,26.0,116,
INV-142193259,"2024-08-24",WH-008,PRD-38080,409,123.0,65,300.0
INV-362506237,"2025-05-03",WH-007,PRD-95180,353,22.0,41,200.0
