"customer_id","customer_segment","region","loyalty_tier","age","signup_date","customer_id_clean","signup_dt","is_signup_date_bad"
CUST-184491,Consumer,EU,Platinum,29.0,"04/29/2025",CUST-184491,2025-04-29 00:00:00.000,0
CUST-245095,Consumer,LATAM,Gold,,"2024-10-25",CUST-245095,2024-10-25 00:00:00.000,0
CUST-258157,Enterprise,EU,Silver,18.0,"2024-11-28",CUST-258157,2024-11-28 00:00:00.000,0
CUST-342495,Consumer,EU,Gold,35.0,"2025-04-25",CUST-342495,2025-04-25 00:00:00.000,0
CUST-501641,Enterprise,,Gold,34.0,"2025-05-20",CUST-501641,2025-05-20 00:00:00.000,0
CUST-827659,Consumer,LATAM,Platinum,36.0,"08/31/2025",CUST-827659,2025-08-31 00:00:00.000,0
CUST-260227,Consumer,APAC,Platinum,38.0,"2025-02-05",CUST-260227,2025-02-05 00:00:00.000,0
CUST-840734,Consumer,LATAM,Gold,25.0,"2024-05-29",CUST-840734,2024-05-29 00:00:00.000,0
CUST-324345,Enterprise,LATAM,Platinum,37.0,"2024-01-10",CUST-324345,2024-01-10 00:00:00.000,0
CUST-167348,Consumer,APAC,Silver,38.0,"2024-02-22",CUST-167348,2024-02-22 00:00:00.000,0
CUST-535020,Automotive,,Platinum,28.0,"2025-10-15",CUST-535020,2025-10-15 00:00:00.000,0
CUST-527398,Consumer,LATAM,Gold,38.0,"2025-03-21",CUST-527398,2025-03-21 00:00:00.000,0
CUST-446954,Enterprise,LATAM,Silver,34.0,"2025-01-30",CUST-446954,2025-01-30 00:00:00.000,0
CUST-668969,Consumer,EU,Gold,,"2024-11-23",CUST-668969,2024-11-23 00:00:00.000,0
CUST-588557,Enterprise,LATAM,Silver,27.0,"2025-04-27",CUST-588557,2025-04-27 00:00:00.000,0
CUST-535970,Consumer,APAC,Gold,37.0,"2024-07-07",CUST-535970,2024-07-07 00:00:00.000,0
CUST-165290,Consumer,EU,Platinum,30.0,"2024-02-04",CUST-165290,2024-02-04 00:00:00.000,0
CUST-316881,Consumer,,Silver,,"2024-08-30",CUST-316881,2024-08-30 00:00:00.000,0
CUST-973349,Consumer,EU,Gold,41.0,"2025-02-02",CUST-973349,2025-02-02 00:00:00.000,0
CUST-540552,Consumer,APAC,Platinum,31.0,"2025-08-08",CUST-540552,2025-08-08 00:00:00.000,0
CUST-508396,Consumer,APAC,Silver,,"2025-03-29",CUST-508396,2025-03-29 00:00:00.000,0
CUST-907189,Consumer,EU,Platinum,19.0,"2025-08-25",CUST-907189,2025-08-25 00:00:00.000,0
CUST-712451,Consumer,,Silver,36.0,"2024-12-30",CUST-712451,2024-12-30 00:00:00.000,0
CUST-829308,Enterprise,EU,Platinum,36.0,"2024-09-23",CUST-829308,2024-09-23 00:00:00.000,0
CUST-120480,Enterprise,,Silver,22.0,"2024-01-07",CUST-120480,2024-01-07 00:00:00.000,0
CUST-998348,Consumer,EU,,42.0,"2025-05-25",CUST-998348,2025-05-25 00:00:00.000,0
CUST-902784,Enterprise,APAC,Platinum,41.0,"2024-02-14",CUST-902784,2024-02-14 00:00:00.000,0
CUST-703655,Enterprise,LATAM,Platinum,24.0,"2025-09-28",CUST-703655,2025-09-28 00:00:00.000,0
CUST-498858,Consumer,LATAM,Silver,26.0,"10/28/2025",CUST-498858,2025-10-28 00:00:00.000,0
CUST-600149,Consumer,,Silver,32.0,"2024-09-24",CUST-600149,2024-09-24 00:00:00.000,0
CUST-106182,Consumer,,Gold,25.0,"2024-06-04",CUST-106182,2024-06-04 00:00:00.000,0
CUST-468845,Consumer,,Silver,41.0,"2024-06-05",CUST-468845,2024-06-05 00:00:00.000,0
CUST-413118,Consumer,APAC,Gold,35.0,"2024-09-22",CUST-413118,2024-09-22 00:00:00.000,0
CUST-890075,Consumer,EU,Platinum,21.0,"2025-01-04",CUST-890075,2025-01-04 00:00:00.000,0
CUST-508930,Enterprise,APAC,,24.0,"2024-12-29",CUST-508930,2024-12-29 00:00:00.000,0
CUST-994905,Enterprise,LATAM,Platinum,47.0,"2024-09-14",CUST-994905,2024-09-14 00:00:00.000,0
CUST-976325,Consumer,,Platinum,,"2025-03-15",CUST-976325,2025-03-15 00:00:00.000,0
CUST-539375,Consumer,EU,Silver,50.0,"2025-04-23",CUST-539375,2025-04-23 00:00:00.000,0
CUST-664365,Consumer,LATAM,Silver,39.0,"2024-09-12",CUST-664365,2024-09-12 00:00:00.000,0
CUST-883826,Consumer,LATAM,Silver,31.0,"2024-12-18",CUST-883826,2024-12-18 00:00:00.000,0
CUST-870319,Consumer,LATAM,Silver,29.0,"12/08/2025",CUST-870319,2025-12-08 00:00:00.000,0
CUST-672661,Enterprise,APAC,Gold,40.0,"2024-06-19",CUST-672661,2024-06-19 00:00:00.000,0
CUST-938722,Consumer,,Silver,34.0,"2025-05-11",CUST-938722,2025-05-11 00:00:00.000,0
CUST-732556,Enterprise,LATAM,Gold,18.0,"2024-06-27",CUST-732556,2024-06-27 00:00:00.000,0
CUST-331251,Automotive,,Silver,45.0,"2024-06-14",CUST-331251,2024-06-14 00:00:00.000,0
CUST-611945,Consumer,APAC,Platinum,48.0,"2025-07-24",CUST-611945,2025-07-24 00:00:00.000,0
CUST-330080,Enterprise,LATAM,,42.0,"2025-09-24",CUST-330080,2025-09-24 00:00:00.000,0
CUST-386193,Consumer,APAC,Gold,21.0,"2025-07-28",CUST-386193,2025-07-28 00:00:00.000,0
CUST-557007,Consumer,APAC,Platinum,,"2024-11-06",CUST-557007,2024-11-06 00:00:00.000,0
CUST-609232,Consumer,,Gold,26.0,"2024-01-06",CUST-609232,2024-01-06 00:00:00.000,0
CUST-130434,Enterprise,LATAM,Silver,18.0,"2024-02-27",CUST-130434,2024-02-27 00:00:00.000,0
CUST-507746,Consumer,APAC,Gold,51.0,"2025-03-06",CUST-507746,2025-03-06 00:00:00.000,0
CUST-452457,Enterprise,LATAM,Silver,30.0,"2024-08-13",CUST-452457,2024-08-13 00:00:00.000,0
CUST-801364,Enterprise,,Platinum,59.0,"2025-05-05",CUST-801364,2025-05-05 00:00:00.000,0
CUST-812131,Consumer,APAC,Gold,55.0,"2025-08-17",CUST-812131,2025-08-17 00:00:00.000,0
CUST-936912,Automotive,,Silver,24.0,"2024-01-24",CUST-936912,2024-01-24 00:00:00.000,0
CUST-523956,Consumer,LATAM,Gold,,"2024-08-08",CUST-523956,2024-08-08 00:00:00.000,0
CUST-859359,Consumer,LATAM,Silver,26.0,"2025-11-18",CUST-859359,2025-11-18 00:00:00.000,0
CUST-273061,Consumer,,,39.0,"2024-05-15",CUST-273061,2024-05-15 00:00:00.000,0
CUST-981334,Consumer,EU,Gold,18.0,"2025-03-06",CUST-981334,2025-03-06 00:00:00.000,0
CUST-590094,Enterprise,APAC,Platinum,29.0,"06/01/2024",CUST-590094,2024-06-01 00:00:00.000,0
CUST-233827,Consumer,LATAM,Gold,28.0,"2025-10-16",CUST-233827,2025-10-16 00:00:00.000,0
CUST-752483,Consumer,LATAM,Silver,54.0,"03/19/2024",CUST-752483,2024-03-19 00:00:00.000,0
CUST-660069,Enterprise,APAC,Gold,35.0,"2025-06-10",CUST-660069,2025-06-10 00:00:00.000,0
CUST-128276,Consumer,,Silver,30.0,"2025-05-23",CUST-128276,2025-05-23 00:00:00.000,0
CUST-513160,Consumer,,,27.0,"2024-03-27",CUST-513160,2024-03-27 00:00:00.000,0
CUST-720644,Consumer,,Gold,43.0,"2024-06-12",CUST-720644,2024-06-12 00:00:00.000,0
CUST-691807,Enterprise,EU,Gold,28.0,"2024-07-05",CUST-691807,2024-07-05 00:00:00.000,0
CUST-795205,Consumer,EU,Platinum,33.0,"2024-10-16",CUST-795205,2024-10-16 00:00:00.000,0
CUST-128418,Enterprise,LATAM,Gold,26.0,"2025-02-13",CUST-128418,2025-02-13 00:00:00.000,0
CUST-188025,Enterprise,,Platinum,18.0,"2025-04-29",CUST-188025,2025-04-29 00:00:00.000,0
CUST-773971,Consumer,APAC,Platinum,23.0,"2025-11-13",CUST-773971,2025-11-13 00:00:00.000,0
CUST-549433,Consumer,LATAM,,,"2024-04-02",CUST-549433,2024-04-02 00:00:00.000,0
CUST-242291,Consumer,APAC,Gold,28.0,"2025-12-18",CUST-242291,2025-12-18 00:00:00.000,0
CUST-584125,Consumer,LATAM,Platinum,31.0,"2024-05-27",CUST-584125,2024-05-27 00:00:00.000,0
CUST-290556,Consumer,EU,Platinum,31.0,"2024-10-20",CUST-290556,2024-10-20 00:00:00.000,0
CUST-152727,Consumer,LATAM,,33.0,"2024-09-03",CUST-152727,2024-09-03 00:00:00.000,0
CUST-372793,Consumer,EU,Gold,28.0,"2025-05-09",CUST-372793,2025-05-09 00:00:00.000,0
CUST-497519,Consumer,LATAM,Silver,48.0,"2024-02-05",CUST-497519,2024-02-05 00:00:00.000,0
CUST-443254,Consumer,,Silver,44.0,"2025-04-01",CUST-443254,2025-04-01 00:00:00.000,0
CUST-321941,Consumer,APAC,Gold,32.0,"2025-02-19",CUST-321941,2025-02-19 00:00:00.000,0
CUST-576786,Consumer,,Platinum,36.0,"2024-04-25",CUST-576786,2024-04-25 00:00:00.000,0
CUST-442722,Consumer,LATAM,Platinum,,"2024-02-11",CUST-442722,2024-02-11 00:00:00.000,0
CUST-453894,Consumer,LATAM,Gold,29.0,"2024-08-05",CUST-453894,2024-08-05 00:00:00.000,0
CUST-898207,Consumer,LATAM,Platinum,18.0,"2025-10-23",CUST-898207,2025-10-23 00:00:00.000,0
CUST-497542,Consumer,EU,Silver,34.0,"2025-03-29",CUST-497542,2025-03-29 00:00:00.000,0
CUST-391773,Enterprise,APAC,Platinum,37.0,"2024-06-11",CUST-391773,2024-06-11 00:00:00.000,0
CUST-888539,Consumer,APAC,Silver,18.0,"2025-09-01",CUST-888539,2025-09-01 00:00:00.000,0
CUST-972335,Automotive,LATAM,Platinum,39.0,"2025-05-30",CUST-972335,2025-05-30 00:00:00.000,0
CUST-542042,Consumer,LATAM,Silver,30.0,"2024-05-10",CUST-542042,2024-05-10 00:00:00.000,0
CUST-364525,Consumer,EU,Silver,37.0,"2025-08-06",CUST-364525,2025-08-06 00:00:00.000,0
CUST-975467,Enterprise,,,31.0,"2025-08-06",CUST-975467,2025-08-06 00:00:00.000,0
CUST-185884,Consumer,,Platinum,47.0,"2025-01-22",CUST-185884,2025-01-22 00:00:00.000,0
CUST-593152,Consumer,APAC,Platinum,36.0,"2024-05-19",CUST-593152,2024-05-19 00:00:00.000,0
CUST-120324,Consumer,EU,,45.0,"2024-10-17",CUST-120324,2024-10-17 00:00:00.000,0
CUST-885408,Consumer,LATAM,Platinum,45.0,"2025-01-10",CUST-885408,2025-01-10 00:00:00.000,0
CUST-665621,Consumer,APAC,Platinum,21.0,"2025-01-19",CUST-665621,2025-01-19 00:00:00.000,0
CUST-154615,Consumer,EU,Platinum,25.0,"2025-03-27",CUST-154615,2025-03-27 00:00:00.000,0
CUST-466960,Enterprise,,Platinum,38.0,"2025-12-16",CUST-466960,2025-12-16 00:00:00.000,0
CUST-335113,Consumer,EU,Silver,29.0,"05/19/2025",CUST-335113,2025-05-19 00:00:00.000,0
CUST-781725,Consumer,,Platinum,31.0,"2024-06-19",CUST-781725,2024-06-19 00:00:00.000,0
CUST-171951,Consumer,EU,Platinum,48.0,"2024-12-17",CUST-171951,2024-12-17 00:00:00.000,0
CUST-919182,Consumer,APAC,,30.0,"2024-11-03",CUST-919182,2024-11-03 00:00:00.000,0
CUST-783414,Consumer,,Gold,23.0,"2024-11-26",CUST-783414,2024-11-26 00:00:00.000,0
CUST-142213,Consumer,APAC,Gold,24.0,"2025-03-19",CUST-142213,2025-03-19 00:00:00.000,0
CUST-890870,Consumer,APAC,Silver,58.0,"2025-10-16",CUST-890870,2025-10-16 00:00:00.000,0
CUST-132537,Consumer,,Platinum,32.0,"2025-03-03",CUST-132537,2025-03-03 00:00:00.000,0
CUST-359295,Consumer,,,18.0,"2025-08-06",CUST-359295,2025-08-06 00:00:00.000,0
CUST-309044,Consumer,LATAM,Platinum,18.0,"2024-12-11",CUST-309044,2024-12-11 00:00:00.000,0
CUST-979995,Enterprise,LATAM,,,"2024-06-27",CUST-979995,2024-06-27 00:00:00.000,0
CUST-121369,Consumer,LATAM,Silver,27.0,"2024-12-27",CUST-121369,2024-12-27 00:00:00.000,0
CUST-751517,Consumer,APAC,Gold,31.0,"2024-09-18",CUST-751517,2024-09-18 00:00:00.000,0
CUST-259784,Automotive,APAC,,,"2024-12-29",CUST-259784,2024-12-29 00:00:00.000,0
CUST-350132,Consumer,LATAM,Silver,44.0,"2024-10-12",CUST-350132,2024-10-12 00:00:00.000,0
CUST-232352,Automotive,APAC,Platinum,43.0,"2024-09-03",CUST-232352,2024-09-03 00:00:00.000,0
CUST-596564,Consumer,APAC,Gold,33.0,"2024-01-20",CUST-596564,2024-01-20 00:00:00.000,0
CUST-801978,Enterprise,,Gold,29.0,"2024-06-30",CUST-801978,2024-06-30 00:00:00.000,0
CUST-219946,Consumer,,Gold,,"2024-02-28",CUST-219946,2024-02-28 00:00:00.000,0
CUST-691364,Enterprise,APAC,Platinum,37.0,"2024-03-05",CUST-691364,2024-03-05 00:00:00.000,0
CUST-328552,Consumer,LATAM,Platinum,18.0,"2025-01-24",CUST-328552,2025-01-24 00:00:00.000,0
CUST-587623,Consumer,EU,,55.0,"2025-05-14",CUST-587623,2025-05-14 00:00:00.000,0
CUST-833442,Consumer,LATAM,Silver,41.0,"2024-08-02",CUST-833442,2024-08-02 00:00:00.000,0
CUST-368690,Consumer,EU,,43.0,"2024-03-17",CUST-368690,2024-03-17 00:00:00.000,0
CUST-904150,Enterprise,LATAM,Platinum,22.0,"10/06/2024",CUST-904150,2024-10-06 00:00:00.000,0
CUST-486814,Enterprise,,,48.0,"2024-06-04",CUST-486814,2024-06-04 00:00:00.000,0
CUST-275939,Consumer,APAC,Silver,28.0,"2025-06-08",CUST-275939,2025-06-08 00:00:00.000,0
CUST-735324,Enterprise,APAC,Gold,23.0,"2024-08-23",CUST-735324,2024-08-23 00:00:00.000,0
CUST-736745,Consumer,,Platinum,33.0,"2025-08-19",CUST-736745,2025-08-19 00:00:00.000,0
CUST-884256,Consumer,EU,Platinum,33.0,"2024-08-01",CUST-884256,2024-08-01 00:00:00.000,0
CUST-853252,Consumer,EU,Silver,22.0,"2025-04-14",CUST-853252,2025-04-14 00:00:00.000,0
CUST-220096,Enterprise,EU,Gold,24.0,"2025-10-26",CUST-220096,2025-10-26 00:00:00.000,0
CUST-915573,Consumer,,,23.0,"2025-07-28",CUST-915573,2025-07-28 00:00:00.000,0
CUST-959099,Consumer,EU,Platinum,23.0,"07/21/2024",CUST-959099,2024-07-21 00:00:00.000,0
CUST-271720,Enterprise,,Silver,29.0,"2024-08-20",CUST-271720,2024-08-20 00:00:00.000,0
CUST-426147,Consumer,LATAM,Gold,,"2024-09-26",CUST-426147,2024-09-26 00:00:00.000,0
CUST-213349,Consumer,LATAM,Silver,18.0,"2024-11-09",CUST-213349,2024-11-09 00:00:00.000,0
CUST-706794,Consumer,,Silver,26.0,"2025-09-30",CUST-706794,2025-09-30 00:00:00.000,0
CUST-126925,Consumer,APAC,,45.0,"05/23/2025",CUST-126925,2025-05-23 00:00:00.000,0
CUST-427110,Consumer,LATAM,,43.0,"2025-05-23",CUST-427110,2025-05-23 00:00:00.000,0
CUST-703766,Consumer,EU,Platinum,22.0,"2025-08-14",CUST-703766,2025-08-14 00:00:00.000,0
CUST-810250,Consumer,,Silver,44.0,"2025-11-03",CUST-810250,2025-11-03 00:00:00.000,0
CUST-493537,Consumer,EU,Gold,18.0,"2024-06-25",CUST-493537,2024-06-25 00:00:00.000,0
CUST-515922,Consumer,EU,Platinum,60.0,"2024-06-12",CUST-515922,2024-06-12 00:00:00.000,0
CUST-849747,Enterprise,APAC,Silver,48.0,"2025-02-04",CUST-849747,2025-02-04 00:00:00.000,0
CUST-307963,Consumer,EU,,27.0,"2025-03-05",CUST-307963,2025-03-05 00:00:00.000,0
CUST-179688,Consumer,APAC,Silver,38.0,"2025-07-15",CUST-179688,2025-07-15 00:00:00.000,0
CUST-720859,Consumer,LATAM,Platinum,18.0,"2024-09-21",CUST-720859,2024-09-21 00:00:00.000,0
CUST-824161,Consumer,,Platinum,34.0,"2024-08-31",CUST-824161,2024-08-31 00:00:00.000,0
CUST-970917,Consumer,EU,Platinum,31.0,"2024-11-29",CUST-970917,2024-11-29 00:00:00.000,0
CUST-757711,Enterprise,,Silver,24.0,"2025-06-26",CUST-757711,2025-06-26 00:00:00.000,0
CUST-354646,Consumer,EU,Silver,28.0,"2024-12-06",CUST-354646,2024-12-06 00:00:00.000,0
CUST-206851,Consumer,,Platinum,27.0,"03/09/2025",CUST-206851,2025-03-09 00:00:00.000,0
CUST-831059,Consumer,EU,Gold,21.0,"2024-04-17",CUST-831059,2024-04-17 00:00:00.000,0
CUST-910004,Consumer,EU,Platinum,24.0,"2024-04-09",CUST-910004,2024-04-09 00:00:00.000,0
CUST-416232,Automotive,EU,Platinum,,"07/27/2025",CUST-416232,2025-07-27 00:00:00.000,0
CUST-991597,Consumer,EU,Platinum,18.0,"2025-09-21",CUST-991597,2025-09-21 00:00:00.000,0
CUST-817497,Consumer,EU,Platinum,43.0,"2024-10-02",CUST-817497,2024-10-02 00:00:00.000,0
CUST-729577,Consumer,EU,Gold,23.0,"2024-11-21",CUST-729577,2024-11-21 00:00:00.000,0
CUST-944657,Consumer,EU,Platinum,20.0,"2025-08-07",CUST-944657,2025-08-07 00:00:00.000,0
CUST-226935,Enterprise,EU,Platinum,43.0,"2025-08-27",CUST-226935,2025-08-27 00:00:00.000,0
CUST-934904,Consumer,EU,Gold,38.0,"2024-08-20",CUST-934904,2024-08-20 00:00:00.000,0
CUST-693423,Enterprise,,Gold,,"2024-01-19",CUST-693423,2024-01-19 00:00:00.000,0
CUST-920652,Consumer,APAC,Platinum,,"2024-01-26",CUST-920652,2024-01-26 00:00:00.000,0
CUST-143064,Enterprise,EU,Silver,42.0,"2024-04-29",CUST-143064,2024-04-29 00:00:00.000,0
CUST-464069,Consumer,APAC,Platinum,44.0,"2024-09-13",CUST-464069,2024-09-13 00:00:00.000,0
CUST-658623,Consumer,EU,,55.0,"2025-09-12",CUST-658623,2025-09-12 00:00:00.000,0
CUST-549186,Consumer,EU,Silver,32.0,"2025-04-17",CUST-549186,2025-04-17 00:00:00.000,0
CUST-793655,Automotive,,Gold,,"2024-10-30",CUST-793655,2024-10-30 00:00:00.000,0
CUST-488571,Enterprise,LATAM,Silver,18.0,"2024-06-07",CUST-488571,2024-06-07 00:00:00.000,0
CUST-172306,Consumer,LATAM,Gold,36.0,"2024-02-19",CUST-172306,2024-02-19 00:00:00.000,0
CUST-630538,Enterprise,,Platinum,26.0,"2024-05-26",CUST-630538,2024-05-26 00:00:00.000,0
CUST-778998,Consumer,APAC,,23.0,"2024-09-12",CUST-778998,2024-09-12 00:00:00.000,0
CUST-457806,Automotive,LATAM,Gold,35.0,"2024-12-16",CUST-457806,2024-12-16 00:00:00.000,0
CUST-113266,Consumer,,,43.0,"2024-08-24",CUST-113266,2024-08-24 00:00:00.000,0
CUST-990844,Enterprise,,Silver,24.0,"2024-03-22",CUST-990844,2024-03-22 00:00:00.000,0
CUST-540463,Enterprise,LATAM,,48.0,"05/17/2024",CUST-540463,2024-05-17 00:00:00.000,0
CUST-962276,Consumer,APAC,Platinum,23.0,"2025-06-19",CUST-962276,2025-06-19 00:00:00.000,0
CUST-614013,Consumer,,Silver,31.0,"2024-01-21",CUST-614013,2024-01-21 00:00:00.000,0
CUST-210665,Consumer,EU,Platinum,38.0,"2024-02-23",CUST-210665,2024-02-23 00:00:00.000,0
CUST-554582,Enterprise,APAC,Platinum,29.0,"2024-10-26",CUST-554582,2024-10-26 00:00:00.000,0
CUST-479781,Consumer,APAC,Silver,18.0,"2024-06-30",CUST-479781,2024-06-30 00:00:00.000,0
CUST-766459,Automotive,LATAM,Gold,44.0,"2025-02-11",CUST-766459,2025-02-11 00:00:00.000,0
CUST-968962,Consumer,LATAM,Silver,27.0,"2024-02-14",CUST-968962,2024-02-14 00:00:00.000,0
CUST-582071,Consumer,EU,Silver,42.0,"2024-01-09",CUST-582071,2024-01-09 00:00:00.000,0
CUST-841666,Enterprise,,Silver,20.0,"2025-10-29",CUST-841666,2025-10-29 00:00:00.000,0
CUST-260422,Consumer,LATAM,Gold,21.0,"2024-10-30",CUST-260422,2024-10-30 00:00:00.000,0
CUST-556641,Consumer,LATAM,Platinum,,"2024-03-27",CUST-556641,2024-03-27 00:00:00.000,0
CUST-284692,Enterprise,APAC,Silver,43.0,"2024-11-20",CUST-284692,2024-11-20 00:00:00.000,0
CUST-869440,Consumer,LATAM,Silver,37.0,"2024-02-23",CUST-869440,2024-02-23 00:00:00.000,0
CUST-647091,Consumer,LATAM,Gold,29.0,"2025-12-02",CUST-647091,2025-12-02 00:00:00.000,0
CUST-782054,Automotive,LATAM,Platinum,37.0,"2024-04-10",CUST-782054,2024-04-10 00:00:00.000,0
CUST-383201,Consumer,LATAM,Gold,23.0,"2024-08-28",CUST-383201,2024-08-28 00:00:00.000,0
CUST-745830,Consumer,APAC,Platinum,35.0,"2025-07-05",CUST-745830,2025-07-05 00:00:00.000,0
CUST-947458,Consumer,EU,Gold,35.0,"2024-05-03",CUST-947458,2024-05-03 00:00:00.000,0
CUST-664315,Consumer,EU,,29.0,"2025-12-30",CUST-664315,2025-12-30 00:00:00.000,0
CUST-912270,Consumer,,Gold,24.0,"2024-06-06",CUST-912270,2024-06-06 00:00:00.000,0
CUST-606983,Consumer,LATAM,Gold,34.0,"2025-06-15",CUST-606983,2025-06-15 00:00:00.000,0
CUST-587455,Consumer,APAC,Gold,33.0,"06/05/2024",CUST-587455,2024-06-05 00:00:00.000,0
CUST-556732,Consumer,,Silver,28.0,"2024-04-20",CUST-556732,2024-04-20 00:00:00.000,0
CUST-965845,Consumer,,Silver,22.0,"2025-10-02",CUST-965845,2025-10-02 00:00:00.000,0
CUST-866536,Consumer,EU,Silver,34.0,"2025-09-19",CUST-866536,2025-09-19 00:00:00.000,0
CUST-721254,Consumer,APAC,Platinum,28.0,"2024-09-12",CUST-721254,2024-09-12 00:00:00.000,0
CUST-381433,Consumer,APAC,Gold,22.0,"2025-11-13",CUST-381433,2025-11-13 00:00:00.000,0
CUST-437960,Consumer,APAC,Silver,34.0,"2024-12-25",CUST-437960,2024-12-25 00:00:00.000,0
CUST-993085,Consumer,EU,Gold,51.0,"2025-07-26",CUST-993085,2025-07-26 00:00:00.000,0
CUST-357420,Enterprise,EU,Silver,29.0,"2025-05-16",CUST-357420,2025-05-16 00:00:00.000,0
CUST-971084,Consumer,EU,Platinum,,"2024-12-20",CUST-971084,2024-12-20 00:00:00.000,0
CUST-190872,Enterprise,EU,Gold,50.0,"2025-10-16",CUST-190872,2025-10-16 00:00:00.000,0
CUST-392477,Enterprise,EU,Gold,57.0,"2024-08-19",CUST-392477,2024-08-19 00:00:00.000,0
CUST-572700,Consumer,LATAM,Platinum,,"2025-10-01",CUST-572700,2025-10-01 00:00:00.000,0
CUST-355709,Automotive,LATAM,Gold,23.0,"2024-05-16",CUST-355709,2024-05-16 00:00:00.000,0
CUST-886931,Automotive,APAC,,34.0,"2024-05-19",CUST-886931,2024-05-19 00:00:00.000,0
CUST-587282,Consumer,,Silver,57.0,"2025-07-23",CUST-587282,2025-07-23 00:00:00.000,0
CUST-697530,Consumer,APAC,,32.0,"2024-10-25",CUST-697530,2024-10-25 00:00:00.000,0
CUST-739979,Automotive,,Silver,34.0,"2024-05-22",CUST-739979,2024-05-22 00:00:00.000,0
CUST-800646,Enterprise,EU,Platinum,18.0,"2024-03-15",CUST-800646,2024-03-15 00:00:00.000,0
CUST-497399,Consumer,,Silver,28.0,"2024-02-03",CUST-497399,2024-02-03 00:00:00.000,0
CUST-452737,Enterprise,APAC,Silver,40.0,"2025-11-07",CUST-452737,2025-11-07 00:00:00.000,0
CUST-130094,Enterprise,APAC,Platinum,60.0,"2025-11-16",CUST-130094,2025-11-16 00:00:00.000,0
CUST-618317,Enterprise,,,31.0,"2024-08-14",CUST-618317,2024-08-14 00:00:00.000,0
CUST-992288,Enterprise,LATAM,,18.0,"2024-02-21",CUST-992288,2024-02-21 00:00:00.000,0
CUST-440802,Enterprise,EU,,18.0,"2025-07-15",CUST-440802,2025-07-15 00:00:00.000,0
CUST-290672,Consumer,EU,Silver,33.0,"2025-12-06",CUST-290672,2025-12-06 00:00:00.000,0
CUST-611233,Consumer,APAC,Silver,46.0,"2025-08-14",CUST-611233,2025-08-14 00:00:00.000,0
