"claim_id","claim_date","order_id","device_id","issue_type","severity","warranty_approved","replacement_ship_days","notes","order_id_clean","device_id_clean","claim_dt","is_order_prefix_bad"
CLM-803799497,"2024-09-08",ORD-3341460,DEV-8060956761,Battery,med,1.0,10.0,repeat failure,ORD-3341460,dev-8060956761,2024-09-08 00:00:00.000,0
CLM-723231244,"05/01/2024",ORD-6327349,DEV-1422970780,Physical Damage,critical,1.0,3.0,customer reports intermittent issue,ORD-6327349,dev-1422970780,2024-05-01 00:00:00.000,0
CLM-971042692,"2025-12-27",ORD-6170271,DEV-5448447940,Software,med,,3.0,customer reports intermittent issue,ORD-6170271,dev-5448447940,2025-12-27 00:00:00.000,0
CLM-285376452,"2024-09-28",ORD-3388341,DEV-8090207632,Sound Distortion,med,0.0,,needs firmware,ORD-3388341,dev-8090207632,2024-09-28 00:00:00.000,0
CLM-235638667,"2024-09-05",ORD-2762093,DEV-4579202935,Software,critical,1.0,3.0,no fault found,ORD-2762093,dev-4579202935,2024-09-05 00:00:00.000,0
CLM-920600715,"2024-12-27",ORD-7820061,DEV-9893168359,Battery,med,1.0,5.0,needs firmware,ORD-7820061,dev-9893168359,2024-12-27 00:00:00.000,0
CLM-978490664,"2025-04-11",ORD-5263960,DEV-8917466549,,med,1.0,5.0,no fault found,ORD-5263960,dev-8917466549,2025-04-11 00:00:00.000,0
CLM-870639405,"2025-12-03",ORD-4792004,DEV-8769564683,Battery,med,1.0,7.0,repeat failure,ORD-4792004,dev-8769564683,2025-12-03 00:00:00.000,0
CLM-769769183,"2024-10-23",ORD-8471035,DEV-4542257079,,high,1.0,2.0,,ORD-8471035,dev-4542257079,2024-10-23 00:00:00.000,0
CLM-252498335,"2025-03-10",ORD-8643931,DEV-9935559166,Connectivity,high,1.0,2.0,needs firmware,ORD-8643931,dev-9935559166,2025-03-10 00:00:00.000,0
CLM-823901806,"2024-08-02",ORD-4323402,DEV-2305175308,Sound Distortion,med,1.0,5.0,customer reports intermittent issue,ORD-4323402,dev-2305175308,2024-08-02 00:00:00.000,0
CLM-459091661,"12/19/2024",ORD-5939664,DEV-5967377254,Battery,low,1.0,3.0,,ORD-5939664,dev-5967377254,2024-12-19 00:00:00.000,0
CLM-317259499,"2025-08-30",ORD-4113809,DEV-4948369099,Connectivity,high,1.0,2.0,,ORD-4113809,dev-4948369099,2025-08-30 00:00:00.000,0
CLM-316948335,"09/21/2024",ORD-5906672,DEV-7148182022,Sound Distortion,low,1.0,7.0,,ORD-5906672,dev-7148182022,2024-09-21 00:00:00.000,0
CLM-560769701,"2024-08-05",ORD-5498571,DEV-9739450088,Mic issues,med,1.0,3.0,repeat failure,ORD-5498571,dev-9739450088,2024-08-05 00:00:00.000,0
CLM-939925133,"2024-02-09",ORD-8805231,DEV-5187731090,Battery,low,1.0,7.0,,ORD-8805231,dev-5187731090,2024-02-09 00:00:00.000,0
CLM-232126247,"2024-01-22",ORD-7538191,DEV-3247942785,Software,med,0.0,2.0,no fault found,ORD-7538191,dev-3247942785,2024-01-22 00:00:00.000,0
CLM-691268787,"2024-05-27",ORD-7683676,DEV-7147617751,Battery,med,1.0,5.0,customer reports intermittent issue,ORD-7683676,dev-7147617751,2024-05-27 00:00:00.000,0
CLM-350644944,"2025-12-25",ORD-3986626,DEV-5118902787,Overheating,med,1.0,7.0,no fault found,ORD-3986626,dev-5118902787,2025-12-25 00:00:00.000,0
CLM-158286554,"2024-10-10",ORD-3757563,DEV-1616119824,Battery,low,1.0,3.0,repeat failure,ORD-3757563,dev-1616119824,2024-10-10 00:00:00.000,0
CLM-816508525,"2024-12-30",ORD-9937492,DEV-3527197371,Software,high,0.0,5.0,needs firmware,ORD-9937492,dev-3527197371,2024-12-30 00:00:00.000,0
CLM-373936748,"2024-04-26",ORD-9168834,DEV-4214131291,Physical Damage,low,1.0,7.0,,ORD-9168834,dev-4214131291,2024-04-26 00:00:00.000,0
CLM-891951345,"12/18/2024",ORD-7544512,DEV-6638898259,,high,1.0,7.0,repeat failure,ORD-7544512,dev-6638898259,2024-12-18 00:00:00.000,0
CLM-532078251,"2025-07-18",ORD-9549145,DEV-1957184670,Battery,med,1.0,5.0,,ORD-9549145,dev-1957184670,2025-07-18 00:00:00.000,0
CLM-587369861,"2024-09-24",ORD-1297759,DEV-1830973969,Overheating,med,1.0,5.0,,ORD-1297759,dev-1830973969,2024-09-24 00:00:00.000,0
CLM-539797882,"2024-08-02",ORD-9098865,DEV-6058963940,Mic issues,low,1.0,3.0,customer reports intermittent issue,ORD-9098865,dev-6058963940,2024-08-02 00:00:00.000,0
CLM-884555799,"2024-10-22",ORD-3160689,DEV-7528442699,Sound Distortion,,1.0,7.0,repeat failure,ORD-3160689,dev-7528442699,2024-10-22 00:00:00.000,0
CLM-462472988,"2024-03-31",ORD-5530544,DEV-9944089974,Software,high,1.0,5.0,,ORD-5530544,dev-9944089974,2024-03-31 00:00:00.000,0
CLM-869235161,"2024-09-14",ORD-2219352,DEV-6822786638,Software,high,0.0,5.0,needs firmware,ORD-2219352,dev-6822786638,2024-09-14 00:00:00.000,0
CLM-109436910,"2025-10-05",ORD-4791410,DEV-7293891893,Sound Distortion,med,,10.0,,ORD-4791410,dev-7293891893,2025-10-05 00:00:00.000,0
CLM-871996490,"2024-08-28",ORD-4808654,DEV-8296188489,Software,med,1.0,3.0,,ORD-4808654,dev-8296188489,2024-08-28 00:00:00.000,0
CLM-753370252,"2024-07-16",ORD-2753479,DEV-1418639632,Battery,low,1.0,,needs firmware,ORD-2753479,dev-1418639632,2024-07-16 00:00:00.000,0
CLM-585968261,"2024-12-14",ORD-9008375,DEV-4343249333,,med,1.0,3.0,needs firmware,ORD-9008375,dev-4343249333,2024-12-14 00:00:00.000,0
CLM-748088936,"2025-09-03",ORD-5247355,DEV-5009449734,Software,high,1.0,7.0,no fault found,ORD-5247355,dev-5009449734,2025-09-03 00:00:00.000,0
CLM-810885139,"2024-10-28",ORD-1243399,DEV-5266012957,Sound Distortion,med,1.0,3.0,no fault found,ORD-1243399,dev-5266012957,2024-10-28 00:00:00.000,0
CLM-782208792,"2024-05-14",ORD-7019334,DEV-4015725736,Connectivity,low,1.0,3.0,repeat failure,ORD-7019334,dev-4015725736,2024-05-14 00:00:00.000,0
CLM-909935182,"2025-05-12",ORD-5226616,DEV-4427577717,Software,low,1.0,,customer reports intermittent issue,ORD-5226616,dev-4427577717,2025-05-12 00:00:00.000,0
CLM-463571269,"2025-10-11",ORD-8044369,DEV-2027219570,Software,med,1.0,3.0,no fault found,ORD-8044369,dev-2027219570,2025-10-11 00:00:00.000,0
CLM-984569315,"2025-09-18",ORD-2148630,DEV-2084411173,Battery,low,1.0,3.0,,ORD-2148630,dev-2084411173,2025-09-18 00:00:00.000,0
CLM-854127763,"2025-04-15",ORD-7242965,DEV-6811761052,Overheating,high,1.0,3.0,customer reports intermittent issue,ORD-7242965,dev-6811761052,2025-04-15 00:00:00.000,0
CLM-626503998,"2025-04-14",ORD-2236733,DEV-2066611892,Mic issues,,1.0,5.0,no fault found,ORD-2236733,dev-2066611892,2025-04-14 00:00:00.000,0
CLM-518006666,"2024-11-22",ORD-4337626,DEV-7283680752,Physical Damage,med,,3.0,customer reports intermittent issue,ORD-4337626,dev-7283680752,2024-11-22 00:00:00.000,0
CLM-732730762,"2025-01-13",ORD-2392837,DEV-4175452583,Connectivity,high,0.0,,needs firmware,ORD-2392837,dev-4175452583,2025-01-13 00:00:00.000,0
CLM-555092979,"2025-06-17",ORD-7946257,DEV-2591806642,Physical Damage,low,1.0,5.0,customer reports intermittent issue,ORD-7946257,dev-2591806642,2025-06-17 00:00:00.000,0
CLM-619738072,"2025-06-15",ORD-3167912,DEV-7387060161,Battery,med,0.0,3.0,,ORD-3167912,dev-7387060161,2025-06-15 00:00:00.000,0
CLM-181755294,"2024-10-09",ORD-7391984,DEV-7290233082,Mic issues,high,0.0,3.0,no fault found,ORD-7391984,dev-7290233082,2024-10-09 00:00:00.000,0
CLM-561953894,"2025-01-21",ORD-1668030,DEV-9365097434,Battery,low,1.0,7.0,no fault found,ORD-1668030,dev-9365097434,2025-01-21 00:00:00.000,0
CLM-884556886,"2025-02-28",ORD-9343046,DEV-2448747875,Physical Damage,low,1.0,7.0,customer reports intermittent issue,ORD-9343046,dev-2448747875,2025-02-28 00:00:00.000,0
CLM-699182750,"2024-03-12",OR-3978433,DEV-5636945549,Software,low,1.0,7.0,customer reports intermittent issue,OR-3978433,dev-5636945549,2024-03-12 00:00:00.000,1
CLM-556652714,"2025-04-24",ORD-8271311,DEV-7213172814,Connectivity,med,0.0,5.0,customer reports intermittent issue,ORD-8271311,dev-7213172814,2025-04-24 00:00:00.000,0
CLM-856278330,"2025-01-16",ORD-4794373,DEV-9095263528,,critical,1.0,10.0,customer reports intermittent issue,ORD-4794373,dev-9095263528,2025-01-16 00:00:00.000,0
CLM-280433338,"2025-05-28",ORD-4301815,DEV-1342825256,Overheating,med,1.0,10.0,customer reports intermittent issue,ORD-4301815,dev-1342825256,2025-05-28 00:00:00.000,0
CLM-557520389,"2025-03-10",ORD-6614199,DEV-1948262046,Physical Damage,med,1.0,5.0,no fault found,ORD-6614199,dev-1948262046,2025-03-10 00:00:00.000,0
CLM-770050260,"2024-05-15",ORD-5096858,DEV-7147617751,Physical Damage,high,1.0,,repeat failure,ORD-5096858,dev-7147617751,2024-05-15 00:00:00.000,0
CLM-376798609,"2025-09-21",ORD-5603152,DEV-4546102982,Connectivity,high,1.0,7.0,repeat failure,ORD-5603152,dev-4546102982,2025-09-21 00:00:00.000,0
CLM-217227412,"2024-05-19",ORD-6913211,,Software,med,0.0,2.0,,ORD-6913211,,2024-05-19 00:00:00.000,0
CLM-653254345,"2025-02-05",ORD-6332251,DEV-3821872315,Connectivity,high,1.0,3.0,,ORD-6332251,dev-3821872315,2025-02-05 00:00:00.000,0
CLM-487123674,"2024-07-20",ORD-2388574,DEV-1056035422,Battery,med,1.0,5.0,needs firmware,ORD-2388574,dev-1056035422,2024-07-20 00:00:00.000,0
CLM-209865470,"2025-01-18",ORD-9297041,DEV-2357972533,Overheating,low,1.0,7.0,,ORD-9297041,dev-2357972533,2025-01-18 00:00:00.000,0
CLM-762211798,"2025-06-21",ORD-6889794,DEV-9287057448,Battery,low,,7.0,,ORD-6889794,dev-9287057448,2025-06-21 00:00:00.000,0
CLM-335541189,"2025-09-14",ORD-2532421,DEV-7028132359,Software,low,1.0,5.0,,ORD-2532421,dev-7028132359,2025-09-14 00:00:00.000,0
CLM-309200994,"2024-10-02",ORD-8223566,DEV-3383193605,Mic issues,med,1.0,10.0,,ORD-8223566,dev-3383193605,2024-10-02 00:00:00.000,0
CLM-209202339,"2024-12-09",ORD-3760763,DEV-4604169265,Battery,low,1.0,7.0,repeat failure,ORD-3760763,dev-4604169265,2024-12-09 00:00:00.000,0
CLM-423382144,"2024-06-11",ORD-4126142,DEV-6283507492,Software,low,0.0,,,ORD-4126142,dev-6283507492,2024-06-11 00:00:00.000,0
CLM-475140403,"2024-05-20",ORD-2301448,DEV-1089142739,Sound Distortion,low,1.0,5.0,no fault found,ORD-2301448,dev-1089142739,2024-05-20 00:00:00.000,0
CLM-737493355,"2025-08-23",ORD-8600502,DEV-2741670515,Mic issues,low,1.0,3.0,no fault found,ORD-8600502,dev-2741670515,2025-08-23 00:00:00.000,0
CLM-470693993,"2025-08-01",ORD-6291762,,Battery,low,1.0,10.0,customer reports intermittent issue,ORD-6291762,,2025-08-01 00:00:00.000,0
CLM-837511545,"2024-06-18",ORD-2358114,DEV-6388204626,,low,1.0,3.0,customer reports intermittent issue,ORD-2358114,dev-6388204626,2024-06-18 00:00:00.000,0
CLM-209286986,"2024-01-17",ORD-8858280,DEV-3491500772,Software,med,1.0,5.0,,ORD-8858280,dev-3491500772,2024-01-17 00:00:00.000,0
CLM-121613016,"2024-01-04",ORD-7214342,DEV-5700684242,Connectivity,low,1.0,3.0,no fault found,ORD-7214342,dev-5700684242,2024-01-04 00:00:00.000,0
CLM-243425812,"2024-01-31",ORD-7945583,DEV-9982661175,Sound Distortion,med,0.0,10.0,needs firmware,ORD-7945583,dev-9982661175,2024-01-31 00:00:00.000,0
CLM-165009149,"2024-09-25",ORD-8835172,DEV-5148772205,Connectivity,med,1.0,2.0,repeat failure,ORD-8835172,dev-5148772205,2024-09-25 00:00:00.000,0
CLM-543964031,"2024-01-10",ORD-8344806,DEV-4804018906,Connectivity,med,1.0,7.0,customer reports intermittent issue,ORD-8344806,dev-4804018906,2024-01-10 00:00:00.000,0
CLM-420534452,"2024-08-06",ORD-2635292,DEV-2382352682,Physical Damage,med,1.0,3.0,customer reports intermittent issue,ORD-2635292,dev-2382352682,2024-08-06 00:00:00.000,0
CLM-512191654,"2024-09-05",ORD-2931529,DEV-1156540168,Overheating,med,1.0,5.0,needs firmware,ORD-2931529,dev-1156540168,2024-09-05 00:00:00.000,0
CLM-944571819,"2025-10-21",ORD-5730739,DEV-5247287055,Battery,low,1.0,7.0,needs firmware,ORD-5730739,dev-5247287055,2025-10-21 00:00:00.000,0
CLM-454547755,"2024-07-14",ORD-8857554,DEV-2776865747,Battery,low,1.0,5.0,customer reports intermittent issue,ORD-8857554,dev-2776865747,2024-07-14 00:00:00.000,0
CLM-158822417,"2025-10-18",ORD-8907357,DEV-5248516788,Battery,low,0.0,3.0,repeat failure,ORD-8907357,dev-5248516788,2025-10-18 00:00:00.000,0
CLM-561364319,"2025-12-22",ORD-4931940,DEV-6597934134,Battery,med,1.0,7.0,no fault found,ORD-4931940,dev-6597934134,2025-12-22 00:00:00.000,0
CLM-657414423,"2025-09-07",ORD-8840431,DEV-8679987160,Battery,low,0.0,3.0,no fault found,ORD-8840431,dev-8679987160,2025-09-07 00:00:00.000,0
