update_id,device_id,update_ts,from_version,to_version,update_status,error_code
FWU-932107930,DEV-2204900206,2024-05-06 21:29:09,2.0.0,1.1.2,success,
FWU-372349716,DEV-5777000212,2024-07-18 00:05:39,1.0.8,2.0.0,success,
FWU-112028179,DEV-1739431460,2024-05-19 15:42:33,1.1.2,2.0.0,success,
FWU-649660399,DEV-7099924830,2024-08-16 05:02:19,1.1.2,1.1.2,failed,E_TIMEOUT
FWU-386389568,DEV-6006415313,2025-04-03 12:54:06,,2.0.1,success,
FWU-942716476,DEV-8002154568,2025-01-29 13:17:24,1.1.2,1.0.3,success,
FWU-398782990,DEV-4059619580,2024-03-06 15:03:58,1.1.2,2.0.1,success,
FWU-460421761,,2025-07-04 11:29:09,,1.0.3,success,
FWU-173112593,DEV-8931240755,2024-08-17 02:45:17,2.0.0,1.1.2,success,
FWU-977419056,DEV-5008764282,2025-10-09 09:02:11,1.0.3,2.0.0,success,
FWU-818086408,DEV-7240595003,2025-12-22 18:25:14,2.0.0,1.1.0,failed,
FWU-501568524,DEV-6460872983,2024-05-04 13:10:07,,1.0.3,success,
FWU-167917664,DEV-4653928344,2025-02-26 11:29:21,1.1.2,1.0.8,success,
FWU-549250208,DEV-7861474450,2025-07-02 03:33:31,1.0.8,1.0.3,success,
FWU-565046591,DEV-2692903051,11/28/2025 03:47,1.0.3,1.1.2,failed,E_BT
FWU-761393733,DEV-1666465403,2024-05-23 05:21:31,2.0.0,1.1.0,success,
FWU-147297726,DEV-7578374457,05/04/2025 09:13,2.0.0,1.0.8,success,
FWU-292435061,DEV-4723546916,2025-01-26 03:13:46,1.1.0,1.0.3,success,
FWU-128604063,DEV-6945082073,2024-05-08 23:00:23,,2.0.0,failed,E_TIMEOUT
FWU-742047450,DEV-7241095520,2025-01-20 05:47:58,1.1.2,2.0.1,partial,
FWU-798515461,DEV-2112892854,2024-07-11 05:46:45,2.0.0,2.0.1,success,
FWU-455324645,DEV-3506533249,2025-01-23 03:22:07,1.0.3,1.1.0,success,
FWU-930237868,DEV-4995196952,2025-06-13 19:59:05,,2.0.1,failed,E_STORAGE
FWU-750766258,DEV-3824217210,2024-12-10 22:20:45,1.1.2,2.0.1,success,E_TIMEOUT
FWU-624132452,DEV-4170267120,2024-06-16 05:58:25,1.0.3,1.0.3,failed,E_PWR
FWU-559181832,DEV-3896092559,2024-11-12 10:23:10,2.0.0,2.0.0,success,
FWU-602638480,DEV-9569747616,06/10/2025 08:28,1.1.0,1.1.0,success,
FWU-829613428,DEV-7997577555,2025-08-19 19:01:43,,1.1.0,success,
FWU-548902217,DEV-2148204478,05/17/2024 16:57,,2.0.0,success,
FWU-329810185,DEV-4303504575,2024-04-14 15:05:20,1.0.3,2.0.0,failed,E_BT
FWU-494413854,DEV-3816156240,2024-05-05 04:36:59,2.0.0,1.0.3,success,
FWU-691183566,DEV-8161543272,2025-09-14 11:38:47,1.0.8,2.0.1,success,
FWU-798813600,DEV-6160541181,2025-05-02 09:27:34,1.0.3,1.0.3,success,
FWU-316163542,DEV-7880625191,2024-10-09 18:21:44,1.0.8,2.0.1,success,
FWU-102746120,DEV-9699361254,2025-09-12 08:58:11,1.0.3,1.0.3,success,
FWU-455489746,,2024-10-16 05:15:29,,2.0.1,success,
FWU-738646027,DEV-2474441529,2025-03-13 00:23:04,1.1.0,1.0.8,success,
FWU-411372758,DEV-4187198775,2024-06-04 01:21:18,1.0.3,1.1.2,success,
FWU-373041579,DEV-1273001679,2025-10-12 15:42:32,,1.0.3,success,
FWU-293729546,DEV-2582374971,2025-01-14 16:19:43,1.1.2,1.0.3,success,
FWU-141160715,,2024-05-13 18:41:51,1.0.8,1.1.2,success,
FWU-248057142,DEV-2668250303,2024-04-06 04:26:24,2.0.0,2.0.1,success,
FWU-557953823,DEV-6140365572,2025-02-23 04:59:19,2.0.0,2.0.1,success,
FWU-515031477,DEV-1965258346,2025-06-13 11:00:07,1.0.8,1.1.2,failed,E_BT
FWU-746339780,DEV-9804263115,2025-06-30 19:04:01,1.1.2,1.1.2,success,
FWU-295838735,DEV-9098823116,2024-10-25 10:07:58,2.0.0,1.0.8,success,
FWU-621098255,DEV-9799988651,2025-11-09 16:48:09,2.0.0,1.0.8,success,
FWU-484844732,DEV-4821268215,2025-04-03 07:50:03,1.1.2,1.0.8,success,
FWU-724481703,DEV-9115426112,2024-08-23 03:12:09,1.0.3,1.0.3,success,
FWU-689083853,DEV-4224619798,08/05/2024 15:09,2.0.0,1.0.3,success,
FWU-184102938,DEV-9055186664,2025-11-23 20:00:29,2.0.0,2.0.0,success,
FWU-848090348,DEV-4106019391,2024-04-10 20:00:50,,2.0.0,success,
FWU-218793242,DEV-9046572357,2024-01-27 20:47:34,1.0.8,1.0.8,success,
FWU-930874609,DEV-8598179254,2024-09-02 23:27:54,1.0.8,1.1.2,success,
FWU-340407154,DEV-3502730449,2025-02-03 23:56:42,1.0.3,1.0.3,success,
FWU-446776979,DEV-1811137570,2024-09-19 11:51:11,1.0.8,1.1.0,success,
FWU-876119639,DEV-4073644925,2025-05-14 22:27:15,1.0.3,1.1.2,success,
FWU-340010540,DEV-6597296597,2024-02-23 07:57:40,2.0.0,2.0.1,success,
FWU-883694050,DEV-5412245762,08/17/2024 12:23,1.0.3,2.0.1,failed,E_TIMEOUT
FWU-861390334,DEV-8418911314,2025-05-05 01:42:49,1.0.8,2.0.0,success,
FWU-785581182,DEV-1677998797,2025-03-01 15:39:17,1.0.8,1.1.0,success,
FWU-393568594,,2024-12-15 11:32:52,,2.0.0,success,
FWU-757427072,DEV-8274059956,2025-12-15 06:09:55,1.1.0,2.0.1,success,
FWU-456251775,DEV-5360154807,2024-12-23 23:54:52,,1.0.8,success,
FWU-363705379,DEV-3447232523,2025-06-01 15:25:33,1.1.2,1.0.3,success,
FWU-670193666,DEV-6358287612,2024-08-23 23:57:32,1.0.8,1.0.8,success,
FWU-656411518,DEV-5940762586,2024-05-26 05:24:11,2.0.0,1.0.3,success,
FWU-472395659,DEV-9954067083,2024-02-01 15:03:48,1.1.2,2.0.0,success,
FWU-558113300,DEV-3600813794,2024-11-25 13:07:24,1.1.0,2.0.0,failed,E_STORAGE
FWU-461079548,DEV-9482662580,2024-06-14 07:27:47,1.1.2,1.1.0,failed,
FWU-589838531,DEV-8174366397,2024-06-13 00:37:16,,1.0.8,success,
FWU-179046388,DEV-4119925840,2024-05-22 04:28:10,1.1.2,1.1.0,success,
FWU-687820274,DEV-4049598953,2024-12-22 13:14:45,1.0.3,1.0.3,success,
FWU-111048226,DEV-8552659149,01/20/2024 20:32,2.0.0,2.0.1,success,
FWU-677049459,DEV-9855732305,2024-11-01 15:29:20,2.0.0,1.1.0,success,
FWU-907844539,DEV-2648258884,2024-02-10 08:24:23,1.1.0,1.1.2,success,
FWU-208157096,DEV-5226459250,2025-11-24 12:13:44,1.0.8,1.1.0,success,
FWU-569590530,DEV-1449483973,2024-07-24 12:32:56,,1.0.3,success,
FWU-608420845,DEV-5421328973,2025-08-29 19:23:27,2.0.0,2.0.0,success,
FWU-302267172,DEV-7803722131,2024-08-09 13:46:50,2.0.0,2.0.0,,
FWU-527114396,DEV-9990523656,2025-03-29 07:23:46,,1.0.8,success,
FWU-263216992,DEV-5788600190,2025-09-21 11:57:18,1.0.8,2.0.0,success,
FWU-107645163,DEV-6626845557,2024-10-05 01:40:06,,1.0.8,success,
FWU-175679514,DEV-1193949527,2025-09-30 00:23:20,1.1.2,2.0.0,success,
FWU-741081206,DEV-3588917386,2024-01-30 20:04:35,1.1.0,1.0.3,success,
FWU-405533977,DEV-4738813260,2024-04-15 16:21:10,2.0.0,1.0.3,success,
FWU-772041327,DEV-1475154741,10/03/2024 19:40,1.0.8,1.0.8,success,
FWU-145301292,DEV-8482964091,2025-01-30 06:36:33,2.0.0,1.1.0,success,
FWU-417972091,DEV-1992296576,2024-12-20 10:49:13,1.0.3,2.0.0,success,
FWU-395194323,,2025-10-10 08:01:31,1.0.3,2.0.1,success,
FWU-881382449,DEV-7409671374,2024-02-19 02:15:40,1.1.2,2.0.1,success,
FWU-868383115,DEV-2214367540,2024-06-09 17:29:48,1.1.0,1.0.8,success,
FWU-547726272,DEV-1863738656,2024-11-06 20:24:15,1.1.2,2.0.0,success,
FWU-272727781,DEV-8255633513,2024-09-24 16:23:51,1.1.2,2.0.1,success,
FWU-892726678,DEV-9764416679,2025-05-13 10:39:42,1.0.8,2.0.0,success,
FWU-214370519,DEV-6377012613,2025-06-04 19:28:58,1.0.3,1.0.8,success,
FWU-721952314,DEV-8154987858,2025-08-25 07:30:24,,2.0.0,success,
FWU-898232945,DEV-4215690222,2024-05-23 13:59:07,1.1.0,1.0.3,success,
FWU-250266527,DEV-8682288978,2025-08-19 22:28:46,1.1.2,2.0.0,success,
FWU-897290802,DEV-5304987325,2025-08-18 19:08:42,2.0.0,2.0.0,success,
FWU-469426253,DEV-5448393478,2024-09-24 06:29:55,,2.0.1,success,
FWU-174452893,DEV-5759639787,2025-03-02 21:18:36,1.1.0,1.1.2,success,
FWU-333704289,DEV-2271512506,2025-10-29 21:51:01,1.0.3,1.1.0,success,
FWU-691219650,DEV-2740704628,2024-07-21 12:07:27,2.0.0,2.0.1,success,
FWU-856255793,DEV-4912704372,2024-02-12 20:30:57,1.0.3,1.1.0,success,
FWU-663357269,DEV-6418269935,2025-06-23 13:07:35,2.0.0,1.1.2,success,
FWU-391473775,DEV-9656243839,2024-09-24 16:43:28,1.1.0,1.0.3,partial,E_TIMEOUT
FWU-961805503,DEV-8063914437,2024-10-03 11:48:09,,1.1.0,success,
FWU-557257659,DEV-6672644248,2025-03-04 04:35:20,1.0.3,1.1.2,success,
FWU-491822954,DEV-7136758382,2025-02-09 01:04:17,,1.1.2,failed,E_PWR
FWU-825774241,DEV-7964912846,2025-09-28 20:07:42,1.0.3,2.0.0,success,
FWU-277336083,DEV-7586101102,2025-11-22 07:58:16,1.1.0,2.0.1,success,
FWU-655927205,DEV-9830393713,2025-06-15 12:43:37,1.1.0,1.0.8,success,
FWU-508485214,DEV-7002490844,2024-12-27 01:08:05,2.0.0,2.0.0,failed,
FWU-825713419,DEV-3881542349,2025-07-29 15:57:23,2.0.0,2.0.0,success,
FWU-696573974,DEV-7190683193,2025-08-25 08:44:01,,1.0.3,success,
FWU-649532144,,2025-10-22 02:59:43,1.1.0,1.0.3,success,
FWU-783745871,DEV-2458493835,2024-03-30 05:10:33,,1.1.2,success,
FWU-478279747,DEV-6219829416,2024-03-29 01:47:05,1.1.2,1.1.2,success,
FWU-133423675,DEV-5603959131,2025-08-22 12:16:41,1.1.2,1.1.2,success,
FWU-704983746,DEV-7775441524,2024-07-25 19:04:01,1.0.3,1.0.3,success,
FWU-466345693,DEV-7032650480,2024-11-24 07:19:15,2.0.0,1.0.3,success,
FWU-821180626,DEV-7651341812,2024-12-21 01:54:22,2.0.0,1.0.8,success,
FWU-744365832,DEV-3290153734,2024-01-31 06:42:42,1.1.0,1.1.2,success,
FWU-192295574,DEV-8468120873,2024-07-20 10:10:47,,2.0.0,success,
FWU-558480260,DEV-2448078788,2025-11-16 02:53:15,,2.0.1,success,
FWU-337254970,DEV-5266594904,2024-09-20 08:58:08,1.1.0,2.0.0,success,
FWU-249562120,DEV-1242132501,2024-03-17 22:56:53,1.0.3,1.1.2,success,
FWU-633202277,DEV-2985493621,2024-01-27 11:12:45,2.0.0,1.0.3,partial,E_TIMEOUT
FWU-427546602,DEV-4859357762,2024-12-18 20:41:38,1.1.0,1.0.3,success,
FWU-596995858,DEV-2809964669,2025-03-09 16:52:49,1.1.0,1.1.0,success,
FWU-547892103,DEV-7077672392,2025-09-16 06:02:57,1.1.0,2.0.0,success,
FWU-447256832,DEV-2274196572,05/29/2024 05:37,1.1.2,2.0.0,success,
FWU-188697183,DEV-2276218351,2025-06-28 01:36:57,1.0.8,1.1.0,failed,E_STORAGE
FWU-591667337,DEV-8523550148,2024-04-18 17:22:57,1.1.2,1.1.0,success,
FWU-145130114,DEV-6022504726,11/09/2024 01:46,,2.0.0,failed,
FWU-846293907,DEV-4516133201,2025-12-05 10:50:22,1.0.8,1.1.0,success,
FWU-935948057,DEV-7677801246,2024-10-17 18:07:49,1.0.3,1.1.2,success,
FWU-681332290,DEV-7782954756,2025-09-06 10:14:13,2.0.0,1.0.8,success,
FWU-503925737,DEV-9735771191,2024-09-16 21:23:01,1.0.3,2.0.1,success,
FWU-946715439,DEV-8601517197,2025-10-09 18:36:58,1.1.2,1.0.3,success,
FWU-771291443,DEV-4942256494,2025-09-13 09:01:27,,1.0.8,success,
FWU-877393136,DEV-3955843477,2025-03-20 06:03:51,1.0.8,2.0.0,success,
FWU-392509860,,2025-11-17 17:43:18,2.0.0,1.0.3,success,
FWU-659789939,DEV-2529108374,2025-08-27 10:55:38,1.1.0,1.0.8,success,
FWU-526106919,DEV-6377515038,2024-10-20 09:53:18,1.1.0,1.0.3,success,
FWU-704230231,DEV-4279043984,2024-01-19 23:18:31,2.0.0,1.0.8,success,
FWU-313039185,DEV-7938738154,2025-01-04 06:08:14,2.0.0,1.1.0,success,
FWU-828033413,DEV-3967293615,2025-09-01 00:17:24,1.1.0,1.1.0,success,
FWU-524832357,DEV-6571918661,2025-01-05 15:32:52,1.0.8,2.0.1,success,
FWU-417852980,DEV-2242131439,2024-06-22 03:14:54,1.0.3,2.0.0,success,
FWU-908948620,DEV-5969760256,2025-09-01 10:22:14,,2.0.1,,
FWU-172851210,DEV-1906196621,2025-05-11 11:42:16,,1.0.8,success,
FWU-802468658,DEV-4888501524,2024-11-23 11:10:35,1.0.3,1.0.8,,
FWU-947393350,DEV-4215690222,01/06/2025 22:11,1.0.3,2.0.1,failed,E_BT
FWU-758358368,DEV-1891913030,2024-03-12 18:10:58,2.0.0,2.0.0,failed,
FWU-565470660,DEV-4388025609,2024-01-08 05:39:34,1.1.0,1.0.8,success,
FWU-747552617,DEV-5235223789,2024-04-16 07:09:57,1.0.3,1.1.2,success,
FWU-715193155,DEV-8784010431,2025-07-03 11:43:46,1.1.0,1.0.3,success,
FWU-302284327,DEV-8287186703,2024-04-05 02:04:59,1.0.3,2.0.0,success,
FWU-355830174,DEV-6899686014,2025-08-01 08:47:40,,1.1.2,,
FWU-500825369,DEV-6862920746,2025-08-27 22:29:20,1.0.3,2.0.0,success,
FWU-342542113,DEV-5146679773,2025-12-26 02:48:44,1.1.2,1.1.0,success,
FWU-886655014,DEV-5629346490,2025-02-08 07:07:53,1.0.8,1.1.2,success,
FWU-886569797,DEV-5926995710,2024-05-09 01:55:53,1.1.0,1.0.8,success,
FWU-735093236,DEV-1156617675,2024-10-25 03:40:33,1.1.0,2.0.1,success,
FWU-393174872,,2024-06-07 02:19:16,1.1.2,1.1.0,success,
FWU-336536442,,2025-10-04 20:44:11,1.0.8,2.0.0,success,
FWU-669428170,DEV-4791205213,2025-11-03 08:11:50,1.1.2,1.0.8,success,
FWU-175281192,DEV-4359746012,2025-11-25 15:52:07,2.0.0,1.1.0,success,
FWU-123443372,DEV-5308888841,11/20/2024 03:28,1.0.8,2.0.0,success,
FWU-374630436,DEV-4582394192,2025-09-11 02:23:22,1.0.3,1.1.2,success,
FWU-202219334,DEV-8752438396,2025-08-31 03:22:23,1.0.8,1.1.2,success,
FWU-312410751,DEV-6663176952,2024-02-27 16:03:51,1.1.0,2.0.1,success,
FWU-797621503,DEV-5292151267,2025-11-15 13:09:49,,1.0.3,success,
FWU-390797065,DEV-7819007822,2025-03-11 17:28:02,2.0.0,1.0.3,success,
FWU-744439502,DEV-2902209538,2025-06-16 01:46:36,2.0.0,1.1.2,success,
FWU-177567455,DEV-4411264586,05/16/2024 16:40,1.1.0,1.1.2,failed,
FWU-610223508,DEV-6706612196,2024-06-05 10:58:48,1.1.0,2.0.1,success,
FWU-733454183,DEV-1304307434,2024-07-04 20:37:18,2.0.0,1.0.3,success,
FWU-155805241,DEV-4244724802,2025-11-06 23:20:03,1.0.3,1.1.0,success,
FWU-788742536,DEV-8854134160,2024-02-17 14:57:02,1.0.3,1.0.8,success,
FWU-520347850,DEV-2529108374,2025-02-11 20:51:43,,1.0.8,,
FWU-988891270,DEV-7279159986,2024-04-17 08:19:23,1.0.8,1.0.8,success,
FWU-752776529,DEV-5447841253,2024-11-05 17:32:40,1.0.8,1.1.0,partial,E_BT
FWU-710270589,DEV-7510404659,2024-08-13 13:44:55,1.1.0,1.0.3,success,
FWU-698281595,DEV-5925792900,2024-03-31 03:30:27,1.0.3,1.1.2,success,
FWU-569144798,DEV-2686358256,2024-07-24 09:35:10,1.1.2,1.0.8,success,
FWU-926648648,DEV-9682029345,2025-06-07 13:12:16,1.1.0,1.1.2,success,
FWU-922221691,DEV-2755013712,2025-05-11 08:08:33,1.1.2,1.0.3,failed,E_STORAGE
FWU-783264371,DEV-3915342747,2025-10-01 01:35:20,,2.0.1,success,
FWU-650158837,DEV-4559098583,2024-07-19 23:14:11,2.0.0,1.0.8,success,
FWU-655457189,DEV-1368741858,2024-05-21 13:31:18,1.1.0,1.0.8,success,
FWU-733667760,DEV-3788460375,2025-09-21 22:12:25,1.1.0,1.1.2,success,
FWU-864977905,DEV-8004697435,2024-08-31 13:17:22,,2.0.1,success,
FWU-836485865,DEV-3471747857,2025-10-31 04:52:09,2.0.0,1.1.2,success,
FWU-338316882,DEV-7695238797,2024-09-16 17:13:21,1.1.0,1.0.3,success,
FWU-557523862,DEV-2467306582,2024-01-08 04:02:23,1.1.0,1.1.0,failed,
FWU-317970837,DEV-9647526091,2024-08-11 13:18:57,1.0.8,1.1.2,success,
FWU-570089818,DEV-3345646151,2025-06-26 13:44:22,1.0.8,2.0.1,success,
FWU-254681639,DEV-8863472510,2024-05-18 18:23:13,1.1.0,2.0.0,success,
FWU-355173874,DEV-3604267409,2025-04-24 05:50:24,1.0.3,1.1.0,success,
FWU-541377348,DEV-9845676228,2025-06-06 01:11:46,1.1.2,1.0.8,success,
FWU-919175391,DEV-5972595944,2025-04-05 08:11:21,1.1.0,1.0.3,success,
FWU-825574545,DEV-9962897558,2024-05-12 05:58:33,1.1.2,1.1.0,success,
FWU-534620921,DEV-8380916148,2025-10-28 16:21:16,1.1.0,1.0.8,success,
FWU-352407870,DEV-7670236837,2025-02-22 08:21:39,1.0.3,1.1.2,success,
FWU-157571727,DEV-3497209297,2024-09-18 11:20:00,1.0.3,2.0.1,success,
FWU-173682749,DEV-4928031335,2024-04-21 23:59:59,1.1.2,1.1.2,success,
FWU-643276173,,05/31/2024 05:15,2.0.0,1.0.8,success,
FWU-895745651,DEV-4048500685,2024-02-12 22:36:41,,2.0.0,success,
FWU-584840439,DEV-3593126739,2025-11-18 08:33:04,2.0.0,2.0.0,success,
FWU-179493022,DEV-6290898935,2025-11-04 09:12:02,1.0.8,1.0.8,success,
FWU-939309634,DEV-8648587947,2024-03-12 14:16:44,1.0.3,2.0.1,success,
FWU-778915965,DEV-3837164261,2024-03-23 13:57:13,1.0.8,1.1.2,success,
FWU-185120717,DEV-7079474137,2024-09-18 10:58:22,1.1.2,2.0.0,success,
FWU-158184704,DEV-4562466214,09/08/2024 13:22,2.0.0,1.0.3,success,
FWU-374849768,DEV-8481409303,2025-05-04 22:23:14,1.1.2,1.1.2,,
FWU-416822174,DEV-1260854180,2024-06-04 16:04:59,1.0.8,1.1.2,success,
FWU-345299214,DEV-8667309157,2024-12-16 07:28:55,1.1.0,1.0.3,success,
FWU-467931782,DEV-9873719642,2025-10-17 06:10:51,2.0.0,2.0.0,success,
FWU-948252776,DEV-9217740012,2025-09-16 12:11:16,1.0.3,2.0.0,failed,E_TIMEOUT
FWU-525304166,DEV-5289257901,2025-02-06 18:30:17,,1.1.0,success,
FWU-242407240,DEV-9256189342,2025-03-12 10:29:56,,2.0.1,success,
FWU-897634462,DEV-9638008427,2025-03-08 01:48:46,1.1.0,1.0.3,failed,E_PWR
FWU-673398194,DEV-7284927359,2024-04-15 00:20:39,1.1.0,1.0.8,success,
FWU-379061932,DEV-1422970780,2025-10-23 21:39:14,1.1.0,2.0.0,success,
FWU-597557792,DEV-8858705275,2025-04-02 03:42:10,2.0.0,1.0.3,,
FWU-293112256,DEV-3506219232,2025-05-11 14:10:33,1.1.2,2.0.1,success,
FWU-198311409,DEV-2971882657,2024-07-27 03:27:43,2.0.0,2.0.1,success,
FWU-403333967,DEV-4529374529,2024-09-27 16:52:14,1.1.0,2.0.1,success,
FWU-959824938,DEV-7612111268,2025-04-16 18:19:44,1.0.8,1.0.8,success,
FWU-345505261,DEV-8735934925,2024-04-24 17:24:37,,2.0.1,failed,
FWU-398464058,DEV-4820907884,2024-06-24 02:27:53,2.0.0,1.0.8,success,
FWU-954391249,DEV-8705053199,2025-05-01 22:34:40,2.0.0,1.0.8,success,
FWU-123144404,DEV-9955017329,2025-11-15 12:30:12,1.0.8,1.0.3,success,
FWU-111159388,DEV-1137746581,01/17/2024 10:06,1.1.0,1.0.3,,
FWU-542118961,DEV-3072695257,2025-08-11 11:35:30,2.0.0,1.0.8,failed,E_STORAGE
FWU-711899736,DEV-8601863367,2025-07-31 04:07:30,1.1.2,2.0.1,success,
FWU-342836716,DEV-7163481091,2025-02-11 12:31:03,1.1.0,1.0.8,success,
FWU-827777972,DEV-6754438916,2024-08-19 08:20:18,1.0.8,1.1.0,success,
FWU-342471205,DEV-7021831512,2025-01-31 11:54:01,1.0.3,2.0.1,success,
FWU-557074856,,2024-08-03 09:56:02,,1.1.2,success,
FWU-783825731,DEV-3193697059,2025-08-23 20:40:25,,2.0.1,failed,E_TIMEOUT
FWU-880312676,DEV-5203379410,2024-08-31 05:52:42,1.1.2,1.1.2,success,
FWU-168714746,DEV-4539868775,01/08/2024 18:13,1.1.2,2.0.1,success,
FWU-113399707,DEV-1493356310,2024-10-16 13:43:07,1.1.0,2.0.1,success,
FWU-142048129,DEV-1140421992,2024-07-03 07:17:00,1.0.8,2.0.1,success,
FWU-513675179,DEV-7199705913,2024-05-22 16:54:58,2.0.0,2.0.1,success,
FWU-958876506,DEV-8159204912,2025-03-23 10:40:14,,1.0.8,success,
FWU-917255032,DEV-6243124294,2024-09-16 23:25:37,1.1.2,1.0.3,success,
FWU-431405179,DEV-3578783111,2025-09-19 22:31:34,1.1.0,1.0.8,success,
FWU-251616463,DEV-8752438396,2025-09-27 16:00:43,1.0.3,1.1.0,success,
FWU-947794285,DEV-6322209707,2025-12-18 17:04:57,1.0.8,1.0.8,success,
FWU-486625191,DEV-3408615540,2025-01-01 03:34:33,1.0.8,1.1.0,partial,E_TIMEOUT
FWU-790536976,DEV-8630250147,2025-06-04 16:06:36,1.1.2,1.0.8,success,
FWU-251315460,DEV-2662224154,04/16/2024 12:05,1.0.3,1.1.2,success,
FWU-654738646,DEV-6074030365,2024-12-21 18:47:14,,1.1.0,success,
FWU-526670043,DEV-1529236269,2024-03-11 23:23:33,1.0.8,2.0.1,success,
FWU-353794710,DEV-3765336251,2025-07-10 22:29:40,1.0.3,1.0.3,success,
FWU-298584799,DEV-4705248398,2024-07-30 09:24:58,1.0.3,2.0.1,success,
FWU-663106816,DEV-2949331458,2024-10-27 11:56:53,1.1.0,2.0.0,success,
FWU-461164897,DEV-9345398439,2025-10-01 19:44:43,1.0.8,1.1.2,partial,E_STORAGE
FWU-633548152,DEV-6554060314,2025-07-10 17:59:42,1.0.3,1.1.0,success,
FWU-512027212,DEV-4609487344,2025-12-02 18:56:58,2.0.0,2.0.1,success,
FWU-693190070,DEV-1614710229,2024-10-18 13:10:32,1.0.3,1.1.2,success,
FWU-445105227,DEV-7572132431,2025-05-29 12:54:21,1.0.8,2.0.1,partial,E_PWR
FWU-990027039,DEV-6744264211,2025-04-15 09:19:39,1.0.8,1.1.2,success,
FWU-260574461,,2024-10-08 03:14:56,,1.1.0,success,
FWU-151563618,DEV-6606797194,2025-03-20 15:37:40,1.0.8,1.1.2,success,
FWU-719787641,DEV-4675434286,2024-08-23 17:00:12,2.0.0,2.0.1,success,
FWU-910366455,DEV-3505497583,2025-09-30 01:18:05,1.1.0,2.0.1,success,
FWU-110239021,DEV-2170168473,2025-02-11 09:30:20,1.0.3,2.0.0,success,
FWU-763113610,DEV-4033806715,2024-05-26 21:07:57,2.0.0,1.0.3,success,
FWU-342276668,DEV-6624524045,2024-07-08 13:39:11,1.0.8,1.1.2,success,
FWU-270897843,DEV-3751335052,2024-02-03 20:49:07,1.1.0,1.1.0,success,
FWU-299305293,DEV-3944514142,2025-05-26 04:16:25,2.0.0,1.0.3,success,
FWU-432618949,DEV-8211882236,2024-05-11 22:39:21,1.0.3,1.0.8,success,
FWU-804391059,DEV-2156960124,2025-11-17 09:38:24,1.1.0,2.0.0,success,
FWU-776445255,DEV-1514218251,2024-08-21 16:37:24,2.0.0,2.0.0,success,
FWU-958704365,DEV-9327211782,07/13/2024 17:50,1.1.0,1.1.0,success,
FWU-126260362,DEV-7693519702,2024-02-12 18:02:46,1.0.8,1.1.0,success,
FWU-976176421,DEV-8018792468,2025-09-18 15:07:52,1.0.8,1.0.3,partial,E_STORAGE
FWU-349269655,DEV-3795665163,2025-04-15 14:45:20,1.1.2,2.0.1,success,
FWU-479608617,DEV-6496550932,2025-03-29 22:52:39,1.0.3,1.1.0,success,
FWU-508479576,DEV-3278470479,2025-10-20 22:13:33,,1.1.2,success,
FWU-640260551,DEV-2545137989,2025-12-29 02:08:31,1.1.2,1.1.2,success,
FWU-684250002,DEV-4820907884,2025-01-06 03:09:51,2.0.0,1.1.0,failed,
FWU-981375151,DEV-6471508908,2025-11-21 04:14:07,1.0.3,1.0.3,success,
FWU-425698867,DEV-8635575583,2025-10-04 23:44:54,1.1.2,1.0.3,success,
FWU-673056887,DEV-6682119931,2025-05-13 10:13:14,1.0.3,2.0.0,success,
