device_id,product_id,model_name,hw_revision,manufacture_lot,activated_date
DEV-6465839535,PRD-10074,Studio Pro,A,LOT-495451,2025-12-10
DEV-9634729829,PRD-35112,Air Mini,B,LOT-570945,2025-01-14
DEV-1495116968,PRD-66155,QC45,A,LOT-275496,2024-03-29
DEV-8280052162,PRD-41385,QC45,C,LOT-697801,2025-12-23
DEV-4796865162,PRD-24371,QC Ultra,C,LOT-233289,11/18/2025
DEV-1982023149,PRD-71348,QC45,A,LOT-945581,
DEV-5908111274,PRD-71348,Studio Pro,C,LOT-628083,2024-11-09
DEV-9777873312,PRD-66155,QC Ultra,D,LOT-362985,2024-09-03
DEV-5537324389,PRD-66155,QC45,A,LOT-166741,2025-05-15
DEV-2884939143,PRD-24371,QC45,A,LOT-654231,2025-07-14
DEV-1243581040,PRD-99353,Studio Pro,A,LOT-118310,2024-09-03
DEV-1165055708,PRD-15229,Soundbar 600,C,,
DEV-3698470384,PRD-66155,Studio Pro,C,,2024-10-28
DEV-7940878005,PRD-10425,QC45,D,LOT-614391,2024-10-26
DEV-4859357762,PRD-90120,Aviation Pro X,C,LOT-251422,2024-12-19
DEV-9586242978,PRD-89457,Portable PA X,B,,2024-10-28
DEV-4657953422,PRD-71348,QC45,A,LOT-318209,2025-07-31
DEV-7237631715,PRD-24371,QC45,B,LOT-797694,2025-07-23
DEV-4060550147,PRD-66155,Studio Pro,A,LOT-791353,2024-06-17
DEV-7048207695,PRD-71348,Studio Pro,B,LOT-593074,2025-11-25
DEV-2770032700,PRD-24371,QC Ultra,A,LOT-264332,2025-10-08
DEV-9692306838,PRD-71348,QC Ultra,B,LOT-386596,2025-01-04
DEV-1849586427,PRD-40007,QC45,B,LOT-874337,2025-05-13
DEV-9741553924,PRD-24371,QC Ultra,D,LOT-109089,2025-12-25
DEV-9168184950,PRD-24371,QC Ultra,C,LOT-422501,2024-03-10
DEV-7213172814,PRD-25129,Wave Plus,C,LOT-206429,2025-03-29
DEV-2783209739,PRD-84085,Air Mini,D,LOT-688947,2024-05-06
DEV-5192423776,PRD-21114,Portable PA X,D,LOT-141291,2025-02-17
DEV-4294833050,PRD-24371,Studio Pro,C,LOT-562355,2024-05-12
DEV-7729281766,PRD-23104,Wave Plus,,LOT-172236,2025-01-16
DEV-1642037497,PRD-41385,Studio Pro,A,LOT-406550,2025-12-13
DEV-3124934637,PRD-66155,Studio Pro,D,LOT-277272,2025-04-13
DEV-5395659971,PRD-99353,QC45,D,,2025-02-08
DEV-2449628041,PRD-71348,QC45,C,LOT-580339,2024-12-27
DEV-3680788282,PRD-66155,Studio Pro,C,LOT-309340,2025-11-08
DEV-6906189747,PRD-66155,QC45,D,LOT-922209,2025-06-05
DEV-8383551772,PRD-66155,Studio Pro,A,LOT-187352,2024-09-25
DEV-9217740012,PRD-66155,Studio Pro,D,,2025-06-01
DEV-2603690509,PRD-66155,QC Ultra,C,LOT-191631,05/17/2024
DEV-1302291722,PRD-66155,Studio Pro,C,LOT-583145,2025-09-18
DEV-1523893241,PRD-10074,Studio Pro,A,LOT-185097,2025-04-20
DEV-2001052710,PRD-66155,QC Ultra,C,LOT-755833,2024-12-02
DEV-6094109884,PRD-66155,QC45,C,LOT-164242,2025-01-19
DEV-2130699960,PRD-66155,Studio Pro,C,LOT-230034,2024-06-02
DEV-1978030819,PRD-66155,QC45,C,LOT-730775,2024-09-06
DEV-8836032847,PRD-66155,Studio Pro,A,,2024-07-13
DEV-1277683972,PRD-66155,QC Ultra,B,LOT-163338,2024-05-05
DEV-2915263394,PRD-66155,Studio Pro,C,LOT-908856,2025-08-16
DEV-5120145380,PRD-41385,Studio Pro,B,LOT-572684,2025-06-10
DEV-8573798920,PRD-24371,QC45,C,LOT-339192,08/21/2024
DEV-9074429663,PRD-24371,QC45,D,LOT-522829,2024-12-27
DEV-6950952784,PRD-71348,QC Ultra,D,LOT-499987,2024-05-15
DEV-4888501524,PRD-24371,QC Ultra,C,LOT-199453,
DEV-2448757826,PRD-71348,QC Ultra,B,LOT-970085,2024-08-23
DEV-7438743914,PRD-66155,QC45,D,LOT-798130,
DEV-9387857747,PRD-89457,Portable PA Mini,C,LOT-643962,2024-02-21
DEV-9404635612,PRD-24371,Studio Pro,A,LOT-817286,2024-01-11
DEV-6505706239,PRD-10425,Studio Pro,B,LOT-234357,2025-02-15
DEV-6884141787,PRD-66155,QC Ultra,A,LOT-344777,2024-12-13
DEV-8674273936,PRD-49117,Studio Pro,B,LOT-832251,2025-04-30
DEV-4914351005,PRD-24371,Studio Pro,C,LOT-959472,2025-05-06
DEV-5705491685,PRD-61876,Quiet Buds,C,LOT-614788,2024-08-31
DEV-2142492761,PRD-39154,Soundbar 900,B,LOT-907346,2025-07-19
DEV-3034727592,PRD-59672,Quiet Buds,C,LOT-964904,2024-02-15
DEV-3598804887,PRD-38080,QC45,C,LOT-304412,2024-09-05
DEV-5341842641,PRD-66155,QC45,A,LOT-130221,2024-10-19
DEV-5264815575,PRD-66155,QC45,C,LOT-722691,2024-12-27
DEV-2185193869,PRD-91351,Theater Kit X,C,LOT-714969,2024-12-20
DEV-7344102709,PRD-66155,QC Ultra,B,LOT-676850,
DEV-2698821492,PRD-71348,QC45,C,LOT-774885,2024-10-03
DEV-3197770720,PRD-10425,Studio Pro,C,LOT-166980,2025-11-17
DEV-2009375725,PRD-66155,QC45,,LOT-532686,2024-05-06
DEV-7548447910,PRD-24371,Studio Pro,D,LOT-674721,2024-02-18
DEV-9025855300,PRD-71348,QC Ultra,A,LOT-684774,
DEV-6263567754,PRD-10074,QC Ultra,A,LOT-260044,2025-06-25
DEV-8173724981,PRD-24371,QC Ultra,B,LOT-124655,2024-10-27
DEV-1154642818,PRD-99353,QC Ultra,C,,2024-02-01
DEV-4560685428,PRD-24371,QC45,A,LOT-758169,2025-11-28
DEV-2668250303,PRD-99353,QC Ultra,C,LOT-305282,2025-01-31
DEV-2939820995,PRD-66155,QC45,C,LOT-636666,2024-08-09
DEV-4455884519,PRD-66155,Studio Pro,D,LOT-896665,2024-10-27
DEV-6597934134,PRD-68082,Sport Buds,A,LOT-694381,2025-06-07
DEV-2331017102,PRD-66155,QC Ultra,D,LOT-316376,2024-01-19
DEV-9522200751,PRD-65461,Studio Pro,C,LOT-603500,2025-02-17
DEV-9923542410,PRD-40784,Portable PA X,D,LOT-749358,
DEV-4995004351,PRD-66155,QC45,B,LOT-267234,
DEV-9059268380,PRD-24371,QC Ultra,B,LOT-411919,2025-05-16
DEV-4928031335,PRD-24371,QC Ultra,D,LOT-814949,2024-07-23
DEV-1061607195,PRD-15229,Soundbar 600,C,LOT-707940,2024-05-15
DEV-3060403184,PRD-66155,Studio Pro,C,LOT-516849,03/13/2025
DEV-7295140380,PRD-71348,QC Ultra,,LOT-146172,2025-11-01
DEV-3058024565,PRD-62923,Sport Buds,A,LOT-297205,2025-07-05
DEV-8975746608,PRD-66155,Studio Pro,D,LOT-342767,2025-05-20
DEV-7863568529,PRD-66155,QC45,D,LOT-491399,2024-03-09
DEV-8040800825,PRD-99353,QC45,A,LOT-590192,2024-04-23
DEV-7623993181,PRD-66155,QC45,,LOT-365499,2025-06-06
DEV-3922028033,PRD-24371,QC Ultra,B,LOT-755425,2024-12-28
DEV-8272302214,PRD-49117,QC Ultra,D,LOT-625738,2025-11-25
DEV-6733350690,PRD-10425,QC Ultra,B,LOT-491456,2024-07-16
DEV-1457098881,PRD-10074,Studio Pro,C,LOT-827651,2024-11-01
DEV-4435695558,PRD-66155,QC45,A,,2025-09-08
DEV-3741256933,PRD-24371,QC Ultra,A,,2025-10-02
DEV-5582823940,PRD-40007,QC45,D,LOT-474880,02/25/2024
DEV-6960329328,PRD-10425,QC Ultra,B,LOT-601680,2024-09-23
DEV-7442428803,PRD-41385,QC45,A,LOT-936587,2024-01-25
DEV-9077269035,PRD-66155,Studio Pro,B,,
DEV-5667893397,PRD-71348,QC45,C,LOT-859461,2025-12-29
DEV-8512122097,PRD-66155,QC Ultra,C,LOT-438556,2024-10-22
DEV-7930862832,PRD-82845,Quiet Buds,A,LOT-808043,2025-05-21
DEV-6073358284,PRD-71348,QC45,C,LOT-661683,02/18/2025
DEV-7514332909,PRD-10425,QC Ultra,D,LOT-270651,
DEV-4596495823,PRD-10425,QC Ultra,B,LOT-506117,2024-11-27
DEV-5483407610,PRD-79329,SoundLink Flex,A,LOT-711917,2025-05-12
DEV-1498600785,PRD-71348,QC Ultra,A,LOT-734604,2025-07-23
DEV-2846721961,PRD-24371,Studio Pro,B,LOT-765669,2025-06-26
DEV-2813572434,PRD-66155,QC Ultra,A,LOT-796990,2024-12-04
DEV-1519737760,PRD-65518,Soundbar 600,A,LOT-306063,2024-09-07
DEV-3052477875,PRD-24371,Studio Pro,A,LOT-686852,
DEV-8307774765,PRD-66155,QC Ultra,B,LOT-112756,2024-08-21
DEV-4485201635,PRD-10425,QC45,D,LOT-940145,2024-01-07
DEV-1425403685,PRD-71348,QC45,C,LOT-942918,
DEV-3189865928,PRD-10074,QC Ultra,B,LOT-176116,2025-10-28
DEV-7981999751,PRD-12757,QC Ultra,D,LOT-888918,2025-10-14
DEV-6899920286,PRD-38080,QC45,C,LOT-884972,2024-01-22
DEV-9112094321,PRD-39154,Theater Kit X,D,LOT-353063,2025-01-30
DEV-3576214947,PRD-40007,QC45,A,LOT-914793,2024-12-02
DEV-6501137907,PRD-24371,Studio Pro,D,LOT-418239,2024-11-01
DEV-7491585197,PRD-65518,Soundbar 900,C,LOT-718199,2025-05-23
DEV-5884526046,PRD-10425,QC45,A,LOT-459042,2025-05-28
DEV-3205542649,PRD-66155,QC45,D,LOT-351044,2025-05-03
DEV-8198795199,PRD-24371,QC45,B,LOT-791128,2025-10-03
DEV-2267081065,PRD-38080,Studio Pro,C,LOT-679761,2025-09-15
DEV-2060973449,PRD-10425,Studio Pro,D,LOT-291971,2024-05-14
DEV-7735322123,PRD-24371,Studio Pro,B,LOT-175550,2024-10-31
DEV-1014031971,PRD-17100,Quiet Buds,D,LOT-619103,2025-08-14
DEV-2806004534,PRD-10425,QC45,A,LOT-613340,2024-08-03
DEV-1600124465,PRD-24371,QC Ultra,B,LOT-157149,
DEV-2152830622,PRD-66155,QC Ultra,D,LOT-314845,
DEV-1042331617,PRD-10074,QC45,,LOT-397992,2024-02-16
DEV-8523608307,PRD-49117,Studio Pro,B,LOT-124069,2025-07-13
DEV-2646140692,PRD-66155,Studio Pro,C,LOT-195606,2025-09-17
DEV-3088458262,PRD-97153,Portable PA X,A,LOT-353781,2025-09-20
DEV-2200317451,PRD-66155,QC Ultra,A,LOT-707794,2024-06-20
DEV-5647142311,PRD-71348,Studio Pro,B,LOT-503151,2024-07-24
DEV-2167042689,PRD-66155,Studio Pro,B,LOT-649386,08/17/2025
DEV-8895090298,PRD-99353,Studio Pro,A,LOT-181114,2024-10-28
DEV-2735193913,PRD-24371,QC Ultra,B,LOT-360849,2025-09-04
DEV-9694199134,PRD-24371,Studio Pro,A,LOT-574214,11/12/2025
DEV-2636257705,PRD-10425,QC45,B,LOT-544740,
DEV-6450835946,PRD-66155,QC45,B,LOT-995113,2024-06-26
DEV-4633123805,PRD-99353,QC45,B,LOT-194343,2024-06-01
DEV-5509995137,PRD-49117,QC Ultra,B,LOT-256268,2025-06-29
DEV-1798950117,PRD-66155,QC45,B,LOT-343076,2025-12-12
DEV-6050640730,PRD-10425,Studio Pro,B,LOT-276083,2025-08-31
DEV-1330916371,PRD-66155,QC Ultra,B,LOT-659890,2025-07-07
DEV-1768472669,PRD-12757,Studio Pro,D,LOT-109171,2025-07-15
DEV-9678917545,PRD-66155,Studio Pro,D,LOT-275113,
DEV-8658602946,PRD-66155,QC45,A,LOT-215213,2024-04-12
DEV-2621028466,PRD-10425,QC Ultra,B,LOT-613756,2024-02-02
DEV-7526873464,PRD-99353,Studio Pro,C,LOT-524881,2024-11-09
DEV-8979734990,PRD-24371,QC Ultra,D,LOT-728934,2025-01-25
DEV-7066267665,PRD-66155,QC45,B,,2025-12-03
DEV-5927058358,PRD-66155,Studio Pro,D,LOT-780600,2025-08-25
DEV-7180569787,PRD-66155,QC45,B,LOT-489616,2025-11-30
DEV-5729982396,PRD-24371,QC45,A,LOT-505334,2024-02-09
DEV-3049163708,PRD-66155,QC45,A,LOT-425416,2024-08-16
DEV-7706978462,PRD-74799,Aviation A20,A,LOT-646403,2024-04-23
DEV-7271901973,PRD-24371,Studio Pro,B,LOT-940144,2025-04-21
DEV-3207491396,PRD-71348,Studio Pro,C,LOT-693861,2025-02-07
DEV-6918142780,PRD-66155,Studio Pro,C,LOT-766060,2025-10-02
DEV-7944422475,PRD-93130,Soundbar 900,B,,2025-01-16
DEV-6126748956,PRD-66155,QC Ultra,B,LOT-320846,
DEV-5455861031,PRD-66155,Studio Pro,B,,2025-10-29
DEV-1490644268,PRD-67912,Theater Kit X,B,LOT-746759,2025-01-18
DEV-8482311257,PRD-71348,Studio Pro,C,LOT-800188,2024-08-13
DEV-2053540619,PRD-99353,QC Ultra,B,LOT-633552,2024-08-04
DEV-9002064892,PRD-74799,Aviation A20,D,LOT-985510,2024-02-09
DEV-6854009954,PRD-66155,Studio Pro,B,LOT-413612,
DEV-3847057976,PRD-66155,QC45,D,,2025-01-08
DEV-2590770430,PRD-24371,QC45,A,LOT-615753,2024-01-24
DEV-4648360242,PRD-66155,QC45,A,LOT-452438,2024-11-30
DEV-1432330710,PRD-24371,QC Ultra,D,,2024-03-05
DEV-3783008938,PRD-66155,QC Ultra,A,LOT-239967,2025-09-08
DEV-3456709521,PRD-41385,QC Ultra,A,LOT-204827,
DEV-3638670490,PRD-10425,QC Ultra,D,LOT-964226,2024-01-31
DEV-7926652524,PRD-10425,QC Ultra,A,LOT-372611,2025-04-23
DEV-3604827192,PRD-99353,Studio Pro,B,LOT-455108,2025-01-20
DEV-6610939962,PRD-17100,Air Mini,C,LOT-946165,2025-08-01
DEV-2402777787,PRD-59672,Quiet Buds,B,LOT-138585,
DEV-1634280645,PRD-10425,QC45,A,LOT-396196,2024-04-01
DEV-7363409651,PRD-10425,QC45,A,LOT-804266,2025-07-12
DEV-9141495500,PRD-91351,Theater Kit X,A,LOT-300790,06/11/2024
DEV-2673143473,PRD-40982,Sport Buds,B,LOT-921794,2025-09-04
DEV-8333160749,PRD-66155,Studio Pro,B,LOT-694090,2024-09-10
DEV-9393609813,PRD-30635,Sport Buds,A,LOT-450807,2024-05-07
DEV-6070264390,PRD-66155,QC Ultra,C,LOT-845920,2025-04-14
DEV-3152108884,PRD-24371,QC Ultra,A,LOT-999441,2024-03-22
DEV-6139619911,PRD-99353,Studio Pro,D,LOT-854038,2025-11-21
DEV-5486152031,PRD-25906,Aviation Pro X,A,LOT-930302,
DEV-9285199831,PRD-68082,Air Mini,C,LOT-975353,2024-11-20
DEV-4660019631,PRD-24371,QC Ultra,C,LOT-513990,2025-05-21
DEV-2929513766,PRD-66155,QC45,A,,
DEV-2789949373,PRD-63354,Air Mini,D,LOT-904026,2025-02-19
DEV-3491838012,PRD-10425,Studio Pro,C,LOT-221500,2024-02-09
DEV-2411272092,PRD-24371,Studio Pro,C,,2025-07-17
DEV-1088866747,PRD-66155,QC Ultra,D,LOT-277233,2025-01-07
DEV-2831586205,PRD-24371,Studio Pro,A,LOT-402806,2025-12-04
DEV-5024825971,PRD-99353,QC Ultra,A,LOT-895290,2024-02-23
DEV-2449679618,PRD-66155,Studio Pro,C,LOT-587899,2024-12-16
DEV-5652601077,PRD-49117,QC Ultra,B,LOT-298495,2025-12-27
DEV-4292023422,PRD-66155,QC Ultra,A,LOT-647447,2025-12-10
DEV-8007540896,PRD-71348,QC Ultra,B,LOT-893516,2025-09-05
DEV-1912079195,PRD-40007,QC Ultra,C,LOT-714837,2024-11-08
DEV-8648329645,PRD-65724,Aviation Pro X,B,LOT-308785,06/25/2024
DEV-2526523558,PRD-66155,Studio Pro,D,LOT-535718,03/19/2025
DEV-1366039728,PRD-24371,QC Ultra,C,LOT-222152,2024-12-25
DEV-2463309671,PRD-99353,Studio Pro,D,LOT-769075,2025-03-04
DEV-1457732911,PRD-35112,Sport Buds,C,LOT-829711,2024-08-15
DEV-8944559914,PRD-66155,QC Ultra,,LOT-622491,2024-09-21
DEV-2407692034,PRD-66155,Studio Pro,A,LOT-650454,2024-08-09
DEV-9481010313,PRD-24371,QC45,B,LOT-704411,2024-03-14
DEV-7640296994,PRD-66155,Studio Pro,C,LOT-523257,08/02/2024
DEV-9989226860,PRD-65518,Soundbar 900,B,,
DEV-1017220472,PRD-39154,Soundbar 900,A,LOT-525709,2025-04-01
DEV-2063329832,PRD-10425,QC45,A,LOT-696655,2025-03-11
DEV-4041530477,PRD-17100,Quiet Buds,C,LOT-815598,2025-09-13
DEV-9053376113,PRD-66155,Studio Pro,D,LOT-296660,2025-02-10
DEV-8159204912,PRD-71348,QC Ultra,D,LOT-242827,2025-05-16
DEV-2156893419,PRD-25129,Pulse S,D,LOT-540636,2024-08-11
DEV-3882025167,PRD-66155,QC Ultra,C,LOT-362139,2024-03-30
DEV-5145587885,PRD-41385,QC45,D,LOT-783517,2024-04-13
DEV-5754329742,PRD-79822,QC Ultra,B,LOT-779438,2024-11-17
DEV-6476360727,PRD-24371,Studio Pro,A,LOT-316826,2024-11-15
DEV-6337650091,PRD-10074,QC45,D,LOT-364357,
DEV-4580671460,PRD-71348,Studio Pro,B,LOT-533485,2024-03-13
DEV-5354098761,PRD-66155,Studio Pro,A,LOT-417923,2024-05-17
DEV-8900454771,PRD-41385,QC45,B,LOT-559411,08/02/2024
DEV-2651765604,PRD-66155,Studio Pro,B,LOT-215159,2025-01-12
DEV-8728627585,PRD-66155,Studio Pro,B,,2024-03-17
