customer_id,customer_segment,region,loyalty_tier,age,signup_date
CUST-391773,Enterprise,APAC,Platinum,37.0,2024-06-11
CUST-888539,Consumer,APAC,Silver,18.0,2025-09-01
CUST-972335,Automotive,LATAM,Platinum,39.0,2025-05-30
CUST-542042,Consumer,LATAM,Silver,30.0,2024-05-10
CUST-364525,Consumer,EU,Silver,37.0,2025-08-06
CUST-975467,Enterprise,NA,,31.0,2025-08-06
CUST-185884,Consumer,NA,Platinum,47.0,2025-01-22
CUST-593152,Consumer,APAC,Platinum,36.0,2024-05-19
CUST-120324,Consumer,EU,,45.0,2024-10-17
CUST-885408,Consumer,LATAM,Platinum,45.0,2025-01-10
CUST-665621,Consumer,APAC,Platinum,21.0,2025-01-19
CUST-154615,Consumer,EU,Platinum,25.0,2025-03-27
CUST-466960,Enterprise,NA,Platinum,38.0,2025-12-16
CUST-335113,Consumer,EU,Silver,29.0,05/19/2025
CUST-781725,Consumer,NA,Platinum,31.0,2024-06-19
CUST-171951,Consumer,EU,Platinum,48.0,2024-12-17
CUST-919182,Consumer,APAC,,30.0,2024-11-03
CUST-783414,Consumer,NA,Gold,23.0,2024-11-26
CUST-142213,Consumer,APAC,Gold,24.0,2025-03-19
CUST-890870,Consumer,APAC,Silver,58.0,2025-10-16
CUST-132537,Consumer,NA,Platinum,32.0,2025-03-03
CUST-359295,Consumer,NA,,18.0,2025-08-06
CUST-309044,Consumer,LATAM,Platinum,18.0,2024-12-11
CUST-979995,Enterprise,LATAM,,,2024-06-27
CUST-121369,Consumer,LATAM,Silver,27.0,2024-12-27
CUST-751517,Consumer,APAC,Gold,31.0,2024-09-18
CUST-259784,Automotive,APAC,,,2024-12-29
CUST-350132,Consumer,LATAM,Silver,44.0,2024-10-12
CUST-232352,Automotive,APAC,Platinum,43.0,2024-09-03
CUST-596564,Consumer,APAC,Gold,33.0,2024-01-20
CUST-801978,Enterprise,NA,Gold,29.0,2024-06-30
CUST-219946,Consumer,NA,Gold,,2024-02-28
CUST-691364,Enterprise,APAC,Platinum,37.0,2024-03-05
CUST-328552,Consumer,LATAM,Platinum,18.0,2025-01-24
CUST-587623,Consumer,EU,,55.0,2025-05-14
CUST-833442,Consumer,LATAM,Silver,41.0,2024-08-02
CUST-368690,Consumer,EU,,43.0,2024-03-17
CUST-904150,Enterprise,LATAM,Platinum,22.0,10/06/2024
CUST-486814,Enterprise,NA,,48.0,2024-06-04
CUST-275939,Consumer,APAC,Silver,28.0,2025-06-08
CUST-735324,Enterprise,APAC,Gold,23.0,2024-08-23
CUST-736745,Consumer,NA,Platinum,33.0,2025-08-19
CUST-884256,Consumer,EU,Platinum,33.0,2024-08-01
CUST-853252,Consumer,EU,Silver,22.0,2025-04-14
CUST-220096,Enterprise,EU,Gold,24.0,2025-10-26
CUST-915573,Consumer,NA,,23.0,2025-07-28
CUST-959099,Consumer,EU,Platinum,23.0,07/21/2024
CUST-271720,Enterprise,NA,Silver,29.0,2024-08-20
CUST-426147,Consumer,LATAM,Gold,,2024-09-26
CUST-213349,Consumer,LATAM,Silver,18.0,2024-11-09
CUST-706794,Consumer,NA,Silver,26.0,2025-09-30
CUST-126925,Consumer,APAC,,45.0,05/23/2025
CUST-427110,Consumer,LATAM,,43.0,2025-05-23
CUST-703766,Consumer,EU,Platinum,22.0,2025-08-14
CUST-810250,Consumer,NA,Silver,44.0,2025-11-03
CUST-493537,Consumer,EU,Gold,18.0,2024-06-25
CUST-515922,Consumer,EU,Platinum,60.0,2024-06-12
CUST-849747,Enterprise,APAC,Silver,48.0,2025-02-04
CUST-307963,Consumer,EU,,27.0,2025-03-05
CUST-179688,Consumer,APAC,Silver,38.0,2025-07-15
CUST-720859,Consumer,LATAM,Platinum,18.0,2024-09-21
CUST-824161,Consumer,NA,Platinum,34.0,2024-08-31
CUST-970917,Consumer,EU,Platinum,31.0,2024-11-29
CUST-757711,Enterprise,NA,Silver,24.0,2025-06-26
CUST-354646,Consumer,EU,Silver,28.0,2024-12-06
CUST-206851,Consumer,NA,Platinum,27.0,03/09/2025
CUST-831059,Consumer,EU,Gold,21.0,2024-04-17
CUST-910004,Consumer,EU,Platinum,24.0,2024-04-09
CUST-416232,Automotive,EU,Platinum,,07/27/2025
CUST-991597,Consumer,EU,Platinum,18.0,2025-09-21
CUST-817497,Consumer,EU,Platinum,43.0,2024-10-02
CUST-729577,Consumer,EU,Gold,23.0,2024-11-21
CUST-944657,Consumer,EU,Platinum,20.0,2025-08-07
CUST-226935,Enterprise,EU,Platinum,43.0,2025-08-27
CUST-934904,Consumer,EU,Gold,38.0,2024-08-20
CUST-693423,Enterprise,NA,Gold,,2024-01-19
CUST-920652,Consumer,APAC,Platinum,,2024-01-26
CUST-143064,Enterprise,EU,Silver,42.0,2024-04-29
CUST-464069,Consumer,APAC,Platinum,44.0,2024-09-13
CUST-658623,Consumer,EU,,55.0,2025-09-12
CUST-549186,Consumer,EU,Silver,32.0,2025-04-17
CUST-793655,Automotive,NA,Gold,,2024-10-30
CUST-488571,Enterprise,LATAM,Silver,18.0,2024-06-07
CUST-172306,Consumer,LATAM,Gold,36.0,2024-02-19
CUST-630538,Enterprise,NA,Platinum,26.0,2024-05-26
CUST-778998,Consumer,APAC,,23.0,2024-09-12
CUST-457806,Automotive,LATAM,Gold,35.0,2024-12-16
CUST-113266,Consumer,NA,,43.0,2024-08-24
CUST-990844,Enterprise,NA,Silver,24.0,2024-03-22
CUST-540463,Enterprise,LATAM,,48.0,05/17/2024
CUST-962276,Consumer,APAC,Platinum,23.0,2025-06-19
CUST-614013,Consumer,NA,Silver,31.0,2024-01-21
CUST-210665,Consumer,EU,Platinum,38.0,2024-02-23
CUST-554582,Enterprise,APAC,Platinum,29.0,2024-10-26
CUST-479781,Consumer,APAC,Silver,18.0,2024-06-30
CUST-766459,Automotive,LATAM,Gold,44.0,2025-02-11
CUST-968962,Consumer,LATAM,Silver,27.0,2024-02-14
CUST-582071,Consumer,EU,Silver,42.0,2024-01-09
CUST-841666,Enterprise,NA,Silver,20.0,2025-10-29
CUST-260422,Consumer,LATAM,Gold,21.0,2024-10-30
CUST-556641,Consumer,LATAM,Platinum,,2024-03-27
CUST-284692,Enterprise,APAC,Silver,43.0,2024-11-20
CUST-869440,Consumer,LATAM,Silver,37.0,2024-02-23
CUST-647091,Consumer,LATAM,Gold,29.0,2025-12-02
CUST-782054,Automotive,LATAM,Platinum,37.0,2024-04-10
CUST-383201,Consumer,LATAM,Gold,23.0,2024-08-28
CUST-745830,Consumer,APAC,Platinum,35.0,2025-07-05
CUST-947458,Consumer,EU,Gold,35.0,2024-05-03
CUST-664315,Consumer,EU,,29.0,2025-12-30
CUST-912270,Consumer,NA,Gold,24.0,2024-06-06
CUST-606983,Consumer,LATAM,Gold,34.0,2025-06-15
CUST-587455,Consumer,APAC,Gold,33.0,06/05/2024
CUST-556732,Consumer,NA,Silver,28.0,2024-04-20
CUST-965845,Consumer,NA,Silver,22.0,2025-10-02
CUST-866536,Consumer,EU,Silver,34.0,2025-09-19
CUST-721254,Consumer,APAC,Platinum,28.0,2024-09-12
CUST-381433,Consumer,APAC,Gold,22.0,2025-11-13
CUST-437960,Consumer,APAC,Silver,34.0,2024-12-25
CUST-993085,Consumer,EU,Gold,51.0,2025-07-26
CUST-357420,Enterprise,EU,Silver,29.0,2025-05-16
CUST-971084,Consumer,EU,Platinum,,2024-12-20
CUST-190872,Enterprise,EU,Gold,50.0,2025-10-16
CUST-392477,Enterprise,EU,Gold,57.0,2024-08-19
CUST-572700,Consumer,LATAM,Platinum,,2025-10-01
CUST-355709,Automotive,LATAM,Gold,23.0,2024-05-16
CUST-886931,Automotive,APAC,,34.0,2024-05-19
CUST-587282,Consumer,NA,Silver,57.0,2025-07-23
CUST-697530,Consumer,APAC,,32.0,2024-10-25
CUST-739979,Automotive,NA,Silver,34.0,2024-05-22
CUST-800646,Enterprise,EU,Platinum,18.0,2024-03-15
CUST-497399,Consumer,NA,Silver,28.0,2024-02-03
CUST-452737,Enterprise,APAC,Silver,40.0,2025-11-07
CUST-130094,Enterprise,APAC,Platinum,60.0,2025-11-16
CUST-618317,Enterprise,NA,,31.0,2024-08-14
CUST-992288,Enterprise,LATAM,,18.0,2024-02-21
CUST-440802,Enterprise,EU,,18.0,2025-07-15
CUST-290672,Consumer,EU,Silver,33.0,2025-12-06
CUST-611233,Consumer,APAC,Silver,46.0,2025-08-14
CUST-322423,Consumer,LATAM,Gold,41.0,2024-10-13
CUST-472060,Enterprise,NA,Platinum,39.0,2024-03-22
CUST-936587,Consumer,EU,Platinum,,2025-08-28
CUST-370902,Consumer,LATAM,Platinum,48.0,2024-12-16
CUST-456871,Consumer,EU,Silver,26.0,2024-06-10
CUST-393243,Consumer,LATAM,Gold,34.0,12/24/2024
CUST-725113,Consumer,LATAM,,28.0,2025-05-11
CUST-835244,Enterprise,APAC,Gold,31.0,2025-08-05
CUST-389688,Consumer,EU,Gold,22.0,2024-09-23
CUST-682789,Consumer,NA,,30.0,2025-10-26
CUST-110644,Consumer,APAC,Platinum,33.0,01/30/2024
CUST-641722,Consumer,APAC,Silver,29.0,2024-03-30
CUST-300337,Consumer,NA,,32.0,2024-04-16
CUST-189771,Consumer,APAC,,38.0,2025-08-04
CUST-353080,Consumer,LATAM,,47.0,2024-12-24
CUST-855053,Consumer,LATAM,Platinum,48.0,2025-03-01
CUST-526170,Consumer,EU,Gold,,2025-07-08
CUST-612311,Consumer,EU,Gold,42.0,2024-04-18
CUST-682144,Consumer,NA,,20.0,2024-08-04
CUST-894993,Consumer,EU,Gold,,2024-05-12
CUST-351997,Enterprise,LATAM,Platinum,30.0,2025-04-16
CUST-824156,Consumer,NA,Platinum,30.0,2024-08-16
CUST-599219,Consumer,NA,Silver,26.0,2025-07-29
CUST-777278,Enterprise,EU,Platinum,37.0,2024-03-01
CUST-846420,Consumer,LATAM,Silver,18.0,2024-01-09
CUST-614663,Enterprise,NA,Gold,52.0,2024-04-29
CUST-569945,Consumer,LATAM,Silver,47.0,2024-05-18
CUST-931450,Automotive,LATAM,Platinum,39.0,2024-01-27
CUST-118080,Enterprise,LATAM,,33.0,2025-02-17
CUST-197573,Consumer,EU,Gold,47.0,06/25/2025
CUST-408528,Enterprise,APAC,Gold,41.0,2025-05-08
CUST-332360,Consumer,APAC,Silver,46.0,2025-05-12
CUST-524045,Consumer,NA,Silver,33.0,2025-05-27
CUST-825391,Consumer,LATAM,Platinum,53.0,2024-10-30
CUST-355123,Consumer,EU,Gold,46.0,12/10/2024
CUST-421080,Enterprise,LATAM,Silver,39.0,01/04/2024
CUST-796212,Consumer,LATAM,Gold,47.0,2024-10-20
CUST-709805,Consumer,EU,Platinum,,2025-12-22
CUST-486945,Consumer,APAC,Silver,29.0,2025-12-06
CUST-596249,Consumer,LATAM,Gold,21.0,03/11/2024
CUST-680358,Consumer,LATAM,,37.0,2024-01-22
CUST-656711,Consumer,APAC,Silver,33.0,2024-09-18
CUST-460455,Consumer,EU,Platinum,31.0,2025-06-12
CUST-546173,Consumer,NA,Silver,47.0,2024-06-20
CUST-882169,Consumer,APAC,Platinum,35.0,2024-03-16
CUST-677124,Enterprise,NA,Gold,36.0,2025-10-07
CUST-446859,Consumer,NA,Platinum,30.0,2025-07-16
CUST-468900,Consumer,APAC,Platinum,43.0,2024-11-18
CUST-836996,Consumer,LATAM,,41.0,2025-09-25
CUST-575786,Consumer,NA,Platinum,43.0,2025-03-12
CUST-384076,Consumer,NA,,28.0,2025-04-30
CUST-421517,Enterprise,EU,Gold,48.0,2025-02-24
CUST-363615,Automotive,LATAM,,54.0,2024-11-28
CUST-341736,Consumer,NA,Silver,43.0,2024-06-15
CUST-226516,Consumer,EU,Platinum,25.0,2024-09-08
CUST-856321,Consumer,LATAM,Gold,25.0,2024-11-08
CUST-301939,Consumer,APAC,Gold,29.0,2024-01-10
CUST-430876,Consumer,APAC,,,2024-12-22
CUST-225362,Enterprise,EU,Gold,,2025-05-26
CUST-878967,Consumer,APAC,Gold,,2025-05-19
CUST-661894,Consumer,NA,Gold,27.0,2024-02-04
CUST-899213,Consumer,LATAM,Platinum,33.0,2024-06-18
CUST-823688,Enterprise,NA,Gold,40.0,2025-08-19
CUST-294143,Consumer,NA,,37.0,2024-03-20
CUST-300845,Consumer,APAC,Silver,36.0,2025-09-06
CUST-326895,Enterprise,NA,Silver,31.0,2025-10-22
CUST-874483,Enterprise,APAC,Gold,,2024-07-14
CUST-607719,Consumer,LATAM,Platinum,33.0,2025-04-10
CUST-389930,Consumer,LATAM,,,2025-05-05
CUST-859782,Enterprise,NA,Gold,42.0,2025-06-10
CUST-718226,Consumer,EU,,18.0,2025-08-22
CUST-897135,Consumer,APAC,,33.0,2024-09-14
CUST-650121,Consumer,APAC,Gold,37.0,2025-08-14
CUST-725780,Consumer,NA,Silver,42.0,2024-09-03
CUST-396745,Enterprise,APAC,,22.0,2025-06-01
CUST-205409,Enterprise,APAC,Gold,,09/17/2024
CUST-973074,Consumer,EU,Platinum,22.0,2025-12-09
CUST-303547,Consumer,EU,Silver,40.0,2024-10-23
CUST-410636,Consumer,NA,,18.0,2025-07-30
CUST-338533,Consumer,EU,Platinum,48.0,2025-04-01
CUST-478411,Enterprise,NA,Gold,36.0,2024-01-11
CUST-288158,Consumer,LATAM,Silver,51.0,2025-04-23
CUST-416950,Consumer,NA,Gold,22.0,2024-04-06
CUST-114835,Consumer,LATAM,Platinum,29.0,2025-07-27
CUST-842411,Consumer,NA,Silver,18.0,2024-07-08
CUST-660081,Consumer,APAC,Silver,25.0,2024-02-16
CUST-232731,Enterprise,EU,Silver,,2025-01-22
CUST-387636,Consumer,LATAM,,31.0,2024-04-27
CUST-147726,Enterprise,NA,Gold,18.0,05/13/2025
CUST-157174,Consumer,EU,,29.0,2025-12-18
CUST-680238,Consumer,NA,,18.0,2024-12-10
CUST-406327,Consumer,EU,Gold,31.0,2024-09-12
CUST-831295,Enterprise,EU,Silver,46.0,2024-09-03
CUST-232413,Automotive,NA,Silver,33.0,08/13/2025
CUST-768854,Consumer,LATAM,Gold,52.0,2025-09-06
CUST-889359,Consumer,LATAM,Silver,42.0,2025-05-18
CUST-614723,Enterprise,APAC,Silver,,08/05/2025
CUST-207570,Consumer,EU,Gold,48.0,2025-10-19
CUST-112861,Consumer,APAC,Platinum,25.0,2024-09-23
CUST-701949,Enterprise,APAC,Gold,25.0,02/22/2025
CUST-398151,Consumer,NA,Gold,37.0,2025-12-13
CUST-592198,Consumer,NA,Platinum,18.0,2024-07-11
CUST-601968,Consumer,NA,Silver,,2025-06-24
CUST-561865,Consumer,EU,Platinum,39.0,2025-04-17
CUST-457256,Consumer,NA,Silver,30.0,2025-02-09
CUST-293319,Enterprise,NA,Silver,48.0,2024-12-09
CUST-153872,Consumer,EU,Gold,41.0,2024-02-20
CUST-364742,Consumer,EU,Platinum,46.0,2024-02-24
CUST-600935,Consumer,LATAM,Platinum,25.0,2024-02-10
CUST-219629,Consumer,NA,Gold,45.0,2024-04-19
CUST-962050,Automotive,NA,Gold,49.0,2024-04-07
CUST-168517,Consumer,NA,Platinum,33.0,2025-04-05
CUST-520172,Consumer,LATAM,Platinum,25.0,2025-09-09
CUST-615633,Enterprise,NA,,26.0,2024-07-02
CUST-177680,Consumer,LATAM,Silver,,2024-11-27
CUST-705050,Consumer,APAC,Gold,,2024-08-29
CUST-760021,Consumer,LATAM,Silver,47.0,2024-06-02
CUST-819796,Consumer,APAC,Gold,63.0,2024-05-17
CUST-156213,Consumer,NA,Silver,,2024-08-23
CUST-259097,Consumer,APAC,Gold,23.0,2024-12-14
CUST-256445,Enterprise,LATAM,Silver,22.0,2024-06-05
CUST-950544,Consumer,EU,Silver,,2025-08-29
CUST-690180,Consumer,APAC,Silver,,2024-10-06
CUST-418594,Consumer,APAC,Gold,44.0,2024-05-10
CUST-189318,Consumer,NA,,25.0,2024-11-24
CUST-360247,Enterprise,LATAM,Gold,45.0,2025-07-24
CUST-224205,Consumer,APAC,Platinum,39.0,2024-05-01
CUST-685181,Consumer,APAC,Platinum,,2025-09-08
CUST-901577,Consumer,APAC,Silver,33.0,2025-08-14
CUST-536390,Consumer,APAC,Gold,38.0,2025-10-25
CUST-735770,Consumer,EU,Platinum,38.0,2025-12-05
CUST-725084,Consumer,LATAM,Silver,32.0,2025-04-07
CUST-929151,Consumer,NA,,18.0,2025-03-05
CUST-748458,Enterprise,NA,Platinum,35.0,2024-07-18
CUST-336650,Consumer,EU,Platinum,,2024-08-25
CUST-913373,Consumer,LATAM,Platinum,51.0,2024-10-18
CUST-647957,Consumer,APAC,Platinum,18.0,2025-01-08
CUST-498855,Enterprise,EU,Gold,23.0,2024-04-16
CUST-572398,Consumer,LATAM,Gold,38.0,2024-06-01
CUST-564226,Enterprise,APAC,,34.0,05/27/2024
CUST-411797,Consumer,EU,,38.0,2025-10-31
CUST-717113,Enterprise,LATAM,Platinum,26.0,2025-07-17
CUST-549660,Automotive,NA,Platinum,46.0,2024-11-10
CUST-420214,Enterprise,NA,Silver,34.0,2024-11-02
CUST-696251,Enterprise,LATAM,Gold,,2024-10-16
CUST-751194,Consumer,NA,Platinum,41.0,2024-08-27
CUST-163156,Consumer,LATAM,Platinum,37.0,2025-04-01
CUST-739244,Consumer,APAC,,35.0,11/18/2025
CUST-876039,Consumer,LATAM,Gold,40.0,2025-12-16
CUST-204053,Consumer,APAC,,36.0,2025-12-25
CUST-899787,Consumer,EU,Silver,20.0,2024-05-30
CUST-317881,Consumer,LATAM,,45.0,2024-07-17
CUST-755900,Consumer,EU,Silver,42.0,2025-08-06
CUST-321275,Enterprise,NA,Gold,18.0,2025-01-30
CUST-377501,Consumer,APAC,Silver,26.0,2025-05-08
CUST-792509,Enterprise,LATAM,Gold,45.0,06/24/2025
CUST-185131,Enterprise,EU,Gold,18.0,2024-10-26
CUST-264686,Automotive,APAC,Gold,44.0,2025-07-25
CUST-351516,Consumer,APAC,Gold,32.0,01/06/2025
CUST-282256,Enterprise,NA,,48.0,2025-09-23
CUST-678805,Automotive,NA,Silver,33.0,2025-07-02
CUST-178711,Automotive,APAC,Platinum,26.0,2025-06-25
CUST-264136,Consumer,APAC,,37.0,2024-04-24
CUST-102805,Consumer,LATAM,Platinum,33.0,2024-12-19
CUST-528361,Consumer,APAC,Silver,25.0,2024-04-24
CUST-572387,Consumer,LATAM,Gold,,2025-04-12
CUST-822858,Consumer,APAC,Gold,,2025-05-29
CUST-722656,Enterprise,NA,Gold,58.0,2024-01-10
CUST-592738,Enterprise,LATAM,Silver,23.0,2024-03-12
CUST-405407,Consumer,EU,Gold,18.0,2025-12-13
CUST-134225,Enterprise,NA,Platinum,51.0,2025-07-02
CUST-342720,Consumer,LATAM,Silver,27.0,2025-11-30
CUST-402099,Consumer,LATAM,Gold,30.0,2025-12-07
CUST-841296,Enterprise,EU,Platinum,30.0,2024-11-24
CUST-396451,Consumer,LATAM,Gold,27.0,2024-11-27
CUST-837135,Consumer,APAC,Silver,25.0,2024-08-22
CUST-576086,Enterprise,EU,Platinum,,2025-02-18
CUST-174637,Consumer,NA,Gold,23.0,2024-10-24
CUST-820775,Consumer,NA,Silver,34.0,2025-07-24
CUST-344762,Enterprise,APAC,Gold,29.0,2025-11-11
CUST-377405,Consumer,NA,Platinum,42.0,2025-11-06
CUST-926097,Enterprise,LATAM,Gold,39.0,2025-05-09
CUST-929683,Consumer,LATAM,Platinum,23.0,2025-09-11
CUST-755420,Enterprise,APAC,,35.0,2024-04-20
CUST-718439,Consumer,NA,Gold,29.0,2024-06-11
CUST-793300,Automotive,NA,Platinum,23.0,2024-11-05
CUST-942956,Enterprise,APAC,Gold,41.0,2024-01-05
CUST-307428,Consumer,EU,Platinum,32.0,2025-09-26
CUST-545790,Consumer,NA,,29.0,2024-03-16
CUST-220351,Automotive,EU,,,2025-06-24
CUST-671015,Consumer,NA,,24.0,2024-11-19
CUST-335729,Consumer,NA,Silver,22.0,2025-07-23
CUST-779094,Consumer,NA,Silver,,2024-05-17
CUST-256226,Consumer,NA,Gold,55.0,2025-06-30
CUST-378535,Enterprise,LATAM,Platinum,37.0,2025-01-12
CUST-966785,Consumer,EU,Silver,21.0,2024-03-26
CUST-249145,Consumer,EU,Platinum,37.0,2025-09-24
CUST-174878,Consumer,NA,Platinum,,06/05/2024
CUST-162535,Consumer,NA,Silver,45.0,2024-05-21
CUST-273982,Consumer,EU,Gold,35.0,2024-05-29
CUST-931131,Consumer,LATAM,Silver,49.0,2025-12-01
CUST-422554,Enterprise,APAC,Gold,,2024-12-08
CUST-723948,Consumer,APAC,Gold,18.0,2025-04-30
CUST-885339,Consumer,EU,Gold,18.0,2025-05-09
CUST-964278,Enterprise,NA,,,2024-08-15
