campaign_id,date,region,impressions,clicks,conversions,spend,attributed_revenue,utm_source,utm_medium
CMP-304355,2025-02-23,EU,19862.0,499,29.0,363.63,6672.71,(not set),
CMP-647689,2024-06-15,APAC,4187.0,185,5.0,$88.33,1489.61,tiktok,email
CMP-715846,2025-06-14,APAC,6174.0,193,2.0,69.22,369.23,google,
CMP-114815,06-Jan-2024,NA,39036.0,1097,106.0,188.4,42131.48,meta,
CMP-546070,2024-09-18,NA,5998.0,86,2.0,56.1,,(not set),email
CMP-387492,2025-10-28,EU,15991.0,296,7.0,296.33,3138.41,tiktok,organic
CMP-863878,2024-03-09,APAC,15139.0,252,6.0,,2216.96,google,cpc
CMP-588715,2024-11-05,NA,25404.0,1077,22.0,311.44,8708.53,tiktok,email
CMP-102800,2025-08-17,APAC,6913.0,102,9.0,37.64,3401.65,tiktok,(none)
CMP-238043,2024-07-22,NA,14449.0,565,52.0,61.1,15240.15,email,email
CMP-772844,2024-12-03,NA,9923.0,293,17.0,131.28,6094.98,email,cpc
CMP-198679,2025-06-04,NA,3336.0,68,1.0,31.56,248.91,email,(none)
CMP-688368,2024-07-31,LATAM,14196.0,219,6.0,112.71,1359.87,meta,email
CMP-102800,2025-09-06,LATAM,23230.0,908,86.0,126.38,37440.77,email,organic
CMP-593679,2024-03-10,EU,2250.0,71,2.0,9.83,,google,paid_social
CMP-656464,2025-02-14,NA,5153.0,55,0.0,50.42,0.0,google,organic
CMP-558482,2025-09-15,APAC,5909.0,66,1.0,118.42,233.7,tiktok,paid_social
CMP-102800,2024-11-15,EU,20176.0,805,40.0,420.05,12276.53,,affiliate
CMP-994854,2025-02-04,NA,14058.0,389,15.0,160.36,2662.45,google,cpc
CMP-983101,2024-02-20,EU,4484.0,131,7.0,95.22,2624.15,tiktok,email
CMP-580870,2024-04-09,EU,11830.0,505,30.0,231.26,13708.78,email,cpc
CMP-942377,2024-06-03,LATAM,15612.0,433,20.0,97.77,7802.26,(not set),affiliate
CMP-181566,2024-11-06,NA,6025.0,224,9.0,124.54,3746.67,email,email
CMP-744794,2025-06-20,LATAM,25984.0,525,2.0,474.79,614.09,google,email
CMP-896925,2025-04-21,NA,7789.0,314,9.0,160.1,3730.74,email,(none)
CMP-442978,2024-06-02,APAC,11482.0,93,,233.99,2239.95,partner,email
CMP-802586,2024-10-11,EU,10615.0,151,3.0,185.71,731.54,tiktok,(none)
CMP-734152,01-Feb-2025,LATAM,8815.0,217,16.0,,3454.93,meta,organic
CMP-974579,05-Sep-2025,NA,24920.0,658,33.0,182.17,14208.6,google,cpc
CMP-873276,2025-05-20,LATAM,25877.0,904,40.0,339.18,12095.76,meta,(none)
CMP-432369,2025-01-29,NA,24766.0,592,23.0,377.89,10610.45,google,cpc
CMP-199315,2024-12-24,LATAM,6077.0,33,3.0,34.88,1032.68,google,cpc
CMP-300261,2025-12-26,APAC,4604.0,190,9.0,30.28,3745.62,google,email
CMP-986888,2025-04-22,EU,11702.0,361,20.0,139.81,5128.13,tiktok,cpc
CMP-365329,2024-04-09,APAC,10805.0,312,18.0,181.73,8926.89,meta,organic
CMP-946652,2025-01-16,LATAM,8734.0,389,18.0,58.56,4149.11,google,organic
CMP-873276,2024-05-24,LATAM,7913.0,64,1.0,75.49,161.47,partner,email
CMP-501035,17-Dec-2024,EU,2547.0,45,0.0,29.89,0.0,meta,organic
CMP-783768,2024-05-01,LATAM,10927.0,243,14.0,117.68,2883.16,meta,cpc
CMP-425468,2025-11-21,APAC,18610.0,654,61.0,392.69,,(not set),email
CMP-158770,2024-10-30,NA,6324.0,193,16.0,67.93,7840.66,meta,affiliate
CMP-755643,29-Mar-2024,NA,2392.0,39,1.0,50.96,497.75,meta,(none)
CMP-105887,2024-01-19,EU,4688.0,57,0.0,78.55,0.0,google,organic
CMP-164076,2025-07-23,NA,22585.0,610,18.0,$286.67,6581.85,tiktok,paid_social
CMP-800969,2024-11-13,NA,,189,10.0,$52.55,1922.4,,affiliate
CMP-287700,2025-04-16,LATAM,16749.0,213,3.0,290.65,546.81,meta,organic
CMP-745804,2025-01-01,APAC,8014.0,211,5.0,115.05,,google,affiliate
CMP-207978,2024-03-09,NA,8698.0,63,2.0,163.87,580.95,(not set),paid_social
CMP-746944,2024-01-31,NA,13868.0,519,35.0,234.54,15524.71,,paid_social
CMP-778657,2024-03-27,NA,12640.0,427,21.0,86.76,5701.56,meta,affiliate
CMP-737058,2025-03-30,APAC,6517.0,153,14.0,138.62,6118.73,email,organic
CMP-446198,2025-07-25,NA,4791.0,211,12.0,95.51,2263.46,meta,cpc
CMP-873078,2024-02-18,LATAM,19581.0,160,13.0,,,email,organic
CMP-198406,2025-04-10,EU,2522.0,14,0.0,37.19,0.0,google,organic
CMP-324164,2024-03-05,LATAM,17794.0,602,47.0,167.79,8665.55,,paid_social
CMP-963319,2024-10-24,EU,3033.0,13,1.0,$33.17,208.22,google,(none)
CMP-636561,2024-09-21,LATAM,13571.0,382,21.0,206.47,4399.5,email,paid_social
CMP-222994,2025-05-06,APAC,6085.0,99,4.0,58.79,1884.76,tiktok,
CMP-883945,2024-01-16,NA,26590.0,344,11.0,214.21,4484.4,email,organic
CMP-804633,2024-03-05,EU,13599.0,240,11.0,$227.98,5608.32,partner,organic
CMP-181998,2024-09-18,NA,14099.0,157,9.0,206.21,2393.93,email,cpc
CMP-301998,2024-02-18,NA,,32,1.0,40.89,226.41,partner,affiliate
CMP-772765,2025-01-12,APAC,35276.0,217,13.0,297.43,5231.03,partner,organic
CMP-393586,2024-04-22,NA,12348.0,457,22.0,131.6,,tiktok,paid_social
CMP-829283,2025-08-03,EU,21622.0,403,12.0,358.43,2213.26,email,cpc
CMP-742693,11-Mar-2024,NA,11833.0,227,8.0,50.95,1844.4,email,affiliate
CMP-935593,2025-11-01,APAC,4135.0,117,5.0,$19.48,,meta,organic
CMP-993990,2024-08-13,EU,9325.0,35,0.0,80.79,0.0,tiktok,cpc
CMP-207292,2024-10-12,APAC,5568.0,186,5.0,78.04,2314.42,(not set),(none)
CMP-840551,2025-03-09,LATAM,3968.0,46,2.0,80.16,526.32,meta,cpc
CMP-979387,2024-02-02,APAC,14839.0,624,26.0,239.51,4192.43,google,affiliate
CMP-772765,2024-01-07,LATAM,12458.0,285,7.0,122.51,3586.62,email,(none)
CMP-446198,2025-01-04,LATAM,12095.0,124,0.0,157.54,0.0,email,
CMP-130237,2024-09-08,EU,5594.0,243,3.0,41.71,514.74,(not set),organic
CMP-337009,2024-04-22,LATAM,,576,10.0,2088.01,3265.16,email,(none)
CMP-208933,2024-03-14,APAC,7245.0,153,6.0,122.21,2605.84,(not set),cpc
CMP-446198,2025-05-10,APAC,7477.0,43,1.0,144.99,188.09,email,(none)
CMP-755331,11-Dec-2025,LATAM,14114.0,383,27.0,178.76,6800.31,,email
CMP-712859,2024-09-21,APAC,5295.0,80,0.0,90.41,0.0,meta,paid_social
CMP-207292,2024-04-30,APAC,9062.0,268,11.0,113.26,,tiktok,email
CMP-160006,2024-12-23,NA,2652.0,57,,40.48,848.59,google,cpc
CMP-276264,2025-06-16,LATAM,4918.0,176,12.0,,6024.45,google,cpc
CMP-207978,2024-08-23,NA,7084.0,154,,84.51,2421.01,google,(none)
CMP-431853,2024-03-05,APAC,31287.0,476,24.0,419.28,8613.91,google,email
CMP-743829,2025-07-22,NA,3432.0,41,2.0,68.71,,google,affiliate
CMP-942377,2025-01-24,LATAM,7791.0,67,0.0,92.65,0.0,meta,cpc
CMP-776153,2024-02-23,LATAM,33359.0,1359,21.0,356.44,9858.16,(not set),organic
CMP-593679,2025-07-15,LATAM,25620.0,587,9.0,153.57,4075.59,meta,(none)
CMP-425468,2025-04-13,EU,13498.0,107,8.0,213.16,1949.0,,organic
CMP-857213,2024-10-29,LATAM,15639.0,686,24.0,317.84,11262.56,meta,paid_social
CMP-887046,2024-06-21,EU,13803.0,291,12.0,201.31,5310.57,partner,cpc
CMP-102800,2024-12-15,NA,2518.0,8,0.0,24.53,0.0,meta,paid_social
CMP-324164,2025-02-08,EU,6007.0,123,4.0,101.93,1647.09,meta,(none)
CMP-663852,2025-06-04,LATAM,6236.0,103,5.0,48.28,2007.5,partner,organic
CMP-908184,2024-11-09,APAC,5422.0,45,,94.62,169.18,google,organic
CMP-198679,2024-04-09,NA,7823.0,108,2.0,165.98,,,paid_social
CMP-946514,2024-09-06,NA,6533.0,255,3.0,143.38,784.89,tiktok,(none)
CMP-387492,2024-08-26,LATAM,6806.0,44,1.0,101.91,519.94,email,cpc
CMP-154724,2024-08-18,EU,10069.0,316,15.0,133.38,3873.51,(not set),email
CMP-286987,2024-07-25,EU,29642.0,350,7.0,571.06,2078.69,meta,affiliate
CMP-873276,2025-06-14,EU,,57,2.0,260.81,615.26,email,email
CMP-776153,2025-05-15,NA,8270.0,118,3.0,139.88,1037.93,meta,paid_social
CMP-337009,2024-10-14,NA,4709.0,169,6.0,68.13,2906.97,(not set),organic
CMP-461714,2024-03-05,APAC,33850.0,131,1.0,515.83,183.7,meta,affiliate
CMP-222994,2025-05-14,EU,10941.0,443,9.0,$133.31,2828.91,(not set),email
CMP-165352,2025-02-06,NA,19541.0,334,1.0,391.57,439.97,email,(none)
CMP-131904,2024-12-21,LATAM,5350.0,101,9.0,$80.81,3395.05,tiktok,organic
CMP-983101,2025-11-25,APAC,13108.0,542,19.0,193.44,5404.7,meta,cpc
CMP-963319,2024-05-12,LATAM,24381.0,401,24.0,220.05,5275.32,meta,organic
CMP-754836,2025-01-18,LATAM,4859.0,107,3.0,98.02,807.9,email,cpc
CMP-840551,2024-05-25,NA,3884.0,53,1.0,79.57,,meta,paid_social
CMP-300261,2024-01-08,LATAM,14099.0,528,14.0,$68.62,6179.66,(not set),affiliate
CMP-989433,2025-07-20,EU,11271.0,162,2.0,143.05,944.4,email,organic
CMP-670512,2024-06-23,EU,94909.0,763,42.0,848.97,14766.66,meta,organic
CMP-243628,2025-08-11,NA,8685.0,71,1.0,185.84,422.83,(not set),(none)
CMP-467476,2024-04-10,LATAM,5945.0,197,,123.23,987.03,(not set),(none)
CMP-100258,2025-03-13,NA,22999.0,385,13.0,445.63,4915.24,email,organic
CMP-744794,2024-08-03,LATAM,11025.0,368,6.0,75.04,1457.46,partner,email
CMP-873078,2025-02-14,APAC,23728.0,423,25.0,,6148.99,tiktok,affiliate
CMP-164076,2025-05-25,APAC,10172.0,407,23.0,47.82,4169.44,google,cpc
CMP-779003,2025-10-28,APAC,11267.0,123,5.0,134.56,2305.26,google,
CMP-703618,2024-01-31,NA,10977.0,405,23.0,93.51,5578.1,google,(none)
CMP-100258,2024-11-05,EU,11732.0,261,15.0,222.37,3300.68,meta,cpc
CMP-501548,06-Nov-2024,LATAM,7876.0,287,4.0,42.53,1845.4,meta,cpc
CMP-946446,2024-04-30,NA,11624.0,92,3.0,200.0,1352.35,google,organic
CMP-744794,2025-04-07,APAC,14891.0,266,3.0,233.34,1238.13,email,email
CMP-232858,2025-11-27,EU,3469.0,133,5.0,68.15,,email,paid_social
CMP-601989,23-May-2024,APAC,10472.0,385,22.0,221.76,8425.21,partner,organic
CMP-442978,2025-06-04,LATAM,17224.0,501,5.0,179.24,980.14,partner,cpc
CMP-444406,2024-06-30,LATAM,14839.0,231,2.0,305.1,644.96,google,(none)
CMP-207978,2025-05-02,APAC,13040.0,146,7.0,123.97,1913.55,tiktok,organic
CMP-946652,2024-03-28,APAC,4091.0,161,9.0,81.7,2777.76,tiktok,paid_social
CMP-390704,2025-12-04,APAC,13079.0,73,0.0,104.0,0.0,email,organic
CMP-208933,2025-03-05,EU,3047.0,103,1.0,$27.37,499.93,(not set),email
CMP-432369,2024-12-18,NA,10014.0,249,18.0,87.18,8937.33,email,affiliate
CMP-301998,2024-02-28,LATAM,5421.0,109,3.0,54.56,856.62,meta,organic
CMP-909478,2024-03-24,NA,4542.0,51,1.0,72.88,483.36,meta,affiliate
CMP-672089,2024-06-14,APAC,6221.0,189,10.0,28.63,4895.54,email,organic
CMP-754836,2024-12-20,APAC,,33,2.0,146.75,710.58,tiktok,organic
CMP-576557,2024-07-17,LATAM,15796.0,314,27.0,117.92,8592.51,google,paid_social
CMP-130237,2025-05-08,EU,8003.0,294,9.0,152.27,3186.2,email,(none)
CMP-324164,2025-01-12,NA,14389.0,45,4.0,96.03,1288.8,google,organic
CMP-287700,2024-10-10,APAC,4944.0,25,1.0,,307.47,,organic
CMP-647689,03-Mar-2024,EU,10176.0,271,6.0,182.67,2870.44,google,(none)
CMP-946446,2025-12-04,LATAM,10489.0,171,10.0,133.32,2801.24,tiktok,organic
CMP-946446,2024-08-04,NA,6587.0,45,,,432.41,partner,organic
CMP-776153,2024-05-02,EU,4391.0,172,3.0,46.56,1137.06,,paid_social
CMP-326955,2025-06-01,NA,15255.0,603,30.0,133.47,13759.19,tiktok,organic
CMP-715354,2025-10-17,LATAM,10776.0,371,13.0,$158.51,2555.02,tiktok,email
CMP-544677,2024-08-19,EU,19930.0,61,0.0,426.49,0.0,(not set),cpc
CMP-303614,2025-02-05,EU,8889.0,246,23.0,147.54,5968.2,google,email
CMP-596446,2025-04-09,EU,9086.0,385,2.0,196.47,362.22,(not set),organic
CMP-883945,2024-08-01,LATAM,13799.0,260,24.0,271.56,7522.78,partner,(none)
CMP-588715,2024-09-19,EU,27101.0,345,6.0,215.88,2129.1,tiktok,organic
CMP-198406,2025-06-20,LATAM,15518.0,565,16.0,152.14,6922.37,email,email
CMP-352468,21-Mar-2025,LATAM,12759.0,463,33.0,58.41,12285.45,meta,paid_social
CMP-691040,2025-02-16,APAC,6017.0,193,3.0,$122.93,801.93,tiktok,organic
CMP-670512,2025-03-27,LATAM,8606.0,226,11.0,96.72,5041.49,meta,email
CMP-272824,2024-03-21,NA,12087.0,201,3.0,141.98,1328.68,email,
CMP-100258,2024-09-15,EU,14138.0,309,5.0,63.58,1363.44,email,email
CMP-117484,2024-05-11,NA,7583.0,131,0.0,128.85,0.0,tiktok,cpc
CMP-319473,2024-04-21,NA,16638.0,447,2.0,131.73,635.7,(not set),paid_social
CMP-986888,2025-08-20,NA,9661.0,400,22.0,57.28,4616.06,meta,cpc
CMP-983101,2025-03-16,NA,57677.0,1040,29.0,839.15,12711.79,partner,(none)
CMP-983101,2025-08-18,LATAM,12612.0,360,21.0,198.27,8773.65,meta,paid_social
CMP-432369,2024-11-04,APAC,7447.0,83,6.0,40.41,2378.11,google,(none)
CMP-337009,2025-02-09,APAC,16495.0,141,4.0,120.94,916.62,google,cpc
CMP-207978,2025-10-15,EU,6529.0,46,1.0,34.99,487.53,email,(none)
CMP-243628,2025-07-07,APAC,20720.0,914,64.0,419.11,13358.87,google,organic
CMP-627217,2025-03-22,LATAM,6573.0,248,4.0,82.21,,google,paid_social
CMP-686986,2025-10-17,APAC,8861.0,321,14.0,39.65,4507.44,meta,cpc
CMP-484047,2025-10-29,APAC,7656.0,289,13.0,87.38,5520.55,,paid_social
CMP-580870,2025-01-06,APAC,16362.0,452,20.0,319.59,3559.06,tiktok,organic
CMP-883945,2025-04-04,APAC,10071.0,411,29.0,210.8,7255.27,partner,organic
CMP-804633,2025-08-15,NA,17392.0,565,16.0,155.84,5824.44,partner,email
CMP-921417,2024-12-28,APAC,,396,17.0,197.12,7980.02,tiktok,organic
CMP-393586,2025-05-14,NA,7348.0,27,1.0,100.89,355.39,(not set),(none)
CMP-207978,2024-12-27,NA,,357,9.0,216.37,4503.52,tiktok,email
CMP-181239,2024-10-08,LATAM,10551.0,289,14.0,222.82,5064.08,google,affiliate
CMP-286987,2025-05-07,APAC,45938.0,487,19.0,246.78,7384.35,google,
CMP-546867,2024-03-09,NA,7364.0,44,1.0,74.43,249.67,google,affiliate
CMP-715354,2024-05-03,EU,21445.0,685,39.0,373.48,13138.55,google,organic
CMP-838474,2024-07-17,APAC,3753.0,139,5.0,80.26,2563.07,(not set),organic
CMP-232858,2025-04-23,LATAM,8990.0,160,9.0,$190.79,3513.06,meta,organic
CMP-135156,2024-11-01,EU,26675.0,383,15.0,118.5,5794.35,meta,affiliate
CMP-746944,2024-07-11,NA,5673.0,243,7.0,102.16,1859.43,meta,organic
CMP-301998,2024-02-02,EU,18347.0,197,12.0,357.13,3572.54,(not set),(none)
CMP-146050,06-May-2024,NA,20819.0,683,28.0,179.78,13739.93,google,(none)
CMP-762951,2025-04-06,APAC,2896.0,28,0.0,49.64,0.0,email,cpc
CMP-483450,2024-02-16,LATAM,21673.0,726,35.0,258.73,,partner,cpc
CMP-783768,2025-08-06,APAC,28780.0,409,9.0,513.18,,tiktok,(none)
CMP-927289,2024-12-20,APAC,5619.0,58,4.0,115.04,,google,
CMP-946514,2024-02-17,EU,7377.0,66,3.0,155.03,1440.62,meta,(none)
CMP-238043,2024-06-11,APAC,47574.0,1644,17.0,539.47,5233.57,email,cpc
CMP-802586,2024-11-28,EU,3591.0,110,5.0,55.86,,meta,(none)
CMP-974579,2025-06-05,EU,13166.0,375,5.0,143.35,2522.36,(not set),organic
CMP-199315,2025-08-11,APAC,7706.0,147,6.0,96.06,2170.26,email,cpc
CMP-442978,2024-11-06,NA,8538.0,381,29.0,39.67,12080.72,meta,(none)
CMP-199315,2024-01-20,LATAM,2982.0,114,9.0,40.7,1821.94,(not set),
CMP-303614,2024-03-19,LATAM,5886.0,178,2.0,,558.42,meta,paid_social
CMP-989433,2024-11-11,APAC,6165.0,106,1.0,42.13,201.44,google,organic
CMP-743829,08-Jun-2024,LATAM,2962.0,62,1.0,27.5,329.76,tiktok,organic
CMP-647689,2024-04-23,EU,6293.0,239,8.0,122.22,2761.83,tiktok,paid_social
CMP-556564,2024-05-22,LATAM,4404.0,181,3.0,66.5,,email,email
CMP-114815,2025-10-16,APAC,,331,20.0,142.66,9585.63,google,organic
CMP-158770,2025-12-27,LATAM,15635.0,701,53.0,151.06,14185.15,email,email
CMP-442978,2024-10-25,LATAM,6299.0,33,2.0,117.1,346.02,(not set),(none)
CMP-783768,2024-02-20,APAC,7774.0,208,9.0,155.98,1911.05,partner,organic
CMP-160006,2025-01-02,NA,12574.0,219,16.0,250.02,3632.57,(not set),cpc
CMP-983101,2025-01-18,EU,10807.0,482,23.0,69.99,6254.13,google,cpc
CMP-154724,2025-10-12,APAC,21845.0,244,,193.8,4949.45,email,(none)
CMP-393586,2025-06-03,EU,12498.0,396,13.0,196.19,6181.76,partner,(none)
CMP-627217,2024-02-15,NA,17856.0,172,7.0,312.69,,google,organic
