shipment_id,order_id,warehouse_id,carrier,ship_date,promised_delivery_date,actual_delivery_date,shipping_cost,status
SHP-970354463,ORD-7455728,WH-010,CEVA,2025-04-05,2025-04-07,2025-04-07,36.23,delivered
SHP-905918949,ORD-8223123,WH-008,UPS,2024-06-16,2024-06-19,2024-06-19,6.93,delivered
SHP-659328041,ORD-9903886,WH-008,Maersk,2025-07-03,2025-07-05,2025-07-12,29.72,delivered
SHP-146410148,ORD-8433551,WH-011,Maersk,2024-02-20,2024-02-23,2024-02-23,37.39,delivered
SHP-484140834,ORD-2804879,,DB Schenker,2025-03-29,2025-04-08,2025-04-11,24.67,returned
SHP-635084115,ORD-2925837,WH-011,Maersk,2024-11-21,28/11/2024,2024-11-27,45.69,in_transit
SHP-311504794,ORD-5124219,WH-006,CEVA,2025-03-27,2025-03-29,2025-03-30,40.6,delivered
SHP-184173360,ORD-5391386,WH-009,USPS,2024-02-03,2024-02-13,2024-02-13,32.8,delivered
SHP-752357754,ORD-3719536,WH-005,UPS,2024-06-03,2024-06-06,2024-06-06,8.62,delivered
SHP-517933280,ORD-5956718,WH-010,DB Schenker,2024-03-23,2024-04-02,2024-04-01,33.4,in_transit
SHP-398239640,ORD-7772469,,DB Schenker,2025-06-18,2025-06-21,2025-06-21,44.29,delivered
SHP-667877874,ORD-3676127,WH-014,CEVA,2025-06-21,2025-06-24,2025-06-24,21.94,in_transit
SHP-185574149,ORD-4071180,WH-002,DB Schenker,2024-11-13,2024-11-20,2024-11-20,41.2,
SHP-840685338,ORD-8185823,,DB Schenker,2025-06-10,2025-06-12,2025-06-11,19.15,exception
SHP-457329835,ORD-2551257,WH-015,USPS,2024-04-18,23/04/2024,2024-04-23,29.94,delivered
SHP-244394179,ORD-6404794,WH-003,CEVA,2024-05-17,2024-05-22,2024-05-23,33.23,
SHP-586950518,ORD-7369125,WH-006,DHL,2024-01-29,2024-02-01,,34.48,delivered
SHP-335251722,ORD-1005357,,FedEx,2024-02-21,2024-02-23,2024-02-23,43.07,delivered
SHP-350957524,ORD-8913168,WH-011,DB Schenker,2024-06-18,2024-06-25,2024-06-25,15.85,delivered
SHP-478161592,ORD-2523732,WH-003,DB Schenker,2024-04-29,04/05/2024,2024-05-04,17.02,delivered
SHP-843930161,ORD-1342057,WH-015,Maersk,2025-09-25,2025-10-02,2025-10-02,35.57,delivered
SHP-692044408,ORD-4074167,WH-015,UPS,2025-01-07,2025-01-12,2025-01-12,13.44,delivered
SHP-192822549,ORD-5700910,WH-015,CEVA,2025-08-06,2025-08-09,2025-08-08,25.5,delivered
SHP-145284648,ORD-5683013,,Maersk,2024-09-26,2024-09-29,2024-09-29,6.84,delivered
SHP-986609097,ORD6844393,,FedEx,2025-03-01,2025-03-11,2025-03-11,11.92,delivered
SHP-111818947,ORD-8937160,,DB Schenker,2025-12-08,2025-12-15,2025-12-17,34.51,delivered
SHP-812666314,ORD-1476941,WH-010,USPS,2025-10-21,2025-10-28,2025-10-28,37.39,exception
SHP-204675586,ORD-9581531,WH-006,USPS,2025-01-02,2025-01-12,2025-01-12,10.84,delivered
SHP-267385020,ORD-1876552,,USPS,2024-10-01,2024-10-11,2024-10-11,15.56,exception
SHP-221688234,ORD-2406470,WH-007,USPS,2025-09-19,2025-09-29,2025-10-04,10.15,delivered
SHP-949346257,ORD-5238102,WH-011,CEVA,2025-02-04,2025-02-11,2025-02-11,24.2,delivered
SHP-109073442,ORD-9226280,,Maersk,2024-12-14,2024-12-24,2024-12-24,11.3,exception
SHP-173381273,ORD-6170271,WH-016,DB Schenker,2025-01-27,01/02/2025,2025-02-02,24.37,in_transit
SHP-369719888,ORD5398658,WH-004,DHL,2024-08-21,26/08/2024,2024-08-26,36.75,delivered
SHP-491360714,ORD-7162780,WH-015,UPS,2025-02-24,2025-02-27,2025-02-27,34.7,in_transit
SHP-899309727,ORD-5567069,WH-013,DB Schenker,2024-03-13,2024-03-23,2024-03-23,17.78,delivered
SHP-292707350,ORD-9252523,WH-006,UPS,2024-04-20,2024-04-25,2024-04-25,34.3,delivered
SHP-781826389,ORD-8935817,WH-009,DB Schenker,2025-07-28,2025-08-04,2025-08-03,44.96,in_transit
SHP-853960189,ORD-1332727,WH-011,DHL,2025-02-23,2025-02-28,2025-02-27,20.6,delivered
SHP-884701079,ORD-2868169,WH-009,UPS,2024-03-17,2024-03-24,2024-03-25,19.82,delivered
SHP-694929878,ORD-9405317,WH-003,CEVA,2024-07-23,2024-07-26,2024-07-25,30.0,delivered
SHP-704441965,ORD-6176626,WH-011,USPS,2024-07-07,2024-07-12,2024-07-19,16.31,delivered
SHP-562388686,ORD-6008929,WH-003,DB Schenker,2024-06-25,2024-06-30,2024-07-05,33.37,in_transit
SHP-470869591,ORD-8747363,WH-002,DHL,2024-01-23,2024-01-25,2024-01-25,40.95,delivered
SHP-729051416,ORD-4765336,,DB Schenker,2025-05-13,2025-05-15,2025-05-22,25.29,delivered
SHP-728514099,ORD-4602707,WH-001,FedEx,2024-04-25,2024-05-05,2024-05-05,34.54,delivered
SHP-462459342,ORD-7634223,WH-003,DB Schenker,2025-03-16,2025-03-21,2025-03-21,33.38,delivered
SHP-894751312,ORD-6466784,WH-011,CEVA,2025-05-03,2025-05-06,2025-05-06,7.62,delivered
SHP-492906241,ORD-3836891,WH-004,CEVA,2025-05-24,2025-05-27,2025-05-26,13.7,exception
SHP-629189400,ORD-9232058,WH-010,DHL,2024-01-27,2024-02-06,2024-02-07,43.53,delivered
SHP-714214852,ORD-7666652,WH-010,Maersk,2024-02-20,2024-02-27,2024-02-28,45.43,label_created
SHP-639691008,ORD-5738309,WH-003,USPS,2024-07-19,2024-07-24,2024-07-24,38.78,exception
SHP-205188585,ORD-9986490,,DHL,2024-07-24,2024-07-31,2024-07-31,44.69,delivered
SHP-579329056,ORD-2628399,WH-016,USPS,2024-03-12,2024-03-19,2024-03-21,18.86,delivered
SHP-104596462,ORD-6087882,,FedEx,2024-08-31,2024-09-02,2024-09-02,16.4,in_transit
SHP-475662725,ORD-8548051,WH-013,DB Schenker,2024-07-07,2024-07-12,2024-07-12,22.14,delivered
SHP-963065244,ORD-8401394,WH-012,CEVA,2024-11-07,2024-11-12,2024-11-12,8.32,delivered
SHP-458015420,ORD-9394874,WH-006,CEVA,2024-05-27,2024-06-06,2024-06-06,40.01,delivered
SHP-544918722,ORD-3398043,WH-004,USPS,2025-07-03,2025-07-13,2025-07-13,47.34,in_transit
SHP-680732358,ORD-3796170,WH-011,CEVA,2025-04-26,2025-05-06,2025-05-06,40.61,delivered
SHP-371150429,ORD-3153158,WH-001,Maersk,2024-11-24,2024-12-04,2024-12-05,29.31,delivered
SHP-548938212,ORD-7588142,WH-001,DHL,2024-07-29,2024-08-03,2024-08-03,18.4,delivered
SHP-343241938,ORD-3218809,WH-010,UPS,2024-01-03,10/01/2024,2024-01-10,14.3,delivered
SHP-662083152,ORD-1773351,WH-004,CEVA,2025-03-06,2025-03-11,2025-03-11,21.29,in_transit
SHP-653556759,ORD-5921930,WH-012,CEVA,2024-08-04,2024-08-14,2024-08-14,34.01,in_transit
SHP-376564069,ORD-9109548,WH-014,FedEx,2025-09-30,2025-10-05,2025-10-05,24.78,delivered
SHP-351505201,ORD-5175838,WH-013,DHL,2025-05-27,2025-06-03,2025-06-05,45.23,in_transit
SHP-431928249,ORD-8524934,WH-009,DHL,2025-06-02,2025-06-04,2025-06-09,41.88,delivered
SHP-962097543,ORD-8113725,WH-010,USPS,2025-03-03,2025-03-13,2025-03-13,10.3,delivered
SHP-990455312,ORD-5868819,WH-014,DHL,2024-11-13,2024-11-23,,11.52,delivered
SHP-882179121,ORD-9862355,WH-007,UPS,2025-06-26,2025-06-29,2025-06-29,34.4,in_transit
SHP-726514590,ORD-1271408,,CEVA,2024-05-11,2024-05-14,2024-05-15,15.69,in_transit
SHP-680331748,ORD-1885315,WH-008,FedEx,2025-10-18,2025-10-28,2025-10-28,39.22,in_transit
SHP-976162501,ORD-1706452,WH-013,DB Schenker,2025-10-24,2025-10-31,2025-10-30,30.84,delivered
SHP-814485815,ORD-2713857,WH-009,DHL,2025-10-05,2025-10-10,2025-10-09,15.65,delivered
SHP-146377011,ORD-4535344,,Maersk,2025-07-28,2025-08-02,2025-08-02,26.1,delivered
SHP-802661204,ORD-5074317,WH-006,DHL,2024-10-01,2024-10-11,2024-10-11,23.06,delivered
SHP-777426234,ORD-4813608,WH-004,USPS,2024-10-04,2024-10-14,2024-10-14,42.67,in_transit
SHP-201598997,ORD-8836281,WH-013,USPS,2025-12-24,2025-12-29,2025-12-29,7.35,delivered
SHP-291659557,ORD-4067752,WH-011,FedEx,2025-09-03,2025-09-06,2025-09-07,43.63,in_transit
SHP-745928346,ORD-5796224,,CEVA,2025-09-01,2025-09-08,2025-09-08,33.39,delivered
SHP-966079047,ORD-4398978,WH-001,UPS,2025-11-23,2025-11-26,2025-11-27,36.98,delivered
SHP-750373967,ORD-1175095,WH-010,FedEx,2025-02-02,04/02/2025,2025-02-04,6.11,in_transit
SHP-331184032,ORD-3392394,WH-015,FedEx,2024-05-19,2024-05-29,2024-05-29,32.39,delivered
SHP-306205182,ORD-5883408,WH-006,FedEx,2025-03-22,2025-04-01,2025-04-01,30.72,label_created
SHP-877060583,ORD-5827964,WH-012,UPS,2025-07-16,2025-07-19,2025-07-19,28.56,exception
SHP-503811466,ORD-2856767,WH-001,FedEx,2025-10-22,2025-11-01,2025-11-01,39.01,in_transit
SHP-477426261,ORD-5053723,WH-006,Maersk,2025-09-05,2025-09-10,2025-09-09,29.35,delivered
SHP-945070613,ORD-8886446,WH-003,UPS,2025-06-24,2025-06-26,2025-06-26,42.0,in_transit
SHP-128805899,ORD-9536466,WH-004,DB Schenker,2025-07-28,2025-07-31,2025-07-30,15.77,delivered
SHP-999608671,ORD-1347730,WH-013,CEVA,2024-05-07,2024-05-17,2024-05-17,39.85,delivered
SHP-754108832,ORD-8729132,WH-016,USPS,2024-03-03,2024-03-08,2024-03-11,13.53,label_created
SHP-327340303,ORD-2913231,,UPS,2025-12-23,2025-12-28,2025-12-29,40.15,exception
SHP-894855722,ORD-3770310,WH-012,FedEx,2025-12-20,2025-12-27,2025-12-27,45.5,delivered
SHP-976770182,ORD-4084464,WH-010,UPS,2024-11-22,2024-11-25,2024-11-26,20.1,in_transit
SHP-606497237,ORD-2249717,WH-011,UPS,2024-10-03,2024-10-13,,28.26,returned
SHP-643213119,ORD-9978979,WH-013,CEVA,2025-02-02,2025-02-04,2025-02-09,33.65,
SHP-281310878,ORD-8618502,WH-002,USPS,2024-11-02,2024-11-12,2024-11-11,9.34,exception
SHP-105990959,ORD-6802513,WH-006,CEVA,2024-10-31,2024-11-07,2024-11-07,26.75,delivered
SHP-325270461,ORD-3710857,WH-009,FedEx,2024-06-28,2024-07-03,2024-07-03,21.14,label_created
SHP-631176791,ORD-6060582,WH-014,CEVA,2025-12-14,2025-12-17,2025-12-17,42.64,delivered
SHP-870219198,ORD-7264788,WH-015,UPS,2025-06-30,2025-07-02,2025-07-02,42.82,
SHP-149990643,ORD-4560330,,USPS,2025-08-08,2025-08-13,2025-08-13,35.43,label_created
SHP-606551139,ORD-6388439,WH-008,FedEx,2024-11-14,2024-11-24,2024-11-24,33.54,in_transit
SHP-272193755,ORD-7284665,WH-015,Maersk,2025-07-13,2025-07-20,2025-07-20,36.81,delivered
SHP-855922777,ORD-2717253,WH-009,Maersk,2025-09-03,2025-09-10,2025-09-10,21.37,delivered
SHP-761209762,ORD-6439727,WH-016,DHL,2024-03-27,2024-03-29,2024-03-29,22.99,delivered
SHP-385925578,ORD-2892033,WH-006,UPS,2024-04-07,2024-04-10,2024-04-13,29.26,delivered
SHP-987262146,ORD-7650863,WH-014,UPS,2024-05-04,2024-05-11,2024-05-11,45.4,delivered
SHP-332415769,ORD-9449607,WH-002,UPS,2024-09-24,2024-10-01,,36.41,delivered
SHP-497193231,ORD-1331013,WH-016,CEVA,2024-02-15,2024-02-17,2024-02-18,29.14,delivered
SHP-335105583,ORD-2914193,WH-007,FedEx,2024-12-18,2024-12-23,2024-12-23,38.36,delivered
SHP-814831112,ORD-7910429,WH-004,FedEx,2025-02-27,2025-03-09,2025-03-09,21.58,delivered
SHP-168055238,ORD-4252629,WH-008,FedEx,2024-01-10,2024-01-12,2024-01-19,36.68,delivered
SHP-482161768,ORD-1027704,,USPS,2024-12-17,2024-12-27,2024-12-27,23.25,in_transit
SHP-402674390,ORD-8964225,WH-005,Maersk,2024-03-29,2024-04-08,2024-04-08,17.75,delivered
SHP-798164872,ORD-6755402,,CEVA,2025-02-13,2025-02-16,2025-02-16,31.61,delivered
SHP-492636771,ORD-1979321,WH-006,DHL,2025-08-04,2025-08-06,2025-08-05,34.85,delivered
SHP-345142099,ORD-3067229,WH-012,Maersk,2024-07-25,2024-07-27,2024-07-28,25.29,returned
SHP-397671973,ORD-6347006,WH-005,UPS,2025-11-21,2025-11-28,,29.75,exception
SHP-705673653,ORD-5533364,WH-016,FedEx,2024-08-17,2024-08-27,2024-08-28,35.15,in_transit
SHP-379535031,ORD-3314672,,DB Schenker,2025-06-11,2025-06-14,2025-06-15,38.24,delivered
SHP-127317147,ORD8806871,WH-013,DB Schenker,2025-05-14,2025-05-16,2025-05-23,43.61,delivered
SHP-278013718,ORD-7049405,WH-004,USPS,2025-06-26,2025-07-06,2025-07-06,20.89,delivered
SHP-382503648,ORD-5651451,WH-010,USPS,2025-09-14,2025-09-19,2025-09-19,45.96,delivered
SHP-126044130,ORD-8432761,WH-011,FedEx,2025-09-10,2025-09-13,2025-09-13,32.77,label_created
SHP-267241389,ORD-7208118,WH-014,DB Schenker,2025-08-08,2025-08-11,2025-08-11,39.08,returned
SHP-377837650,ORD-6784943,WH-009,Maersk,2024-10-06,2024-10-09,2024-10-08,35.39,delivered
SHP-623157988,ORD-2852480,WH-013,DB Schenker,2024-02-12,2024-02-15,2024-02-16,14.63,delivered
SHP-341065939,ORD-8688902,WH-008,UPS,2024-09-16,2024-09-19,2024-09-19,9.0,label_created
SHP-291484563,ORD-9772541,WH-009,CEVA,2025-12-06,2025-12-16,2025-12-19,36.5,delivered
SHP-809537383,ORD-7412355,,USPS,2024-06-09,12/06/2024,2024-06-12,27.46,label_created
SHP-106221487,ORD-2848474,WH-005,FedEx,2024-01-20,2024-01-23,2024-01-24,35.49,delivered
SHP-811181617,ORD-9951803,WH-013,DHL,2025-04-16,2025-04-18,2025-04-18,26.03,
SHP-799257772,ORD-3888972,WH-006,UPS,2024-05-22,2024-06-01,2024-06-01,19.11,in_transit
SHP-799769437,ORD-8806166,WH-013,UPS,2024-03-23,2024-03-26,2024-03-27,17.97,delivered
SHP-930578429,ORD-8228758,WH-004,FedEx,2024-04-24,2024-05-04,2024-05-04,36.68,delivered
SHP-833161951,ORD-4518907,WH-011,Maersk,2025-12-01,2025-12-03,2025-12-03,17.62,in_transit
SHP-189103799,ORD-1804596,WH-012,DB Schenker,2024-06-22,2024-06-25,2024-06-25,36.02,delivered
SHP-974443205,ORD-5247355,,CEVA,2024-03-12,2024-03-17,2024-03-17,22.13,delivered
SHP-738752835,ORD-6253977,WH-002,UPS,2025-06-15,17/06/2025,2025-06-18,38.38,in_transit
SHP-261222509,ORD-3010964,WH-011,UPS,2025-03-12,2025-03-19,2025-03-19,12.0,exception
SHP-568318951,ORD-5222885,WH-004,Maersk,2025-03-12,2025-03-19,2025-03-26,14.61,returned
SHP-740837966,ORD-6424435,WH-002,DHL,2024-01-14,2024-01-19,,34.81,delivered
SHP-809264407,ORD-2686125,WH-008,USPS,2024-10-03,2024-10-08,2024-10-07,29.53,delivered
SHP-150755931,ORD-9530202,WH-001,FedEx,2025-11-20,2025-11-25,2025-11-25,14.56,delivered
SHP-699291730,ORD-2884384,WH-005,FedEx,2024-03-08,2024-03-11,2024-03-11,43.92,label_created
SHP-890510748,ORD-1709109,WH-007,FedEx,2025-02-01,2025-02-11,2025-02-12,17.59,exception
SHP-597869175,ORD-1965088,WH-014,Maersk,2024-02-28,2024-03-04,2024-03-04,23.68,delivered
SHP-878917276,ORD-6238434,WH-010,FedEx,2025-04-11,2025-04-13,2025-04-14,14.5,delivered
SHP-613586012,ORD-8384591,WH-011,UPS,2024-09-23,2024-09-30,2024-09-29,22.3,delivered
SHP-501948687,ORD-7824645,WH-001,Maersk,2024-08-09,2024-08-11,2024-08-11,26.65,delivered
SHP-871355983,ORD-2320483,WH-016,Maersk,2024-12-13,2024-12-18,2024-12-19,18.4,in_transit
SHP-321757051,ORD-3129530,WH-009,FedEx,2025-07-24,2025-08-03,2025-08-03,38.3,delivered
SHP-189401460,ORD-8865462,WH-003,CEVA,2025-09-27,2025-10-02,,22.55,exception
SHP-401056814,ORD-8145034,WH-015,USPS,2024-10-05,2024-10-10,2024-10-10,36.64,label_created
SHP-617449174,ORD-9548276,WH-010,FedEx,2025-09-16,2025-09-19,2025-09-19,14.7,label_created
SHP-288853777,ORD-6354671,WH-006,DHL,2024-08-05,2024-08-08,2024-08-09,21.84,in_transit
SHP-256153969,ORD-7296543,WH-004,UPS,2024-04-09,2024-04-14,2024-04-15,6.34,in_transit
SHP-516744432,ORD-2311530,WH-003,UPS,2024-11-01,2024-11-03,2024-11-03,37.86,delivered
SHP-227690053,ORD-2846637,WH-010,CEVA,2025-03-28,2025-04-07,2025-04-06,32.29,returned
SHP-222594905,ORD-1861652,WH-011,FedEx,2025-11-03,2025-11-13,2025-11-13,40.35,returned
SHP-147530079,ORD-2274269,WH-013,Maersk,2024-01-11,2024-01-21,2024-01-20,25.14,in_transit
SHP-968684399,ORD-3628683,WH-011,UPS,2024-10-16,2024-10-18,2024-10-18,39.59,
SHP-727210738,ORD-7082014,WH-015,CEVA,2025-09-25,2025-09-27,,33.2,delivered
SHP-395386794,ORD-4229510,WH-002,USPS,2024-06-25,2024-07-05,2024-07-05,6.15,delivered
SHP-243497840,ORD-4902038,WH-003,FedEx,2024-12-18,2024-12-23,2024-12-23,16.66,label_created
SHP-530657344,ORD-2279471,WH-002,UPS,2024-03-14,2024-03-21,2024-03-21,26.74,in_transit
SHP-706384656,ORD-3672896,WH-001,DB Schenker,2025-01-15,2025-01-25,2025-01-25,31.98,in_transit
SHP-765577800,ORD-9311214,,Maersk,2024-04-23,2024-05-03,2024-05-03,8.75,delivered
SHP-203064683,ORD-5658070,WH-002,UPS,2024-04-17,2024-04-24,2024-04-24,35.61,in_transit
SHP-375532205,ORD-8345831,WH-006,DB Schenker,2025-05-17,2025-05-19,2025-05-19,28.83,delivered
SHP-398369965,ORD-1484271,WH-009,USPS,2025-01-13,2025-01-15,2025-01-14,28.08,in_transit
SHP-361314438,ORD-3118097,WH-010,FedEx,2024-02-26,2024-03-02,2024-03-02,18.27,delivered
SHP-311589648,ORD-4554717,WH-014,Maersk,2024-09-12,2024-09-22,2024-09-21,30.98,delivered
SHP-369853215,ORD-3981087,WH-004,Maersk,2025-03-08,2025-03-11,2025-03-12,7.15,delivered
SHP-358569245,ORD-9978992,WH-013,FedEx,2024-10-27,2024-10-30,2024-10-31,8.72,delivered
SHP-520837437,ORD-7069718,,Maersk,2024-11-03,2024-11-10,,36.82,delivered
SHP-134196291,ORD-5315803,WH-004,DHL,2025-05-15,2025-05-25,2025-05-26,19.52,delivered
SHP-849830850,ORD-1005392,WH-006,DHL,2025-05-23,2025-05-25,2025-05-25,20.57,delivered
SHP-669073845,ORD-2314707,WH-002,FedEx,2025-12-15,2025-12-18,2025-12-17,14.75,delivered
SHP-142219403,ORD-8441851,WH-005,UPS,2024-12-13,2024-12-18,2024-12-17,24.72,in_transit
SHP-361156937,ORD-9063673,WH-003,CEVA,2024-12-17,2024-12-22,2024-12-22,8.18,in_transit
SHP-969772080,ORD-2446177,WH-006,USPS,2024-04-27,2024-05-07,2024-05-07,18.62,delivered
SHP-694923303,ORD-7568600,WH-015,DB Schenker,2024-08-09,2024-08-14,2024-08-14,28.14,exception
SHP-225907741,ORD-9728020,WH-010,CEVA,2024-07-04,2024-07-09,2024-07-10,25.56,delivered
SHP-224848265,ORD-8765820,WH-006,DB Schenker,2024-12-09,2024-12-19,2024-12-20,47.99,in_transit
SHP-138644097,ORD-5941507,WH-011,DB Schenker,2024-03-30,2024-04-01,2024-04-02,22.33,
SHP-737209333,ORD-6424054,WH-011,DHL,2024-11-26,2024-12-06,2024-12-06,22.25,label_created
SHP-732554834,ORD-1384174,,Maersk,2024-07-20,27/07/2024,2024-07-27,27.15,delivered
SHP-966290734,ORD-3953316,WH-010,DB Schenker,2025-08-24,2025-08-31,2025-09-01,13.99,delivered
SHP-711073542,ORD-2670260,WH-006,USPS,2025-01-07,2025-01-10,2025-01-10,42.8,delivered
SHP-607186280,ORD-4930043,WH-012,FedEx,2024-11-19,24/11/2024,2024-11-24,30.04,delivered
SHP-219756506,ORD-5957377,WH-012,CEVA,2025-11-09,2025-11-12,2025-11-12,14.07,delivered
SHP-847723468,ORD-6335652,WH-007,FedEx,2025-05-09,2025-05-16,2025-05-16,39.32,in_transit
SHP-995963664,ORD-1773351,WH-005,FedEx,2025-05-26,05/06/2025,2025-06-05,7.44,delivered
SHP-653197672,ORD-6986279,WH-008,FedEx,2025-05-09,2025-05-19,2025-05-26,47.27,exception
SHP-486879374,ORD-1401360,WH-016,UPS,2025-02-02,2025-02-09,2025-02-09,42.34,delivered
SHP-873175255,ORD-8776278,WH-005,DB Schenker,2024-04-17,2024-04-22,2024-04-29,30.34,delivered
