"date","product_type","telemetry_rows","avg_disconnects","crash_rate","avg_temp_c","claims","approved_claims","claim_rate_per_1k_orders"
2025-06-30,Portable PA,6,0.200,0.0000,31.95,66,56,203.70
2025-06-25,Earbuds,22,0.500,0.0000,29.05,358,282,246.05
2024-04-10,Headphones,167,0.444,0.0061,32.08,380,302,241.73
2025-10-15,Earbuds,19,0.278,0.0000,29.79,358,282,246.05
2024-06-29,Home Theater,10,0.200,0.0000,35.80,146,111,253.47
2024-03-21,Portable PA,4,0.000,0.0000,21.43,66,56,203.70
2024-08-11,Portable PA,11,0.200,0.0000,32.49,66,56,203.70
2025-02-21,Aviation Headsets,2,0.000,0.0000,32.90,60,45,333.33
2024-06-11,Portable PA,5,0.000,0.0000,33.28,66,56,203.70
2025-08-08,Portable PA,5,0.200,0.0000,33.52,66,56,203.70
2024-07-31,Speakers,6,0.200,0.0000,31.25,230,182,257.85
2025-01-22,Earbuds,18,0.389,0.0000,32.24,358,282,246.05
2024-07-16,Earbuds,23,0.316,0.0000,31.85,358,282,246.05
2024-12-07,Headphones,153,0.343,0.0133,32.46,380,302,241.73
2025-10-31,Speakers,6,0.600,0.0000,32.95,230,182,257.85
2025-04-13,Earbuds,29,0.480,0.0000,35.45,358,282,246.05
2025-10-30,Portable PA,6,0.167,0.0000,29.35,66,56,203.70
2025-01-14,Speakers,8,0.750,0.0000,30.93,230,182,257.85
2024-06-11,Home Theater,11,0.000,0.0000,34.82,146,111,253.47
2025-03-07,Home Theater,6,0.000,0.0000,32.83,146,111,253.47
2024-08-21,Headphones,151,0.393,0.0134,31.25,380,302,241.73
2024-10-19,Home Theater,10,0.200,0.0000,35.03,146,111,253.47
2024-01-07,Home Theater,9,0.444,0.0000,28.19,146,111,253.47
2025-12-28,Portable PA,7,0.167,0.0000,34.70,66,56,203.70
2025-04-24,Speakers,4,0.333,0.0000,35.30,230,182,257.85
2024-08-15,Home Theater,8,0.000,0.0000,28.76,146,111,253.47
2025-10-12,Headphones,154,0.447,0.0133,30.36,380,302,241.73
2025-10-01,Home Theater,9,0.143,0.0000,31.36,146,111,253.47
2025-09-22,Earbuds,13,0.091,0.0000,33.33,358,282,246.05
2025-09-20,Home Theater,11,0.000,0.0000,31.87,146,111,253.47
2024-01-12,Speakers,4,1.000,0.0000,28.83,230,182,257.85
2025-08-23,Speakers,3,0.667,0.0000,25.17,230,182,257.85
2024-02-09,Aviation Headsets,4,0.333,0.0000,30.38,60,45,333.33
2025-03-03,Earbuds,25,0.625,0.0417,32.12,358,282,246.05
2024-12-21,Speakers,2,0.500,0.0000,30.05,230,182,257.85
2024-07-18,Portable PA,2,0.000,0.0000,36.90,66,56,203.70
2025-07-29,Headphones,170,0.370,0.0179,32.18,380,302,241.73
2025-08-23,Portable PA,4,0.000,0.0000,26.60,66,56,203.70
2024-03-03,Aviation Headsets,1,0.000,0.0000,30.90,60,45,333.33
2024-02-21,Earbuds,15,0.462,0.0000,32.29,358,282,246.05
2025-03-25,Portable PA,8,0.167,0.0000,31.59,66,56,203.70
2024-06-10,Portable PA,6,0.250,0.0000,29.02,66,56,203.70
2024-06-20,Speakers,5,0.200,0.2000,31.16,230,182,257.85
2025-10-19,Speakers,2,0.000,0.0000,24.90,230,182,257.85
2025-01-18,Earbuds,18,0.467,0.0000,33.24,358,282,246.05
2025-12-25,Home Theater,12,0.300,0.0833,29.83,146,111,253.47
2024-06-24,Portable PA,3,0.333,0.0000,28.10,66,56,203.70
2025-03-22,Headphones,160,0.507,0.0189,31.90,380,302,241.73
2025-04-01,Aviation Headsets,3,0.667,0.0000,33.90,60,45,333.33
2025-03-25,Speakers,4,0.333,0.0000,30.98,230,182,257.85
2025-01-10,Home Theater,12,0.000,0.0000,30.49,146,111,253.47
2024-04-02,Earbuds,17,0.500,0.0000,31.85,358,282,246.05
2024-12-08,Portable PA,8,0.125,0.0000,30.28,66,56,203.70
2024-03-20,Speakers,4,0.500,0.0000,35.68,230,182,257.85
2024-12-20,Home Theater,13,0.167,0.0000,30.43,146,111,253.47
2025-07-20,Speakers,6,0.333,0.1667,31.90,230,182,257.85
2025-06-25,Speakers,8,0.250,0.0000,31.90,230,182,257.85
2024-09-03,Portable PA,9,0.125,0.0000,33.46,66,56,203.70
2025-11-21,Home Theater,9,0.125,0.0000,29.63,146,111,253.47
2024-10-17,Portable PA,8,0.250,0.0000,30.71,66,56,203.70
2025-06-18,Earbuds,16,0.385,0.0000,30.73,358,282,246.05
2025-05-23,Headphones,151,0.374,0.0135,32.08,380,302,241.73
2024-08-15,Portable PA,5,0.200,0.0000,34.66,66,56,203.70
2025-04-12,Speakers,6,0.167,0.0000,33.93,230,182,257.85
2024-05-24,Home Theater,13,0.000,0.0000,34.81,146,111,253.47
2024-10-07,Portable PA,10,0.333,0.0000,33.95,66,56,203.70
2024-05-23,Aviation Headsets,3,0.000,0.3333,26.33,60,45,333.33
2024-02-03,Earbuds,16,0.714,0.0625,32.03,358,282,246.05
2024-04-23,Portable PA,4,0.000,0.0000,32.65,66,56,203.70
2025-02-06,Earbuds,20,0.471,0.0000,33.79,358,282,246.05
2025-11-22,Home Theater,16,0.214,0.0625,30.67,146,111,253.47
2025-11-07,Speakers,4,0.250,0.0000,32.78,230,182,257.85
2024-07-11,Home Theater,5,0.200,0.0000,27.78,146,111,253.47
2024-09-17,Home Theater,12,0.200,0.0000,34.32,146,111,253.47
2024-09-02,Headphones,180,0.317,0.0170,31.34,380,302,241.73
2024-05-28,Home Theater,15,0.143,0.0000,33.53,146,111,253.47
2024-03-08,Headphones,158,0.380,0.0194,33.13,380,302,241.73
2025-08-14,Aviation Headsets,1,1.000,0.0000,27.30,60,45,333.33
2025-06-17,Portable PA,7,0.286,0.0000,32.51,66,56,203.70
2024-08-17,Aviation Headsets,4,0.000,0.0000,28.05,60,45,333.33
2025-08-05,Headphones,173,0.340,0.0119,30.87,380,302,241.73
2024-01-20,Headphones,166,0.404,0.0061,32.09,380,302,241.73
2025-09-22,Portable PA,8,0.125,0.0000,31.90,66,56,203.70
2025-08-22,Portable PA,1,0.000,0.0000,33.70,66,56,203.70
2024-08-29,Earbuds,18,0.563,0.0000,30.84,358,282,246.05
2025-01-21,Home Theater,15,0.231,0.0000,31.28,146,111,253.47
2025-07-10,Earbuds,21,0.500,0.0000,29.88,358,282,246.05
2025-02-24,Earbuds,21,0.421,0.0000,30.90,358,282,246.05
2024-09-23,Aviation Headsets,2,0.500,0.0000,30.00,60,45,333.33
2024-12-31,Earbuds,22,0.318,0.0000,30.60,358,282,246.05
2024-04-27,Earbuds,27,0.423,0.0741,31.55,358,282,246.05
2025-09-10,Aviation Headsets,4,0.250,0.0000,32.80,60,45,333.33
2024-08-17,Speakers,4,0.750,0.0000,20.43,230,182,257.85
2024-11-27,Earbuds,25,0.409,0.0417,29.13,358,282,246.05
2024-04-21,Earbuds,19,0.438,0.0000,33.85,358,282,246.05
2025-08-05,Home Theater,8,0.000,0.0000,32.49,146,111,253.47
2024-01-12,Headphones,170,0.400,0.0060,31.46,380,302,241.73
2024-07-27,Portable PA,1,,0.0000,18.20,66,56,203.70
2024-09-08,Earbuds,16,0.467,0.0000,33.68,358,282,246.05
2024-08-21,Aviation Headsets,7,0.000,0.0000,30.41,60,45,333.33
2024-11-14,Earbuds,15,0.357,0.0000,30.19,358,282,246.05
2024-11-23,Speakers,4,0.000,0.0000,28.30,230,182,257.85
2024-05-10,Portable PA,8,0.167,0.0000,29.96,66,56,203.70
2024-12-05,Portable PA,3,0.000,0.0000,28.73,66,56,203.70
2025-06-29,Speakers,6,0.400,0.0000,28.95,230,182,257.85
2025-06-16,Portable PA,7,0.000,0.0000,26.29,66,56,203.70
2025-11-13,Aviation Headsets,3,0.000,0.0000,34.73,60,45,333.33
2024-04-12,Home Theater,13,0.273,0.0000,28.13,146,111,253.47
2024-03-19,Aviation Headsets,2,0.000,0.0000,30.20,60,45,333.33
2024-09-29,Home Theater,8,0.286,0.0000,33.69,146,111,253.47
2025-06-12,Aviation Headsets,6,0.167,0.0000,27.90,60,45,333.33
2024-12-18,Speakers,7,0.143,0.0000,27.14,230,182,257.85
2024-04-24,Portable PA,6,0.333,0.0000,33.43,66,56,203.70
2025-09-24,Home Theater,11,0.100,0.0909,29.15,146,111,253.47
2024-02-27,Speakers,9,0.375,0.1111,32.94,230,182,257.85
2024-07-04,Headphones,153,0.472,0.0133,32.13,380,302,241.73
2025-03-08,Headphones,179,0.476,0.0114,32.40,380,302,241.73
2024-05-19,Speakers,6,0.200,0.1667,31.07,230,182,257.85
2024-11-13,Speakers,4,1.000,0.0000,38.15,230,182,257.85
2025-11-06,Portable PA,3,0.500,0.0000,36.73,66,56,203.70
2025-07-31,Earbuds,21,0.250,0.0000,32.38,358,282,246.05
2025-08-28,Portable PA,5,0.000,0.0000,29.20,66,56,203.70
2025-10-09,Earbuds,17,0.714,0.0000,33.92,358,282,246.05
2024-12-22,Home Theater,10,0.222,0.0000,30.43,146,111,253.47
2024-08-12,Headphones,178,0.556,0.0230,31.63,380,302,241.73
2024-03-09,Portable PA,5,0.400,0.0000,35.48,66,56,203.70
2024-04-28,Home Theater,7,0.333,0.0000,27.27,146,111,253.47
2024-12-28,Aviation Headsets,3,0.000,0.0000,31.37,60,45,333.33
2025-11-19,Headphones,164,0.426,0.0000,32.26,380,302,241.73
2024-12-26,Earbuds,13,0.727,0.0000,30.94,358,282,246.05
2024-04-20,Home Theater,9,0.000,0.0000,30.37,146,111,253.47
2024-08-19,Home Theater,12,0.250,0.0000,32.81,146,111,253.47
2024-07-13,Earbuds,16,0.688,0.0000,32.05,358,282,246.05
2024-07-16,Home Theater,11,0.273,0.0000,32.34,146,111,253.47
2024-10-26,Aviation Headsets,1,0.000,0.0000,45.60,60,45,333.33
2024-02-17,Speakers,3,0.667,0.0000,34.00,230,182,257.85
2024-05-09,Home Theater,9,0.375,0.0000,36.36,146,111,253.47
2025-07-09,Portable PA,6,0.000,0.1667,33.28,66,56,203.70
2025-01-31,Aviation Headsets,4,0.000,0.0000,25.68,60,45,333.33
2024-04-17,Headphones,144,0.358,0.0282,32.01,380,302,241.73
2024-01-17,Earbuds,20,0.353,0.0500,31.30,358,282,246.05
2025-04-07,Portable PA,3,0.000,0.0000,31.93,66,56,203.70
2024-08-19,Portable PA,7,0.000,0.0000,32.69,66,56,203.70
2024-04-14,Earbuds,22,0.200,0.0000,32.53,358,282,246.05
2025-03-04,Home Theater,14,0.143,0.0000,31.66,146,111,253.47
2025-10-04,Headphones,157,0.426,0.0000,31.35,380,302,241.73
2024-07-07,Speakers,6,0.500,0.0000,29.60,230,182,257.85
2025-04-17,Aviation Headsets,1,0.000,0.0000,24.40,60,45,333.33
2025-10-24,Earbuds,26,0.250,0.0000,31.89,358,282,246.05
2025-07-12,Earbuds,15,0.571,0.0000,31.67,358,282,246.05
2025-06-27,Speakers,6,1.000,0.0000,35.88,230,182,257.85
2025-05-23,Aviation Headsets,3,0.333,0.0000,28.80,60,45,333.33
2024-07-17,Speakers,5,1.000,0.0000,30.64,230,182,257.85
2025-05-30,Portable PA,6,0.000,0.0000,34.98,66,56,203.70
2025-06-16,Speakers,8,0.714,0.0000,32.43,230,182,257.85
2024-10-20,Home Theater,7,0.000,0.0000,33.51,146,111,253.47
2024-08-03,Portable PA,1,0.000,0.0000,35.10,66,56,203.70
2025-10-28,Headphones,162,0.528,0.0126,31.82,380,302,241.73
2025-10-20,Home Theater,12,0.100,0.0000,30.61,146,111,253.47
2024-08-31,Speakers,4,0.500,0.0000,35.15,230,182,257.85
2025-05-17,Speakers,7,0.500,0.0000,32.31,230,182,257.85
2024-12-02,Earbuds,18,0.438,0.0625,32.49,358,282,246.05
2024-10-19,Earbuds,19,0.438,0.0000,31.61,358,282,246.05
2024-08-26,Headphones,150,0.445,0.0133,32.09,380,302,241.73
2024-09-28,Home Theater,3,0.000,0.3333,39.33,146,111,253.47
2025-08-22,Headphones,162,0.392,0.0189,31.73,380,302,241.73
2025-01-04,Aviation Headsets,1,0.000,0.0000,33.00,60,45,333.33
2024-01-16,Aviation Headsets,4,0.500,0.0000,36.55,60,45,333.33
2025-06-23,Aviation Headsets,2,0.000,0.0000,24.10,60,45,333.33
2025-03-20,Headphones,163,0.451,0.0186,31.61,380,302,241.73
2024-09-21,Portable PA,4,0.000,0.0000,30.68,66,56,203.70
2024-01-23,Portable PA,6,0.167,0.0000,30.80,66,56,203.70
2025-10-26,Speakers,5,0.667,0.0000,34.74,230,182,257.85
2025-09-03,Speakers,9,0.444,0.0000,35.50,230,182,257.85
2024-10-06,Portable PA,9,0.143,0.0000,32.99,66,56,203.70
2024-01-14,Portable PA,6,0.500,0.0000,35.00,66,56,203.70
2024-03-11,Headphones,159,0.446,0.0192,32.01,380,302,241.73
2024-10-01,Portable PA,8,0.250,0.0000,30.29,66,56,203.70
2024-05-04,Speakers,5,1.000,0.0000,32.46,230,182,257.85
2024-12-19,Portable PA,8,0.125,0.0000,31.06,66,56,203.70
2025-04-04,Headphones,152,0.442,0.0066,30.29,380,302,241.73
2025-11-20,Portable PA,8,0.000,0.0000,34.68,66,56,203.70
2024-04-05,Aviation Headsets,3,0.000,0.0000,30.00,60,45,333.33
2024-07-05,Headphones,158,0.444,0.0127,32.22,380,302,241.73
2024-09-21,Aviation Headsets,3,0.000,0.0000,31.93,60,45,333.33
2024-06-21,Headphones,155,0.430,0.0000,31.36,380,302,241.73
2025-11-12,Headphones,157,0.390,0.0066,31.67,380,302,241.73
2024-09-11,Headphones,159,0.497,0.0253,31.04,380,302,241.73
2025-03-27,Aviation Headsets,2,,0.0000,34.80,60,45,333.33
2024-01-26,Headphones,166,0.500,0.0122,32.22,380,302,241.73
2025-10-22,Aviation Headsets,1,1.000,0.0000,24.90,60,45,333.33
2025-08-23,Earbuds,20,0.211,0.0000,30.23,358,282,246.05
2024-07-21,Headphones,150,0.418,0.0272,32.45,380,302,241.73
2025-09-24,Portable PA,8,0.143,0.0000,31.30,66,56,203.70
2025-01-06,Home Theater,5,0.000,0.2000,26.12,146,111,253.47
2024-02-01,Portable PA,5,0.250,0.0000,29.08,66,56,203.70
2024-07-28,Home Theater,9,0.375,0.0000,30.59,146,111,253.47
2024-08-19,Headphones,158,0.408,0.0064,31.09,380,302,241.73
2024-10-15,Aviation Headsets,1,0.000,0.0000,20.50,60,45,333.33
2024-06-05,Speakers,4,0.750,0.0000,33.73,230,182,257.85
2024-09-24,Home Theater,11,0.200,0.0000,31.25,146,111,253.47
2025-10-03,Earbuds,20,0.350,0.0000,28.79,358,282,246.05
2025-06-11,Aviation Headsets,2,0.000,0.0000,34.85,60,45,333.33
2024-09-17,Earbuds,22,0.286,0.0000,32.64,358,282,246.05
2025-08-01,Aviation Headsets,3,0.000,0.0000,37.73,60,45,333.33
2025-09-16,Earbuds,22,0.421,0.0000,30.89,358,282,246.05
2025-08-18,Portable PA,5,0.000,0.2000,30.58,66,56,203.70
2025-05-18,Speakers,8,0.750,0.1250,34.03,230,182,257.85
2024-06-20,Headphones,154,0.471,0.0000,32.56,380,302,241.73
2025-12-21,Speakers,3,1.000,0.3333,33.27,230,182,257.85
2024-10-09,Speakers,5,0.250,0.0000,33.76,230,182,257.85
2025-03-16,Home Theater,12,0.083,0.0833,31.68,146,111,253.47
2024-02-22,Portable PA,8,0.125,0.0000,33.99,66,56,203.70
2025-07-16,Home Theater,15,0.071,0.0000,32.55,146,111,253.47
2025-08-29,Earbuds,17,0.429,0.0588,34.96,358,282,246.05
2024-12-30,Home Theater,6,0.250,0.0000,35.50,146,111,253.47
2025-06-10,Portable PA,3,0.667,0.0000,34.47,66,56,203.70
2024-09-15,Aviation Headsets,2,1.000,0.0000,35.55,60,45,333.33
2024-11-04,Portable PA,1,,0.0000,30.80,66,56,203.70
2024-07-03,Headphones,158,0.331,0.0316,31.35,380,302,241.73
2024-05-27,Aviation Headsets,3,0.000,0.3333,34.07,60,45,333.33
2025-07-25,Speakers,7,0.500,0.0000,27.66,230,182,257.85
2025-11-21,Aviation Headsets,2,0.000,0.0000,33.00,60,45,333.33
2025-04-29,Headphones,174,0.403,0.0058,31.70,380,302,241.73
2024-06-15,Headphones,164,0.395,0.0122,30.77,380,302,241.73
2024-10-22,Home Theater,8,0.333,0.1250,34.93,146,111,253.47
2025-06-24,Speakers,3,0.667,0.0000,29.57,230,182,257.85
2024-04-18,Speakers,3,0.000,0.0000,28.00,230,182,257.85
2025-07-14,Earbuds,15,0.417,0.0667,34.40,358,282,246.05
2024-04-14,Portable PA,10,0.000,0.0000,33.24,66,56,203.70
2025-10-13,Home Theater,9,0.333,0.0000,30.44,146,111,253.47
2024-09-27,Aviation Headsets,7,0.250,0.0000,32.93,60,45,333.33
2024-01-13,Home Theater,5,0.000,0.0000,32.44,146,111,253.47
2024-09-13,Earbuds,13,0.385,0.0000,31.81,358,282,246.05
2024-11-11,Portable PA,4,0.250,0.0000,34.40,66,56,203.70
2025-05-13,Portable PA,8,0.000,0.0000,31.59,66,56,203.70
2024-09-03,Home Theater,14,0.231,0.0714,29.86,146,111,253.47
2024-12-06,Portable PA,5,0.250,0.0000,31.86,66,56,203.70
2025-07-04,Speakers,4,0.333,0.0000,31.50,230,182,257.85
2025-05-07,Home Theater,8,0.167,0.0000,32.34,146,111,253.47
2024-02-03,Speakers,11,0.600,0.0000,27.55,230,182,257.85
2025-06-13,Home Theater,7,0.333,0.0000,27.87,146,111,253.47
2024-10-05,Aviation Headsets,2,0.000,0.0000,34.30,60,45,333.33
2025-08-12,Portable PA,11,0.200,0.0000,35.03,66,56,203.70
2024-06-01,Headphones,184,0.470,0.0109,32.06,380,302,241.73
2024-07-08,Speakers,3,0.000,0.0000,27.70,230,182,257.85
2025-01-22,Aviation Headsets,4,0.000,0.0000,29.78,60,45,333.33
2025-01-11,Home Theater,5,0.200,0.0000,33.42,146,111,253.47
2025-05-24,Aviation Headsets,4,0.667,0.0000,32.15,60,45,333.33
2025-07-24,Speakers,7,0.429,0.1429,32.47,230,182,257.85
2024-04-28,Portable PA,5,0.000,0.0000,34.96,66,56,203.70
2025-12-21,Home Theater,7,0.286,0.0000,30.73,146,111,253.47
2024-08-10,Home Theater,9,0.111,0.0000,35.97,146,111,253.47
2024-05-15,Speakers,3,0.667,0.0000,33.30,230,182,257.85
2024-09-26,Headphones,162,0.486,0.0377,31.82,380,302,241.73
2024-07-22,Home Theater,10,0.125,0.0000,34.23,146,111,253.47
2024-11-09,Speakers,3,1.000,0.0000,39.47,230,182,257.85
2024-07-28,Portable PA,8,0.000,0.0000,32.48,66,56,203.70
2025-05-15,Home Theater,12,0.000,0.0000,34.55,146,111,253.47
2025-01-25,Headphones,159,0.538,0.0064,32.83,380,302,241.73
2025-02-23,Portable PA,7,0.250,0.0000,30.63,66,56,203.70
2025-10-12,Home Theater,13,0.400,0.0000,31.98,146,111,253.47
2025-07-08,Speakers,2,1.000,0.0000,32.65,230,182,257.85
2024-12-24,Aviation Headsets,3,0.000,0.0000,26.57,60,45,333.33
2024-04-12,Headphones,151,0.415,0.0270,31.47,380,302,241.73
2025-12-23,Headphones,158,0.531,0.0064,32.39,380,302,241.73
2024-04-29,Speakers,1,3.000,0.0000,36.50,230,182,257.85
2024-10-03,Home Theater,12,0.000,0.0000,36.06,146,111,253.47
2024-05-25,Earbuds,21,0.368,0.0000,33.78,358,282,246.05
2025-07-07,Headphones,154,0.308,0.0134,31.91,380,302,241.73
2025-02-16,Portable PA,7,0.167,0.1429,25.81,66,56,203.70
2024-01-04,Headphones,159,0.507,0.0000,32.00,380,302,241.73
2024-10-07,Earbuds,23,0.350,0.0000,34.15,358,282,246.05
2024-02-23,Home Theater,8,0.000,0.0000,33.10,146,111,253.47
2024-08-10,Earbuds,19,0.368,0.0526,35.53,358,282,246.05
2025-07-31,Portable PA,7,0.000,0.0000,39.20,66,56,203.70
2025-12-24,Earbuds,29,0.556,0.0000,32.25,358,282,246.05
2025-07-24,Headphones,170,0.576,0.0178,32.73,380,302,241.73
2025-06-29,Aviation Headsets,5,0.000,0.0000,37.08,60,45,333.33
2024-04-30,Home Theater,11,0.182,0.0909,37.65,146,111,253.47
2025-07-26,Portable PA,4,0.000,0.0000,28.78,66,56,203.70
2024-11-20,Speakers,6,0.600,0.0000,35.45,230,182,257.85
2025-11-25,Speakers,4,1.750,0.0000,33.98,230,182,257.85
2025-05-26,Home Theater,5,0.000,0.0000,34.52,146,111,253.47
2025-10-07,Speakers,5,0.600,0.0000,29.16,230,182,257.85
2024-04-03,Aviation Headsets,3,0.000,0.0000,33.60,60,45,333.33
2025-08-26,Speakers,1,0.000,0.0000,15.40,230,182,257.85
2025-03-21,Portable PA,4,0.250,0.0000,32.25,66,56,203.70
2024-09-18,Earbuds,19,0.778,0.0000,31.17,358,282,246.05
2025-09-10,Portable PA,7,0.333,0.0000,32.96,66,56,203.70
2024-08-28,Earbuds,29,0.500,0.0000,31.99,358,282,246.05
2025-12-29,Portable PA,5,0.250,0.0000,36.36,66,56,203.70
2025-10-11,Aviation Headsets,1,0.000,0.0000,26.30,60,45,333.33
2024-12-05,Earbuds,19,0.313,0.0000,31.48,358,282,246.05
2025-07-27,Headphones,149,0.441,0.0069,32.41,380,302,241.73
2024-04-01,Earbuds,17,0.400,0.0000,35.28,358,282,246.05
2025-09-03,Portable PA,8,0.000,0.0000,35.90,66,56,203.70
2024-11-16,Earbuds,19,0.389,0.0556,30.69,358,282,246.05
2024-10-11,Speakers,4,0.000,0.0000,26.55,230,182,257.85
2024-02-20,Earbuds,28,0.346,0.0000,31.21,358,282,246.05
2025-03-11,Speakers,6,0.500,0.0000,29.32,230,182,257.85
2024-02-10,Earbuds,21,0.333,0.0476,31.99,358,282,246.05
2025-05-11,Aviation Headsets,2,0.000,0.0000,32.55,60,45,333.33
2025-05-06,Earbuds,17,0.375,0.0000,27.94,358,282,246.05
2025-10-10,Home Theater,7,0.286,0.0000,33.01,146,111,253.47
2025-01-11,Headphones,161,0.503,0.0063,31.39,380,302,241.73
2024-04-11,Portable PA,7,0.000,0.0000,31.44,66,56,203.70
2025-05-16,Portable PA,5,0.000,0.0000,32.84,66,56,203.70
2025-09-06,Home Theater,13,0.111,0.0000,33.92,146,111,253.47
2024-10-22,Earbuds,27,0.458,0.0000,30.17,358,282,246.05
2025-01-01,Portable PA,7,0.000,0.0000,31.21,66,56,203.70
2024-02-11,Speakers,4,0.500,0.0000,28.50,230,182,257.85
2024-03-31,Home Theater,13,0.083,0.0000,30.25,146,111,253.47
2024-05-16,Earbuds,27,0.308,0.0370,32.20,358,282,246.05
2024-04-04,Earbuds,13,0.083,0.0833,27.65,358,282,246.05
2024-08-20,Portable PA,6,0.000,0.0000,37.22,66,56,203.70
2024-10-27,Earbuds,18,0.438,0.0556,32.14,358,282,246.05
2024-09-06,Earbuds,21,0.300,0.0000,33.09,358,282,246.05
2025-04-19,Aviation Headsets,4,0.000,0.0000,27.45,60,45,333.33
2024-06-10,Speakers,6,1.000,0.0000,35.30,230,182,257.85
2025-02-15,Aviation Headsets,3,0.000,0.0000,31.13,60,45,333.33
2024-05-29,Home Theater,10,0.000,0.0000,32.36,146,111,253.47
2024-07-06,Headphones,146,0.385,0.0208,31.99,380,302,241.73
2025-09-04,Headphones,173,0.400,0.0058,33.49,380,302,241.73
2024-03-19,Portable PA,5,0.000,0.0000,28.24,66,56,203.70
2025-03-24,Headphones,160,0.384,0.0253,31.54,380,302,241.73
2024-11-08,Home Theater,6,0.000,0.0000,33.38,146,111,253.47
2024-07-18,Earbuds,21,0.500,0.0000,31.91,358,282,246.05
2024-11-30,Home Theater,12,0.417,0.0000,33.03,146,111,253.47
2025-01-07,Aviation Headsets,4,0.000,0.0000,33.98,60,45,333.33
2024-05-05,Speakers,2,1.000,0.0000,35.10,230,182,257.85
2024-05-06,Headphones,174,0.399,0.0058,32.87,380,302,241.73
2024-07-28,Aviation Headsets,3,0.000,0.0000,30.77,60,45,333.33
2024-03-04,Earbuds,14,0.500,0.0000,32.16,358,282,246.05
2025-01-24,Home Theater,10,0.300,0.0000,34.13,146,111,253.47
2025-08-25,Speakers,3,0.500,0.0000,35.10,230,182,257.85
2025-03-15,Headphones,192,0.489,0.0107,31.75,380,302,241.73
2025-06-22,Headphones,148,0.508,0.0139,32.76,380,302,241.73
2025-05-29,Earbuds,19,0.467,0.0000,32.65,358,282,246.05
2025-12-19,Speakers,5,0.600,0.0000,35.68,230,182,257.85
2025-04-26,Portable PA,7,0.286,0.0000,34.60,66,56,203.70
2024-12-16,Home Theater,7,0.333,0.0000,32.23,146,111,253.47
2025-04-09,Home Theater,11,0.111,0.0000,27.57,146,111,253.47
2025-03-19,Speakers,2,0.000,0.0000,30.65,230,182,257.85
2025-02-18,Home Theater,7,0.143,0.0000,30.50,146,111,253.47
2025-08-05,Portable PA,3,0.000,0.0000,29.00,66,56,203.70
2025-01-02,Headphones,166,0.483,0.0121,32.35,380,302,241.73
2024-12-31,Headphones,145,0.443,0.0139,32.55,380,302,241.73
2025-04-06,Portable PA,5,0.000,0.2000,31.42,66,56,203.70
2025-11-30,Speakers,2,1.500,0.0000,27.20,230,182,257.85
2025-02-05,Headphones,133,0.350,0.0075,31.48,380,302,241.73
2024-11-24,Aviation Headsets,4,0.250,0.0000,27.68,60,45,333.33
2025-12-04,Speakers,3,0.667,0.0000,34.33,230,182,257.85
2025-03-18,Home Theater,6,0.000,0.0000,30.20,146,111,253.47
